<new sheet>
sheet_name: Quarterly
 ,BALANCE OF PAYMENTS (provisional data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,(US$ MILLION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,,,2001,,,2001,,,2001,,,2002,,,2002,,,2002,,,2002,,,2003,,,2003,,,2003,,,2003,,,2004,,,2004,,,2004,,,2004,,,2005,,,2005,,,2005,,,2005,,,2006,,,2006,,,2006,,,2006,,,2007,,,2007,,,2007,,,2007,,,2008,,,2008,,,2008,,,2008,,,2009,,,2009,,,2009,,,2009,,,2010,,,2010,,,2010,,,2010,,,2011,,,2011,,,2011,,,2011,,
,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quater,,,4th Quater,,,1st Quater,,,2nd Quater,,,3rd Quarter,,,4th Quarter,,,1st Quater,,,2nd Quater,,,3rd Quarter,,,4th Quarter,,,1st Quater,,,2nd Quater,,,3rd Quarter,,,4th Quarter,,
,,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,GOODS ,1274.289717065616,1614.5775887986981,-340.28787173308206,1158.125092769349,1596.5163788469029,-438.3912860775538,1296.5668150172637,1375.6588432821718,-79.0920282649081,1087.9028253192332,1387.6017179676603,-299.6988926484271,1080.2256937094749,1357.606684966683,-277.38099125720805,931.7397445751608,1517.9208296108984,-586.1810850357376,1405.7795463150578,1490.754495285086,-84.97494897002821,1281.403193094488,1739.3182823506243,-457.9150892561363,1197.4495634834066,1533.5418374456344,-336.09227396222786,1180.2604305426833,1544.621397379328,-364.3609668366448,1424.0743817274424,1663.6444335602955,-239.5700518328531,1331.4294637916432,1930.1817563405143,-598.7522925488711,1872.44565840274,2222.0773099076,-349.63165150486,1749.49054488699,2295.77534385965,-546.2847989726602,1044.97787311451,2374.23260592592,-1329.25473281141,1090.086283328871,1107.916870336944,-17.830587008072825,1532.6909040331905,1929.1283718691682,-396.4374678359777,1373.6897474188006,2188.548525830663,-814.8587784118624,1704.9552221596357,2370.05837394812,-665.1031517884842,1735.66224365382,2375.26855188954,-639.60630823572,1518.927562475505,2302.7747415301737,-783.8471790546687,1642.9136493455744,2652.3368404460825,-1009.4231911005081,1857.5218185472181,2661.635394206087,-804.1135756588687,1863.343636681932,2636.2150111327783,-772.8713744508464,1691.898314780956,2375.43800337163,-683.5396885906741,1826.392494211436,2772.1122815207,-945.7197873092639,2057.739206168136,2903.79322671088,-846.0540205427437,2063.969984839476,3244.6564883967803,-1180.6865035573041,1869.1896124459236,3294.4965204945047,-1425.3069080485811,2005.0179479816495,3739.138168609953,-1734.1202206283035,2252.861381604561,3774.0628986398037,-1521.201517035243,1983.527171746099,3283.477900119562,-1299.950728373463,1647.3724841002704,2312.4822371423897,-665.1097530421193,1541.2865297648016,2239.1107919780475,-697.8242622132459,1930.833211710385,2584.9922439638426,-654.1590322534576,1965.0294793257353,3070.0479574614665,-1105.0184781357311,2095.451625758318,3187.555058253292,-1092.1034324949737,1678.6631722355687,3166.1411751855194,-1487.4780029499507,2395.9726100033254,3317.375139215741,-921.4025292124156,2455.7404686772184,3779.8672441173585,-1324.1267754401401,2670.719498245957,4437.896913141432,-1767.1774148954755,2405.173791156949,4842.200410891832,-2437.026619734883,2774.6494338963457,5369.497779675571,-2594.8483457792254,2708.277302467004,5619.207236099496,-2910.929933632492
,Merchandise      ,1274.289717065616,1614.5775887986981,-340.28787173308206,1158.125092769349,1596.5163788469029,-438.3912860775538,1296.5668150172637,1375.6588432821718,-79.0920282649081,1087.9028253192332,1387.6017179676603,-299.6988926484271,1080.2256937094749,1357.606684966683,-277.38099125720805,931.7397445751608,1517.9208296108984,-586.1810850357376,1405.7795463150578,1490.754495285086,-84.97494897002821,1281.403193094488,1739.3182823506243,-457.9150892561363,1197.4495634834066,1533.5418374456344,-336.09227396222786,1180.2604305426833,1544.621397379328,-364.3609668366448,1424.0743817274424,1663.6444335602955,-239.5700518328531,1331.4294637916432,1930.1817563405143,-598.7522925488711,1872.44565840274,2222.0773099076,-349.63165150486,1749.49054488699,2295.77534385965,-546.2847989726602,1044.97787311451,2374.23260592592,-1329.25473281141,1090.086283328871,1107.916870336944,-17.830587008072825,1532.6909040331905,1929.1283718691682,-396.4374678359777,1373.6897474188006,2188.548525830663,-814.8587784118624,1704.9552221596357,2370.05837394812,-665.1031517884842,1735.66224365382,2375.26855188954,-639.60630823572,1518.927562475505,2302.7747415301737,-783.8471790546687,1642.9136493455744,2652.3368404460825,-1009.4231911005081,1857.5218185472181,2661.635394206087,-804.1135756588687,1863.343636681932,2636.2150111327783,-772.8713744508464,1691.898314780956,2375.43800337163,-683.5396885906741,1826.392494211436,2772.1122815207,-945.7197873092639,2057.739206168136,2903.79322671088,-846.0540205427437,2063.969984839476,3244.6564883967803,-1180.6865035573041,1869.1896124459236,3294.4965204945047,-1425.3069080485811,2005.0179479816495,3739.138168609953,-1734.1202206283035,2252.861381604561,3774.0628986398037,-1521.201517035243,1983.527171746099,3283.477900119562,-1299.950728373463,1647.3724841002704,2312.4822371423897,-665.1097530421193,1541.2865297648016,2239.1107919780475,-697.8242622132459,1930.833211710385,2584.9922439638426,-654.1590322534576,1965.0294793257353,3070.0479574614665,-1105.0184781357311,2095.451625758318,3187.555058253292,-1092.1034324949737,1678.6631722355687,3166.1411751855194,-1487.4780029499507,2395.9726100033254,3317.375139215741,-921.4025292124156,2455.7404686772184,3779.8672441173585,-1324.1267754401401,2670.719498245957,4437.896913141432,-1767.1774148954755,2405.173791156949,4842.200410891832,-2437.026619734883,2774.6494338963457,5369.497779675571,-2594.8483457792254,2708.277302467004,5619.207236099496,-2910.929933632492

B.,SERVICES,309.7568268940693,249.01508775824297,60.74173913582635,261.73332539735094,215.9736283833838,45.75969701396713,591.9357707272303,517.6573051156998,74.27846561153046,192.06351866296757,197.1728448533348,-5.109326190367227,320.0940977393445,256.7735863730194,63.32051136632509,299.6869750466256,235.780557051445,63.90641799518062,327.3090893064458,253.97213558136772,73.33695372507808,321.2287857893812,227.214059382167,94.01472640721423,358.5298914307839,261.2232326863108,97.30665874447311,319.5147033390243,240.29866599167616,79.21603734734816,354.0760418991585,267.420088132047,86.6559537671115,378.04006732496595,243.10778277298488,134.93228455198107,454.3298020219228,305.43624947947023,148.89355254245254,413.0790573742064,270.8309790813922,142.24807829281423,364.5580653011358,290.36856362031835,74.18950168081744,294.69408617713384,241.4412553724552,53.25283080467864,349.0609236445618,300.53789372846273,48.52302991609906,401.1028112298983,292.3972253360992,108.70558589379908,415.26389409391913,326.7156012817342,88.54829281218491,373.89312910420705,282.7983895899,91.09473951430704,396.4366729338135,343.08850206573857,53.34817086807493,415.5745024103349,331.39875637787117,84.17574603246373,442.6329669322149,384.55747368282874,58.07549324938617,370.20238961534386,309.2822060701882,60.92018354515568,442.37527886402336,375.95158241695884,66.42369644706451,418.0905520795416,346.1914493055121,71.89910277402953,438.16263443595744,385.1629246402126,52.99970979574482,476.2488501246952,364.52456116161767,111.72428896307753,511.05142034996487,426.8805070253341,84.17091332463076,485.77666469870286,397.5823143846678,88.19435031403503,499.16496150883967,374.0971880723274,125.06777343651225,508.3898209561407,404.5636516680365,103.82616928810415,484.15211279170575,404.5380480725577,79.61406471914808,416.4078890670875,372.2275255653774,44.18036350171013,490.88604985162914,309.6535072910702,181.23254256055895,500.7697510014851,415.016067410253,85.75368359123206,655.8110795526803,465.1820037433402,190.62907580934012,552.5584446298731,449.5599687105135,102.99847591935958,554.9678876666396,361.1389699618442,193.8289177047954,710.8654673197428,491.68017789680704,219.1852894229358,819.6748754764694,547.6485743461021,272.0263011303673,779.6907251262567,470.7293690757207,308.961356050536,713.9804382799592,507.58715801931396,206.39328026064527,770.541955658753,459.1198316037905,311.42212405496247
