<new sheet>
sheet_name:  BPM6-Current AC-Quarterly

,,,Current and Capital Account  (US$ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2012 -1st Quarter,,,2012 - 2nd Quarter,,,2012 -3rd Quarter,,,2012 - 4th Quarter,,,2013 - 1st Quarter,,,2013 - 2nd Quarter,,,2013 - 3rd Quarter,,,2013 - 4th Quarter,,,2014 - 1st Quarter,,,2014 - 2nd Quarter,,,2014 - 3rd Quarter,,,2014 - 4th Quarter,,,2015 - 1st Quarter,,,2015 - 2nd Quarter,,,2015 - 3rd Quarter,,,2015 - 4th Quarter,,,2016 - 1st Quarter,,,2016 - 2nd Quarter,,,2016 - 3rd Quarter,,,2016 - 4th Quarter,,,2017 - 1st Quarter,,,2017 - 2nd Quarter,,,2017 - 3rd Quarter,,,2017 - 4th Quarter,,,2018 - 1st Quarter,,,2018 - 2nd Quarter,,,2018 - 3rd Quarter,,,2018 - 4th Quarter,,,2019 - 1st Quarter,,,2019 - 2nd Quarter,,,2019 - 3rd Quarter,,,2019 - 4th Quarter,,,2020 - 1st Quarter,,,2020 - 2nd Quarter,,,2020 - 3rd Quarter,,,2020 - 4th Quarter,,,2021 - 1st Quarter,,,2021 - 2nd Quarter,,,2021 - 3rd Quarter,,,2021 - 4th Quarter,,,2022 - 1st Quarter,,,2022 - 2nd Quarter,,,2022 - 3rd Quarter,,,2022 - 4th Quarter,,,2023 - 1st Quarter,,,2023 - 2nd Quarter,,
,,,,,,,,,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net
,,,Goods and services,,,,,,3504.0329650489575,5966.517549550677,-2462.4845845017203,3205.0600523774283,5051.046383880871,-1845.9863315034427,3374.5715058478863,5021.540435482782,-1646.9689296348963,3489.7780755590134,5689.509798327918,-2199.7317227689045,3525.7148091930894,5364.279290494384,-1838.5644813012946,3385.7172631337494,5440.182263913142,-2054.465000779393,3869.3829403664545,5265.601659408704,-1396.2187190422499,4298.517725276418,5437.926747210129,-1139.4090219337115,4267.216869236501,5673.794487502628,-1406.577618266127,3944.7326666196172,5174.922550176521,-1230.1898835569036,4263.246008674866,6124.958588432123,-1861.7125797572567,4259.831496549945,6167.957872676043,-1908.1263761260984,4535.236944931023,5801.293951048089,-1266.057006117066,4004.4460120848007,5781.466516702523,-1777.020504617723,4230.787582974565,5616.868910758504,-1386.0813277839393,4172.69138391169,5806.847215560438,-1634.1558316487478,4667.301103319713,5680.097038928934,-1012.7959356092217,3956.202867936114,5820.219694905261,-1864.0168269691476,4471.376790759159,5612.334837766479,-1140.9580470073192,4352.9748143392535,6329.072519392234,-1976.097705052981,4852.975107966318,6411.368379587577,-1558.3932716212582,4303.507267306727,5979.137771529671,-1675.6305042229444,4992.740156415688,6200.621997861302,-1207.8818414456139,4934.95847556838,6810.10085108452,-1875.1423755161404,5348.355455902808,7155.815833056702,-1807.4603771538946,4631.116871805795,6638.87646898149,-2007.7595971756946,5265.488182914749,6556.644017269985,-1291.1558343552363,5018.832040670443,6489.250489383298,-1470.4184487128548,5604.986269727169,6033.099019353752,-428.1127496265824,4305.729826928097,5929.0520410230765,-1623.32221409498,4707.429792931367,6122.163709696088,-1414.7339167647206,4796.176834550857,6477.675435684207,-1681.4986011333494,4216.189647421852,5396.7798491640915,-1180.5902017422395,2232.407780997436,3584.360800692032,-1351.9530196945962,3523.7919219205432,4538.517427914873,-1014.7255059943296,3110.410322187166,4751.677819026202,-1641.2674968390356,3471.606920738407,5241.474736008186,-1769.8678152697782,3211.973276999359,5160.3789974751835,-1948.4057204758244,3786.699046042836,5137.094790218265,-1350.3957441754292,4503.257254493302,5987.084681805212,-1483.8274273119112,4263.470057790847,5887.327782388717,-1623.85772459787,3915.0120102203537,4588.888019213019,-673.8760089926654,4109.4670144614765,4270.013913891423,-160.54689942994582,3880.8128977257315,4497.486953153803,-616.6740554280716,4240.61136084646,4466.290900781877,-225.67953993541744,4013.645712349695,4835.7227438362725,-822.0770314865775
,,,,Goods,,,,,2570.1385686312806,5349.245446821563,-2779.1068781902823,2309.5763559803104,4434.441749359372,-2124.8653933790615,2424.8743573396223,4389.434961973974,-1964.5606046343519,2468.94031042674,5017.081308045124,-2548.1409976183845,2358.4032880560235,4510.308239339745,-2151.904951283722,2298.020052924555,4583.749013913142,-2285.7289609885875,2676.973042647041,4394.271494547759,-1717.2984519007182,3060.855129124033,4514.426637538145,-1453.571508414112,2816.3699713165006,4747.974487502628,-1931.6045161861275,2633.4801307796174,4237.045550176521,-1603.5654193969035,2852.104945140426,5237.2785349331,-2385.1735897926737,2828.1148945499444,5194.467872676043,-2366.3529781260986,2895.806055351023,4792.093951048089,-1896.2878956970662,2548.6020737548006,4754.6465167025235,-2206.044442947723,2592.4276844307337,4639.978899620804,-2047.5512151900707,2509.6631051016893,4747.877215560437,-2238.214110458748,2739.2039497997125,4594.467038928934,-1855.2630891292215,2391.0789422488688,4726.529643251368,-2335.450701002499,2655.73187243916,4590.14940919505,-1934.41753675589,2523.725713202111,5271.698638439853,-2747.9729252377424,2774.342931861551,5279.426548690168,-2505.083616828617,2623.2098636509995,4869.562415771807,-2246.352552120807,3026.8505694355695,5114.684844264075,-2087.8342748285054,2936.015200049523,5716.122486005155,-2780.107285955632,2988.6837909428077,5971.005833056703,-2982.322042113895,2743.179531885795,5470.066468981489,-2726.8869370956945,3165.740316914749,5409.994017269985,-2244.253700355236,2992.030467710443,5381.660489383298,-2389.630021672855,3156.1293145271693,4816.899019353752,-1660.7697048265827,2843.080174520097,4779.112041023077,-1936.03186650298,2984.794553435367,5000.063709696087,-2015.2691562607201,2956.008461670857,5341.0054356842065,-2384.9969740133497,2649.620395766852,4502.699849164092,-1853.0794533972394,1763.132762327781,3171.8807822872054,-1408.7480199594245,3032.2919219205432,4107.667427914873,-1075.3755059943296,2602.382088922166,4273.127819026202,-1670.7457301040358,2982.161243198407,5041.125736008185,-2058.964492809778,2716.902310459359,4973.609997475183,-2256.7076870158244,3239.425885882836,4922.795790218265,-1683.369904335429,3560.0925200333018,5699.885681805213,-2139.793161771911,3254.173648980729,5651.245760574633,-2397.072111593904,3267.9794359311863,4376.901042917622,-1108.921606986436,3469.799184110677,4057.0774138914226,-587.2782297807457,3114.4872073201313,4205.792303153803,-1091.3050958336717,2997.5842739641357,3893.955735821877,-896.3714618577415,2873.442464698379,4266.548326466273,-1393.1058617678937
,,,,,General merchandise on a BOP basis,,,,2570.1385686312806,5285.345446821563,-2715.2068781902826,2304.0283559803106,4362.241749359372,-2058.2133933790615,2424.565357339622,4367.934961973974,-1943.369604634352,2460.4263104267397,5004.281308045124,-2543.8549976183845,2356.4032880560235,4449.708239339745,-2093.3049512837215,2298.020052924555,4443.649013913142,-2145.628960988587,2676.973042647041,4394.271494547759,-1717.2984519007182,3060.855129124033,4514.426637538145,-1453.571508414112,2816.3699713165006,4747.265504810303,-1930.8955334938028,2633.4801307796174,4236.613228537572,-1603.1330977579541,2852.104945140426,5236.259632853936,-2384.1546877135097,2828.1148945499444,5184.994532814723,-2356.879638264779,2895.806055351023,4764.862345295707,-1869.056289944684,2548.6020737548006,4740.686539765935,-2192.0844660111343,2592.4276844307337,4639.396570141597,-2046.9688857108636,2509.6631051016893,4747.2887609688905,-2237.625655867201,2739.2039497997125,4546.58816879022,-1807.3842189905076,2391.0789422488688,4628.8388232582965,-2237.7598810094278,2655.73187243916,4491.444580167897,-1835.7127077287369,2523.725713202111,5141.959528487692,-2618.2338152855814,2774.342931861551,5127.9474140658895,-2353.6044822043386,2623.2098636509995,4746.103253766866,-2122.8933901158666,3026.8505694355695,4954.905658681531,-1928.0550892459619,2936.015200049523,5501.041571002474,-2565.0263709529504,2988.6837909428077,5625.672031935041,-2636.988240992233,2743.179531885795,5377.582506755458,-2634.402974869663,3165.740316914749,5409.724373180997,-2243.9840562662475,2992.030467710443,5381.0430335482015,-2389.0125658377583,3156.1293145271693,4816.0578943212195,-1659.9285797940502,2843.080174520097,4778.326087423082,-1935.2459129029849,2984.794553435367,4999.375199773777,-2014.5806463384101,2956.008461670857,5340.769954830149,-2384.761493159292,2649.620395766852,4502.501613309503,-1852.881217542651,1763.132762327781,3171.6426532194328,-1408.5098908916518,3032.2919219205432,4105.625917094421,-1073.333995173878,2602.382088922166,4266.987711578645,-1664.6056226564788,2982.161243198407,5040.881786650544,-2058.720543452137,2716.902310459359,4973.24467936474,-2256.3423689053807,3239.425885882836,4922.607741849551,-1683.1818559667145,3560.0925200333018,5699.507413628055,-2139.414893594753,3254.173648980729,5650.025914484754,-2395.852265504025,3267.9794359311863,4376.655792538359,-1108.6763566071722,3469.799184110677,4056.688868964762,-586.8896848540853,3114.4872073201313,4205.792303153803,-1091.3050958336717,2997.5842739641357,3891.4771050637432,-893.8928310996075,2873.442464698379,4265.855197022995,-1392.4127323246157
,,,,,Net exports of goods under merchanting,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Non-monetary gold,,,,0,63.9,-63.9,5.548,72.19999999999999,-66.65199999999999,0.309,21.5,-21.191,8.514,12.8,-4.286000000000001,2,60.6,-58.6,0,140.10000000000002,-140.10000000000002,,,,0,0,0,0,0.7089826923251783,-0.7089826923251783,0,0.4323216389497614,-0.4323216389497614,0,1.0189020791638614,-1.0189020791638614,0,9.47333986132024,-9.47333986132024,0,27.23160575238262,-27.23160575238262,0,13.95997693658893,-13.95997693658893,0,0.5823294792071821,-0.5823294792071821,0,0.5884545915471526,-0.5884545915471526,,47.878870138714035,-47.878870138714035,,97.6908199930711,-97.6908199930711,,98.70482902715293,-98.70482902715293,,129.73910995216085,-129.73910995216085,,151.4791346242784,-151.4791346242784,,123.45916200494004,-123.45916200494004,,159.7791855825435,-159.7791855825435,,215.0809150026816,-215.0809150026816,,345.3338011216623,-345.3338011216623,,92.48396222603114,-92.48396222603114,,0.2696440889887336,-0.2696440889887336,,0.6174558350964414,-0.6174558350964414,,0.8411250325328821,-0.8411250325328821,,0.7859535999952263,-0.7859535999952263,,0.6885099223099783,-0.6885099223099783,,0.23548085405742014,-0.23548085405742014,,0.19823585458813672,-0.19823585458813672,,0.23812906777285997,-0.23812906777285997,,2.041510820451182,-2.041510820451182,,6.1401074475567,-6.1401074475567,,0.2439493576411011,-0.2439493576411011,,0.36531811044402324,-0.36531811044402324,,0.188048368714981,-0.188048368714981,,0.37826817715817723,-0.37826817715817723,,1.2198460898787502,-1.2198460898787502,,0.2452503792635224,-0.2452503792635224,,0.3885449266602394,-0.3885449266602394,,0,0,,2.4786307581337312,-2.4786307581337312,,0.6931294432780052,-0.6931294432780052
,,,,Services,,,,,933.8943964176768,617.272102729115,316.62229368856185,895.4836963971178,616.6046345214991,278.87906187561873,949.697148508264,632.1054735088085,317.59167499945556,1020.8377651322735,672.4284902827937,348.40927484947974,1167.3115211370662,853.971051154639,313.3404699824272,1087.6972102091945,856.43325,231.26396020919447,1192.4098977194135,871.3301648609452,321.07973285846833,1237.662596152385,923.5001096719845,314.1624864804005,1450.8468979200004,925.8199999999999,525.0268979200005,1311.2525358399998,937.8770000000001,373.37553583999977,1411.1410635344403,887.6800534990233,523.461010035417,1431.7166020000002,973.49,458.2266020000002,1639.43088958,1009.1999999999999,630.23088958,1455.84393833,1026.82,429.02393832999996,1638.3598985438314,976.8900111377,661.4698874061314,1663.02827881,1058.9699999999998,604.0582788100003,1928.09715352,1085.63,842.4671535199998,1565.1239256872454,1093.690051653894,471.43387403335146,1815.6449183199998,1022.185428571429,793.4594897485707,1829.2491011371428,1057.3738809523813,771.8752201847615,2078.6321761047675,1131.9418308974089,946.6903452073586,1680.2974036557273,1109.5753557578646,570.7220478978627,1965.889586980118,1085.9371535972266,879.9524333828915,1998.943275518857,1093.9783650793654,904.9649104394916,2359.6716649600003,1184.81,1174.8616649600003,1887.93733992,1168.8100000000002,719.1273399199999,2099.7478659999997,1146.6499999999999,953.0978659999998,2026.8015729600002,1107.59,919.2115729600002,2448.8569552000004,1216.2,1232.6569552000003,1462.649652408,1149.94,312.709652408,1722.6352394959995,1122.1,600.5352394959996,1840.16837288,1136.6699999999998,703.4983728800003,1566.5692516549998,894.08,672.4892516549997,469.2750186696549,412.4800184048266,56.79500026482833,491.5,430.85,60.64999999999998,508.02823326500004,478.54999999999995,29.478233265000085,489.44567754,200.34900000000002,289.09667754,495.07096654000003,186.76900000000003,308.30196653999997,547.27316016,214.29899999999998,332.97416016,943.1647344599999,287.199,655.9657344599998,1009.2964088101182,236.08202181408416,773.2143869960341,647.0325742891674,211.9869762953969,435.04559799377057,639.6678303507999,212.9365,426.7313303507999,766.3256904056001,291.69465,474.63104040560006,1243.027086882324,572.33516496,670.691921922324,1140.2032476513161,569.17441737,571.0288302813161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
