<new sheet>
sheet_name: Anual BOP (1995-2011)
 ,BALANCE OF PAYMENTS (provisional data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,(US$ MILLION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,
,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,,Annual,,
,,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net,Credit,Debit,Net
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,GOODS ,4095.116740252126,5438.9,-1343.7832597478737,4639,5863.8,-1224.8000000000002,4798,5889.16047037527,-1091.16047037527,4610.142665860809,5979.324391295522,-1369.1817254347134,5522.323751905168,7319.843386327291,-1797.519634422123,4816.884450171462,5974.354528895433,-1157.4700787239708,4699.148177694182,6105.600292213291,-1406.4521145191093,5133.213839545175,6671.989424725773,-1538.7755851805978,5757,8000,-2243,6347,8863,-2516,6882.70666705023,10252.96198731512,-3370.2553202648905,7640,11296,-3656,8110.596113778233,14091.175487863824,-5980.579374085591,7084.521704901192,10206.633230545745,-3122.1115256445537,8625.82787667443,13450.938616771911,-4825.1107400974815,10558.820025766256,20268.80233980833,-9709.982314042076
,Merchandise      ,4095.116740252126,5438.9,-1343.7832597478737,4639,5863.8,-1224.8000000000002,4798,5889.16047037527,-1091.16047037527,4610.142665860809,5979.324391295522,-1369.1817254347134,5522.323751905168,7319.843386327291,-1797.519634422123,4816.884450171462,5974.354528895433,-1157.4700787239708,4699.148177694182,6105.600292213291,-1406.4521145191093,5133.213839545175,6671.989424725773,-1538.7755851805978,5757,8000,-2243,6347,8863,-2516,6882.70666705023,10252.96198731512,-3370.2553202648905,7640,11296,-3656,8110.596113778233,14091.175487863824,-5980.579374085591,7084.521704901192,10206.633230545745,-3122.1115256445537,8625.82787667443,13450.938616771911,-4825.1107400974815,10558.820025766256,20268.80233980833,-9709.982314042076

B.,SERVICES,765.4548789171535,660.3736946428875,105.08118427426598,875.5204873002644,716.263964317713,159.25652298255147,914.5455083522819,769.3593972555807,145.1861110967012,967.7220033246646,820.9026252272189,146.81937809744568,953.3642579695447,915.2825133156792,38.081744653865485,1355.4894416816182,1179.8205831626542,175.66885851896404,1268.3189478817974,973.7403383879993,294.5786094937981,1410.1561872260697,1012.0461149950315,398.1100722310382,1526.6646760751416,1108.0779319087478,418.5867441663938,1539.3207580725868,1202.449109936196,336.87164813639083,1624.8465318917072,1368.3269381966265,256.51959369508063,1774.877315504216,1471.8305175243006,303.0467979799155,2004.382867513648,1603.1236611503657,401.2592063632824,1892.2158027119076,1501.4351483392584,390.7806543726492,2474.2028791689354,1767.561120312505,706.6417588564304,3083.8879945414387,1985.084933044927,1098.8030614965116
,Transportation,339.19844665392804,200.88763232438612,138.31081432954193,388.9762532328599,233.27522533105974,155.70102790180016,401.84288607108044,262.93620629521746,138.90667977586298,404.5418556259257,282.74315531254103,121.79870031338464,406.01285457477786,337.02202912645777,68.9908254483201,384.1184705928897,307.1279569725612,76.9905136203285,514.2289483525951,331.0192532073836,183.20969514521153,562,361.15053043649283,200.84946956350717,624,415,209,673,469.7853720226623,203.21462797733773,750.5991530384631,539.63995453455,210.95919850391306,838,596,242,1000.4178630488118,702.0409663503383,298.3768966984735,865.4293147423192,630.8700005421072,234.55931420021204,1161.5584841945447,816.8708530768065,344.6876311177382,1392.0296622143533,953.1120199777333,438.91764223661994
,    Passenger Fares,115.8590333841301,91.00323652811035,24.85579685601975,141.8261788524102,100.43872868132706,41.387450171083145,139.08665176209644,123.65691276751424,15.429738994582195,141.8045690365622,123.24247017706642,18.56209885949579,141.963274869173,145.44110906048718,-3.477834191314173,134.06256978429752,152.4897497181447,-18.427179933847185,231.06890316861083,175.41059838791236,55.65830478069847,268,182.60257199655513,85.39742800344487,295,203,92,300.3643156961881,238.05792014299968,62.30639555318842,322.77582429616336,292.9196594260873,29.856164870076043,364.629355535484,315.66279909821924,48.966556437264785,460.6739086137393,349.4338898884239,111.2400187253154,404.2013052183337,323.7768952382646,80.42440998006907,467.7672203181095,375.27108800896434,92.49613230914514,591.1632728826246,424.6591912229128,166.5040816597118
,    Freight,28.54033070182002,44.78818869891197,-16.247857997091952,33.2732048696136,54.03881548253841,-20.76561061292481,34.158310460167925,57.10451034635832,-22.946199886190392,36.565368733805,65.39528090554458,-28.82991217173958,43.022459000288364,76.77526626207055,-33.75280726178218,39.58019742945388,62.097719431015626,-22.517522001561744,43.22472189926596,62.58569312457047,-19.36097122530451,45.001881073547175,71.80174897593513,-26.799867902387952,50,85,-35,53.602778041015966,91.21443374063298,-37.61165569961702,62.912618606488984,104.70084793442322,-41.78822932793424,71,115.40479806343734,-44.40479806343734,104.35107322664112,147.4027329761224,-43.051659749481274,74.06816001847395,116.23784986939293,-42.169689850918985,107.8281342338608,174.8735845828385,-67.04545034897771,166.61120740928223,224.51837152538505,-57.90716411610282
