<new sheet>
sheet_name: 4.06
,4.06 Assets and Liabilities of the Central Bank - Monthly,,,,,,,,,,,,,,

,ASSETS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rs. Million,,
,End of period,A S S E T S,,,,,,,,,,,,,

,,International Reserves,,,,,,Domestic Assets,,,,Total Assets and Liabilities,International Reserve as a Percentage of Currency and Deposit Liabilities,,
,,Cash and Bank Balances Abroad Including Treasury Bills,Foreign Government and non Governmental securities            (a) (b),Special Drawing Rights,IMF Related Assets                    (c),Receivables              (d),Total,Loans and Advances to,,Government and Government Guaranteed Securities                    (f) ,Other Assets and Accounts ,,,,
,,,,,,,,Government ,Others                         (e),,,,percentage of Curresncy and Deposit Liabilities,,
,2017 Jan,474727.067581603,357686.46800195414,307.24360741000004,118312.56656559,3438.9127010326006,954472.2584575897,203666.0714,484.043399,207403.639916,89511.52499205503,1455537.5381646447,74.51638153333049,,
,Feb,520894.1218775,353814.13924891,21.45440248,118672.83094452,6576.83009914,999979.3765725499,202818.6714,483.982522,253397.418971,44626.65665378515,1501306.1061193352,73.45479550624779,,
,Mar,433619.1919413858,347329.42342965084,21.570262399999997,119313.69819360001,4470.3171871800005,904754.2010142166,203639.5714,483.494817,263375.43327,43020.44295262522,1415273.1434538418,71.77807765690487,,
,Apr,399658.72785642004,347149.87595473,331.76695018,120691.02929382001,10960.336521570001,878791.7365767201,203751.8714,483.494817,273759.540326,40434.806921034586,1397221.4500407549,70.09982580610301,,
,May,670272.4305465601,341820.37496411,29.33232564,122342.83024936,5878.45815949,1140343.4262451602,203653.8714,483.43394,211302.454952,48991.6048414649,1604774.791378625,78.29566390475215,,
,Jun,706294.18807001,410958.5558094399,37.54536154,123781.62581346,44606.71969710001,1285678.6347515502,196975.5714,304.588472,214085.846073,40331.81205029506,1737376.4527468453,81.39882550409637,,
,Jul,633499.2631508599,478696.677481312,714.47804088,125414.86415512,14682.903589147798,1253008.1864173198,202890.1714,331.890007,136912.606992,40686.9744345448,1633829.8292508645,85.01696202643139,,
,Aug,660865.133955915,519587.04611716507,349.11325686000004,125186.21156114,12466.02769775,1318453.53258883,203652.7714,331.82913,90200.424518,61428.43309730012,1674066.9907341301,88.81964049873828,,
,Sep,628052.2943109731,592839.4195817898,349.69112763,125400.23016636999,20354.02245371322,1366995.6576404762,203770.0714,331.341424,49093.815907,53836.54378376971,1674027.430155246,91.12727920724943,,
,Oct,561922.2658827122,592805.1084252814,348.67790847000003,125036.88690353,17888.745667078925,1298001.6847870725,203654.0714,331.341424,43739.084714,55421.314635280054,1601147.4969603526,91.29699274613797,,
