<new sheet>
sheet_name: Sheet1
,Treasury Bills and Treasury Bonds Inflows,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,USD Mn
,,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023
,January,10.82,126.66,97.55000000000001,229.63672612486425,676.2118753079214,260.4838921002504,81.2392796697207,13.227109871228892,82.84188992292043,170.01864347387328,72.49492913036798,58.7471642163255,3.1035921832884097,5.186772566667451,3.3995677512757774
,February,1.5,98.37,84.9,384.96018445090544,567.6383487319519,120.52993349234531,109.15706507009766,9.737345723692156,129.92022868443019,95.06275218319857,94.54601431200993,19.973942791166948,0.0112314783268449,0.0,30.58023169468276
,March,2.23,142.45,109.85,185.64,193.10937982633797,188.83952541240376,158.34539631964765,20.378157456077208,69.27892283298918,92.79032126467581,71.1031381145217,4.082408732170248,4.292929007525252,0.0,92.6594685318491
,April,8.91,79.17,34.66,172.8,144.89507108761657,212.28231215360228,167.2164271375523,174.35043099369742,103.19925063310654,122.16394267772745,28.997838371398508,1.1755276396652867,0.0987691316452849,3.816025831493923,150.8055658364019
,May,110.66,79.59,48.370000000000005,120.78,125.83672873084116,92.78380123551847,10.148832105141963,189.73471964129072,186.78583083035218,25.273571136586977,59.91486259544776,2.497069233290879,6.517791529416382,0.12983237531335862,120.23145574523353
,June,70.49,65.09,35.620000000000005,57.57000000000001,110.85038186171384,67.00565007830433,21.335434,193.62908316425688,157.72478303495333,47.77527904027153,49.059643273744385,3.220720532560062,0.14299894775961375,2.1539839779346206,132.27529790736256
,July,94.66,172.14,184.4,573.61,205.26634075394858,467.76964403250815,83.82699194121355,308.39435364338976,203.90441746634386,28.92127907795342,40.47635354482347,1.2401446913122258,1.3728626813406704,4.251354993926172,74.26248780722229
,August,982.53,104.28999999999999,178.51,142.36,233.87687317201204,137.1539058408077,372.1496957453288,127.09048160933081,140.3464514257572,74.80078442349536,15.596712447122577,0.5037845673141997,0.0,0.11059320096290381,52.442491799434634
,September,267.41,108.5,92.68,87.1,29.631560662403842,63.55069899121528,88.32808562980306,124.55647690301515,187.15514403458295,24.636706676747526,21.944803943761222,10.241244987894117,0.689000239409754,38.72141793642381,
,October,120.47,39.35,48.15,143.19,41.54255361266555,26.66329879080332,43.21386365026308,43.06031098059203,141.8296069964422,16.731967245097255,56.50671153105678,0.9169978720865872,0.012795032447204969,6.696796899448675,
,November,58.88,64.3,76.74,62.489999999999995,76.14342653353658,74.18316371008508,70.05665549550554,7.915344691090683,139.97694174297914,0.0,69.14293010198483,0.685089255755956,0.0023396923495914834,0.066723554183889,
,December,62.92,98.17,162.05,76.22,28.817139700519377,64.22898826655333,5.846786125863121,26.10196081985548,123.82882971556876,8.210510233751839,16.676161905045245,16.51561116103837,0.6217486091476156,7.452692107552553,
,Total,1791.4800000000002,1178.0800000000002,1153.48,2236.3569105757692,2433.8196799814687,1775.4748141043979,1210.8645128901373,1238.1757754975174,1666.7922973204259,706.3857574333789,596.4600992712843,119.79970568058037,16.86605853265662,68.58619344390736,656.6565670734626

