<new sheet>
sheet_name: Sheet1
,Inflows and outflows of the CSE market ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD Mn
,,,,,(USD Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Primary Market Inflows,Secondary Market ,,CSE net Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflows,Outflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-02-01 00:00:00,16.657129367436895,67.1571377986513,56.656448640731476,27.157818525356724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-03-01 00:00:00,0.025482066933774958,39.957056972197336,29.437599112802303,10.544939926328809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-04-01 00:00:00,0.015048992986733635,41.319052158316815,35.05849519917738,6.2756059521261705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-05-01 00:00:00,7.980677428403642,55.70426941317148,50.39916674946819,13.285780092106933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-06-01 00:00:00,6.48708783844027,23.206007440369003,43.036100202864276,-13.343004924055002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-07-01 00:00:00,1.4085076223389135,65.3723945480366,71.6116303385458,-4.830728168170282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-08-01 00:00:00,0,50.592739048257656,82.75242709457657,-32.15968804631892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-09-01 00:00:00,0,42.61708959173333,41.28077925488253,1.3363103368508007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-10-01 00:00:00,2.5110987299007417,55.653544712580484,59.437511808234454,-1.2728683657532258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-11-01 00:00:00,0.05488140114928069,32.74797263150277,33.245725110087676,-0.44287107743562615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-12-01 00:00:00,1.1403756713592144,99.69222545302698,104.27341874021812,-3.440817615831932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2015,36.30721723550629,626.6801815295596,658.972050571809,4.015348193257026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-01-01 00:00:00,0.15449812840751187,27.6817227366833,46.71669564646567,-18.88047478137486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-02-01 00:00:00,0.002084370261828719,40.7856420664383,32.00583747890875,8.781888957791374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-03-01 00:00:00,1.1436767351900492,49.37576447096399,52.9213939406715,-2.401952734517458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-04-01 00:00:00,0.01637941502111051,28.5334726528733,35.54238098273734,-6.992528914842932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-05-01 00:00:00,0.0003477509814610622,48.249971660199726,66.0248143817569,-17.77449497057571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-06-01 00:00:00,0.03131806242500169,24.986560647813036,28.65013071568407,-3.632252005446034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-07-01 00:00:00,0.021525787020525943,32.627376338175004,22.55053647235846,10.098365652837074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-08-01 00:00:00,0.0042907067604764084,53.4869795189516,46.76390355155617,6.72736667415591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-09-01 00:00:00,0.04938783775107543,39.2518044586192,34.245196453224146,5.055995843146128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-10-01 00:00:00,0,28.806568920171237,20.54334001795091,8.263228902220327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-11-01 00:00:00,0.22940906975637304,21.116143845127816,19.30444177581927,2.041111139064917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-12-01 00:00:00,12.539662538105503,117.99219864856515,102.7344638742055,27.79739731246515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2016,14.192580401680917,512.8942059645816,508.0031352913387,19.083651074923885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-01-01 00:00:00,0.0364421551084202,36.70922078352928,47.73456169857714,-10.988898759939438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-02-01 00:00:00,45.37516580601658,46.701501179920065,32.50926217230901,59.56740481362763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-03-01 00:00:00,2.7623329580831975,86.53754447900361,52.55681648094542,36.743060956141385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-04-01 00:00:00,0,124.87811134857391,53.783486627509376,71.09462472106453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-05-01 00:00:00,15.057303692189075,42.241360769195055,22.635626105808957,34.66303835557517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-06-01 00:00:00,20.192004539401506,80.29294977259777,62.24961993162593,38.235334380373345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-07-01 00:00:00,0.006767925030727586,53.5602153575074,30.13656023692716,23.430423045610972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-08-01 00:00:00,64.12189340003472,43.353921870875396,31.942787059021793,75.53302821188832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-09-01 00:00:00,0,50.91521422796354,113.06662061663037,-62.151406388666835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-10-01 00:00:00,0.006513548131261412,78.80124934151428,65.99885180786634,12.8089110817792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-11-01 00:00:00,0,58.80503433113203,70.25116824874343,-11.446133917611398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-12-01 00:00:00,9.383131077933117,39.359181258823725,37.64823710392025,11.094075232836587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2017,156.94155510192863,742.155504720636,620.513598089885,278.5834617326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-01-01 00:00:00,10.583338234128082,69.57142090224367,43.307644450648326,36.847114685723426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
