<new sheet>
sheet_name: Sheet1
,Government Long term Loans - Disbursements,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,USD Mn

,,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023
,January,77.9239161970407,112.18797686142653,64.0296896237407,95.74822829014373,149.87323857208906,112.1907274165685,103.94999440480106,72.67251263380075,133.8602624592709,122.69444427377002,213.2876670824089,83.78773303890966,61.29187543721664,129.4226899593838,51.37397891178334
,February,63.374409014060774,80.22885361034645,86.13487124830641,143.7847207828221,150.80769679186594,92.69807239111366,54.23143915492206,43.870291308800674,97.28989618233832,194.80250276812976,140.6717920215656,69.68497952223692,125.90323059640696,142.24665677255746,41.421184072899294
,March,108.80832643373145,132.13846254898954,234.21417719285802,184.3247897909269,142.6822059738748,473.6059652633827,80.02771887556531,100.8576204224282,123.64729350743377,115.39417218397611,111.40956131520943,593.232300503824,172.5934726377913,305.8085793602729,175.26289562878617
,April,69.2068409362196,98.2194287560763,86.8196902804315,109.40024907030408,99.72129773428479,84.59128693284947,88.77250472944306,92.22785061121088,62.918623807216974,112.35184333597635,106.34310059168074,141.1059521645761,566.4222244909605,474.4554664142835,68.190227572401
,May,90.53619018621089,112.66306670019289,66.92193724185721,152.51525109815825,142.18956067880086,85.0377696357828,79.00459879645538,109.76641295377553,575.8528605488982,138.83906226349654,80.8003932920135,118.0895560261061,84.30755761776348,253.94451976714532,383.1916493908518
,June,92.93482943454093,108.42239882268963,496.58065849913703,386.0217090790091,265.18528982719977,154.07791379253837,125.0888870213621,100.90884311787427,145.33007500062817,136.74203395562944,126.693004780298,117.69598045605107,195.32964281221206,239.76740439622057,287.97935877399414
,July,98.70737033017625,105.42217960953371,1094.47751410425,106.70200164325593,100.03282486361717,116.74420283122811,98.79493403147765,377.2521947380435,85.57585667939503,44.06559591135508,69.69650526457598,100.64961679907917,84.3128713756534,134.4772256210997,
,August,105.97408522119326,124.19986233808274,148.240375699403,137.32507716929558,105.59921323470402,65.04721999254926,99.6079161695491,239.53277029589825,611.5072346372443,131.7617145035766,253.86793057658036,117.19805398616413,447.23318263775866,63.68506845430552,
,September,62.338194045192424,89.95639011509274,139.450804767644,119.41984433237772,150.95278370296015,68.69694469435063,93.71895054048368,484.26215393530526,117.7005093509052,134.95219533825446,88.65486954569761,119.51517813045348,254.49803448035152,180.95083365312348,
,October,648.2836775153391,1170.9649573987522,281.997057348699,162.63981822589554,145.54310073353423,164.229572088714,85.38303482392857,85.56686344059614,132.794962526092,1074.520262070032,164.40736058324774,250.56508176654143,90.08907853265808,79.0993388233316,
,November,226.96826636066558,130.56399235355747,142.419779979939,110.79680497825979,95.18166043969245,21.818797035276276,38.73166299205445,219.54380303392938,197.0716213574118,85.85824556524854,121.42065424799108,89.34066136257617,94.04970301918935,257.64658744538707,
,December,135.09355880264323,195.13736192028574,184.672267043938,145.53782305514306,129.4159785990341,0.0,320.468704360743,236.48124853668102,251.6634732146094,35.85270838977252,95.88041438664688,81.37472266327312,367.67813937310336,129.24618840288932,
,Total,1780.1496644770143,2460.104931035026,3025.9588230302043,1854.216317515592,1677.1848511516573,1438.7384720743537,1267.7803459007855,2162.942565028344,2535.212669271444,2327.8347805592175,1573.1332536879158,1882.2398164197914,2543.709013011066,2390.7505590700002,1007.4192943507157

