,Item,,,,,31st Dec - 2012,,31st Dec - 2013,,31st Mar - 2014,,30th Jun - 2014,,30th Sep - 2014,,31st Dec - 2014,,31st Mar - 2015,,30th Jun - 2015,,30th Sep - 2015,,31st Dec - 2015,,31st Mar - 2016,,30th Jun - 2016,,30th Sep - 2016,,31st Dec - 2016,,31st Mar - 2017,,30th June - 2017,,30th Sep - 2017,,31st Dec - 2017,,31st Mar - 2018,,30th June - 2018,,30th Sep - 2018,,31st Dec - 2018,,31st Mar - 2019,,30th June - 2019,,30th Sep - 2019,,31st Dec - 2019,,31st Mar - 2020,,30th June - 2020,,30th Sep - 2020,,31st Dec - 2020,,31st Mar - 2021,,30th June - 2021,,30th Sep - 2021,,31st Dec - 2021,,31st Mar - 2022,,30th June - 2022,,30th Sep - 2022,,31st Dec - 2022,,31st Mar - 2023,,30th Jun - 2023,
,,,,,,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities

,     Other Sectors,,,,,,2187.772505462874,,1043.8900095314311,,969.9800860121923,,1316.2078226935919,,1563.3058809805516,,1869.3046978186749,,1660.5439968303845,,1855.201086788652,,1609.696413585093,,1492.4651154433232,,1025.8493726666088,,994.6338186606581,,1453.7878998348142,,1419.3504898263036,,1313.989479062469,,1667.9971437760973,,1635.5316452897391,,1533.496191549756,,1761.6171135312725,,1441.3127590234035,,1238.1887266992085,,812.1867525221296,,738.5014591418421,,649.1154639007423,,984.6238947012844,,1049.2461745250594,,412.07010677995095,,611.3333060312257,,782.4368921609871,,867.4193525546266,,735.6978513882436,,741.5068233613074,,833.8947341528697,,1142.1090663255309,,725.4581764824266,,475.24283440140334,,563.7847304407132,,1250.7457586981714,,654.0552802019765,,636.6387783354921
,  Debt securities,,,,,0.2988351992123359,7054.589664116978,0.3110842886970089,8429.327724158686,0.3112129394490527,9850.213887642607,0.3112000831914832,10808.423234294589,0.3126593168557045,10941.638674045333,0.09085453030402461,10794.944931366317,0.09395767494356658,10111.14133416861,0.09764348541510845,10775.491625882793,0.10916913480158745,9882.34280404021,0.11353804569273156,10838.8022929213,0.10253871438498957,10510.244253062214,0.10024280895008607,10705.932293178668,0.10029639545019897,13006.638695766971,0.10852194259012014,12264.535109555985,0.1112175405343776,12147.433674858179,0.11325922741189501,13350.479730209507,0.11262541778713415,14078.555184294233,0.02766714555251127,14086.659090004126,0.02749727035214541,13730.81988708421,0.06813133582169245,15020.384708371865,0.0681453666220944,14088.025357182856,0.06817500857729608,12804.611144076425,0.06784527905524329,15158.10536779493,0.06807252535368274,16421.72563057964,0.06816397438096118,15945.349531413272,0.06801495314753846,14805.780663281586,0.0687708324939191,8872.697302131774,0.06809870310348753,10098.219975749122,0.06788760818100671,10107.66858507099,0.06854174869989625,7711.877796694583,0.06867227163497167,8274.33492574384,0.0676960903975925,8792.226285244631,0.06812717109273313,7564.6320122881525,0.0679748625231872,6360.226649579604,0.0664553678929766,5520.793949169941,0.06811846063473698,3921.7798618647075,0.06814468999724442,3366.484431061675,0.06837645066233372,4034.5344691253263,0.06812226443135157,4973.641290641709,0.06779380889162323,6395.573546045078
,     Deposit taking corporations,,,,,0.2988351992123359,542.1096528,0.3110842886970089,1953.5865069750002,0.3112129394490527,1983.31663187,0.3112000831914832,2027.67418575,0.3126593168557045,2272.500395865,0.09085453030402461,2263.20854057,0.09395767494356658,2216.29547919,0.09764348541510845,2219.38245834,0.10916913480158745,2206.692062515,0.11353804569273156,2140.0236666700002,0.10253871438498957,2161.7598263850005,0.10024280895008607,2203.33829168,0.10029639545019897,2227.1965763850003,0.10852194259012014,2189.6158263849998,0.1112175405343776,2202.3522013849997,0.11325922741189501,1690.9382916700001,0.11262541778713415,1674.809673625,0.02766714555251127,1666.234048625,0.02749727035214541,1638.3032638599998,0.06813133582169245,1131.167006975,0.0681453666220944,349.40905555,0.06817500857729608,248.64794445,0.06784527905524329,249.64193054999998,0.06807252535368274,254.01793055,0.06816397438096118,0,0.06801495314753846,0,0.0687708324939191,0,0.06809870310348753,0,0.06788760818100671,0,0.06854174869989625,0,0.06867227163497167,0,0.0676960903975925,0,0.06812717109273313,0,0.0679748625231872,0,0.0664553678929766,0,0.06811846063473698,0,0.06814468999724442,0,0.06837645066233372,0,0.06812226443135157,0,0.06779380889162323,0
,         Long-term,,,,,0.2988351992123359,542.1096528,0.3110842886970089,1953.5865069750002,0.3112129394490527,1983.31663187,0.3112000831914832,2027.67418575,0.3126593168557045,2272.500395865,0.09085453030402461,2263.20854057,,2216.29547919,,2219.38245834,,2206.692062515,,2140.0236666700002,,2161.7598263850005,,2203.33829168,,2227.1965763850003,,2189.6158263849998,,2202.3522013849997,,1690.9382916700001,,1674.809673625,,1666.234048625,,1638.3032638599998,,1131.167006975,,349.40905555,,248.64794445,,249.64193054999998,,254.01793055,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0679748625231872,0,,0,,0,,0,,0,0.06812226443135157,0,0.06779380889162323,0
,     General Government (a),,,,,,6507.681747466979,,6475.741217183685,,7866.8972557726065,,8604.75047910209,,8492.346958737833,,8357.708029296316,,7719.585785536108,,8384.042848100293,,7502.78817208271,,8534.2912651363,,8180.085329447214,,8330.208890383668,,10600.06177215197,,9902.731435940987,,9767.58237624318,,11481.491577424506,,12224.028677341734,,12243.600958051627,,11914.881900994209,,13715.530493069366,,13562.426982190356,,12385.447866298926,,14731.42799280243,,15991.375755587142,,15767.360336970773,,14631.932066051586,,8749.084107689274,,9969.575531306622,,9982.96164062849,,7616.162518924582,,8168.08562018634,,8673.863090802131,,7453.774373403153,,6266.431510694604,,5435.311310284941,,3836.0784729797074,,3261.970542176675,,3956.8782191253263,,4872.797540641709,,6295.823546045078
,        Short-term,,,,,,575.9665379882714,,507.2965358231002,,646.2238393202415,,593.9293499327692,,543.1256862769641,,398.7850172251944,,311.7535985864047,,216.16901409366196,,28.28023701717558,,33.411526505494145,,15.218652424172397,,36.4521165787835,,84.80033709046984,,79.72694803802277,,77.93317570912345,,129.07932569325007,,124.90866485544038,,166.72743170836205,,159.5858435325766,,129.89139353660647,,99.59524986441352,,59.58419665661475,,65.33264320550322,,65.79722333718857,,61.3516654719304,,118.55724234423839,,52.985633150176035,,8.447744394390067,,8.520304578655457,,3.5689075491674327,,5.7441580290130645,,2.62114556538202,,0.2996957709914224,,0.9782937972926565,,4.065859701316731,,5.770433946467979,,26.975208142053297,,30.89036963243504,,170.56286859610958,,510.227013964599
,        Long-term,,,,,,5931.715209478707,,5968.444681360585,,7220.673416452365,,8010.82112916932,,7949.22127246087,,7958.923012071123,,7407.832186949703,,8167.87383400663,,7474.507935065534,,8500.879738630807,,8164.866677023041,,8293.756773804886,,10515.2614350615,,9823.004487902965,,9689.649200534055,,11352.412251731255,,12099.120012486293,,12076.873526343265,,11755.296057461632,,13585.639099532758,,13462.831732325943,,12325.863669642311,,14666.095349596926,,15925.578532249952,,15706.008671498843,,14513.374823707347,,8696.098474539098,,9961.127786912231,,9974.441336049835,,7612.593611375415,,8162.3414621573265,,8671.241945236749,,7453.474677632162,,6265.453216897312,,5431.245450583624,,3830.3080390332393,,3234.9953340346215,,3925.987849492891,,4702.2346720456,,5785.596532080479
,,  Non resident holdings of SLDBS (book value),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.32,,24.08,,25.737,,25.8358,,26.562,,25.6045,,27.4574
,,  Non resident holdings of Treasury Bonds (Book Value),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.211624335717081,,4.470353053623921,,3.8374531932390967,,30.909830584621428,,33.62803373289161,,33.14380244559985,,36.28932279047787
,,  Outstanding ISB (market value) - (proxy market price of ISBs from 2Q-2022 onwards),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6232.9215925615945,,5402.69509753,,3613.72778259,,2814.7259169500003,,3315.2682260099996,,3916.43415535,,4807.79179179
