<new sheet>
sheet_name: 1_01
,1.01 : Agriculture Production Index- Annual (1997- 2019),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Base Period:  (2007 - 2010 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Item,,,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020(a),2021(b)

,Agriculture and Fishing,,,77.38357105316263,80.28823067818973,82.33937925931409,85.15490783597696,81.59471693109249,81.8757192607522,83.9814996308493,83.84442642100285,82.34745342081483,88.62992000898703,92.56297390736682,99.2411112698485,99.52858125747368,108.66735503193722,111.10035429595054,116.76668250350542,121.71143816941441,120.45817992900894,127.66276770753575,127.23921635553802,113.63331111779603,126.13789647710514,126.0,129.4,133.3
,1. Agriculture  ,,,78.36161482602482,80.16704750964249,82.02138428261229,84.156452108337,80.82592269362638,80.0516678572831,83.68921091591595,83.15241661263538,89.19220908364167,91.35742711046811,93.65425834734788,99.97707863193651,99.05839582768134,107.31029305573993,106.54897279680478,110.83827849501414,115.1586742867093,112.28553608770858,121.8776206943898,120.70873414253057,104.29243359445542,119.61869778046206,120.8,129.6,133.8
,   1.1 Agricultural crops,,,79.69039139973307,81.68704701833575,83.82580562077402,85.97422176259008,81.24070622709975,80.2876368770382,84.15894541361862,82.84289403038397,89.4168292442078,91.86382914170811,92.83028598073244,100.36595466009368,98.96048969237326,107.84329878528543,106.73869734492423,109.29918677879054,113.0259542980333,109.28068265709273,118.6862344405827,115.98397292311802,96.45175534621396,112.51799052462417,113.29601665141892,123.7,126.9
,         Tea ,,,89.0222475389713,90.04918045939202,91.20127082948902,98.45077541458403,95.09398843095883,99.67346742295997,97.828197331579,99.29157674317851,101.79472573670402,99.7408598958626,97.9437272851263,102.27610054315122,93.42843160065148,106.35174057107099,105.11040430990907,105.3880390106143,109.1201228372231,108.47941721556766,105.5109392424765,93.89170222154473,98.54122826311948,97.53937244771066,96.31347127395843,89.5,96.1
,         Rubber,,,78.8452746918208,71.33769934853528,71.9932471016871,65.31979561586337,64.17461123136046,42.264879448216405,68.57813740040666,70.65840847992729,77.77845339589422,81.35774500761586,87.61692813547405,96.33135809942141,102.0231795267159,114.02853423838863,117.91283562809247,113.32968017557636,97.20908044363541,73.51905550296658,66.01355297726333,58.956941794902164,61.93856205953605,61.536296813524835,55.71711896959992,58.3,57.3
,         Coconut,,,92.87778152364041,90.0889769853023,99.83214220785067,109.2928968442382,97.7493641349146,84.44076526208585,86.48824201175181,91.44313574594344,88.7828280243085,98.29794669853199,105.09203937509596,97.07863899278264,102.03035560787997,95.79896602424142,99.14235435115285,103.76929879216522,88.72352180121472,101.31479778519497,107.86566434442797,106.3021687367951,86.47165038981487,92.59925408303931,108.92470404253105,98.6,110.1
,         Paddy,,,59.92995077622113,71.96119108281617,76.69702774800678,76.47000151885628,72.05194809362145,76.46353033541054,82.12530778232009,70.26903009260745,86.79637913219825,89.36410193878797,83.72641761702147,103.62576129996985,97.64735045148538,115.00047063152334,104.13321439191199,102.84219206059473,123.56022963229233,90.40350235422723,128.87268240715187,118.19496231738962,63.7265299268168,105.0853607925435,122.79354036841892,136.9,137.7
,         Other crops,,,83.23464718250337,83.52659832035995,81.02276999394873,81.14563994635299,77.48230576074704,81.81254924699147,81.52236353538426,82.37135191932221,88.13293198914555,89.29204762012762,92.38574253863054,99.60445475064526,100.779901500633,107.22990121009121,109.83584937987867,117.94430359866564,124.16796781572155,139.3193683490924,140.75456072062997,150.22087691153368,135.6706050936509,152.8160238922321,136.26211720477332,167.1,166.9
,   1.2 Livestock,,,67.80630516764023,68.09273357883983,67.68772853088504,69.71676227040611,77.5310357098861,78.1772172366272,79.95781379575118,85.611149530246,87.40790960304878,87.33475666523582,100.19959008457593,96.88799128863204,99.83612595634274,103.07629267044929,105.04187115547363,123.0642538612545,132.10021309806714,136.15498040647418,147.22881277210453,158.24048983389463,166.67676464024606,176.44795894125193,180.5,176.4,188.7
,2. Fishing,,,72.60765639869021,80.87998381501158,83.89218999378078,90.0304967142975,85.34883895187215,90.7827989539702,85.40878335343969,87.22360011089714,48.92362333935275,75.31114890938655,87.23409038117146,95.64728714117656,101.8245577227122,115.2940647549398,133.32534074645767,145.71584855046945,153.70943449950173,160.3662602935777,155.91239125710902,159.1284084012079,159.2452999842646,157.97148145095426,151.60838322455922,128.5,130.7
,(a) Revised ,,,,,,,,,,,,,,,,,,,,,,,,,,,Source:Central Bank of Sri Lanka
,(b) Provisional ,,,,,,,,,,,,,,,,,,,,,,,,,,,

