<new sheet>
sheet_name: GDP at Constant Prices

,,GDP Constant Prices (2002),Agriculture,Industry,Services,GDP Constant Prices (2010),Agriculture,Industry,Services,GDP Constant Prices (2015),Agriculture,Industry,Services
,Q3,,,,,2447651.927996213,166191.78687823963,646488.9300907501,1423591.2940272237,3381562.177569833,226546.67169707888,1076924.9083735524,1812046.176079719
,Q4,,,,,2687134.810288887,196919.62123123734,613391.472945385,1467928.305112265,3310769.357721025,278977.28733817936,909016.992527961,1833281.6770993986
2019.0,Q1,,,,,2339696.1466451264,165856.81455130296,738024.2516899821,1332473.0234038413,3416840.9851057134,233807.0246845195,1078402.075181681,1863872.101918912
,Q2,,,,,2313579.2451443006,166480.78589731193,581293.754494444,1394573.3117525445,3066814.0826743306,223726.54069150958,890397.5036475579,1696792.7548820477
,Q3,,,,,2505503.2029795777,170480.21905789542,667958.1442533528,1451961.6236683296,3421976.663091625,234333.85532896954,1065394.4224345125,1866631.558718796
,Q4,,,,,2731689.2383079394,185258.2718035548,620913.2035412005,1504952.0519631843,3300644.1995437504,257714.09402506557,899534.0162894651,1879739.4949291556
2020.0,Q1,,,,,2295980.9951965953,154136.95659347187,678957.3963128028,1370662.777290321,3386606.939828616,224001.34618793256,1030038.1307257263,1917377.678146355
,Q2,,,,,1933385.4804067756,153421.48821514874,447454.9129580698,1213312.9562335573,2541220.7508973368,215263.7490672192,720904.8201823756,1473013.0505019394
,Q3,,,,,2537121.856532074,176393.75518114277,671509.782707689,1480341.6126432428,3382766.530239202,244218.8793954993,1058130.8674992518,1875862.8193582338
,Q4,,,,,2766420.182758426,188977.46585320763,629949.8718315496,1530858.8980736686,3284955.8196656853,257562.065275154,915492.2314580265,1900252.0297489853
2021.0,Q1,,,,,2392802.095889244,160529.84379392132,718919.6241945719,1410872.5089007511,3537999.23370407,233575.26433802076,1097761.8715783677,1999973.514973435
,Q2,,,,,2173918.8142824965,168402.49293939094,548920.1621794979,1302247.0536763615,2893051.391727015,240190.4420411109,883910.6728609893,1583741.0959687543
,Q3,,,,,2499797.0128869065,177889.35423227618,660683.1911216924,1457506.7905329377,3275810.5260379934,236244.35752865308,1039388.5102106809,1846925.397428465
,Q4,,,,,2814878.659829698,179656.07569415044,628475.3466663384,1589681.7904692097,3331072.850325113,239919.33015231465,916818.7035744023,1983610.3543282023
2022.0,Q1,,,,,,,,,3519400.064543898,223222.07358957877,1057366.1208765362,2035646.4063522667
,Q2,,,,,,,,,2680074.1036783117,221249.0153491556,794226.8518183007,1554497.2784876833
,Q3,,,,,,,,,2900653.903160009,220361.54162732075,817545.1562625406,1768873.2536084095
,Q4,,,,,,,,,2917720.7506058705,241672.5643662853,640626.123752808,1906077.9085406142
2023.0,Q1,,,,,,,,,3114187.314755946,224946.4721632997,809637.7246484827,1934824.2331440488
,Q2,,,,,,,,,2597439.913299218,229304.71166083982,702638.1853163978,1541491.9993219802
,Q3,,,,,,,,,,,,
,Q4,,,,,,,,,,,,

,"Source: Department of Census and Statisticis, Sri Lanka",,,,,,,,,,,,
,http://www.statistics.gov.lk/NationalAccounts/StaticalInformation/GDP,,,,,,,,,,,,

