<new sheet>
sheet_name: Formal Private Sector
Minimum Wage Rate Index of Formal Private Sector ,,,,,,,,,

,,,,,,,,December 1978=100,
Period ,,Workers in Agriculture,,Workers in Industry and Commerce ,,Workers in Service,,Workers in All Wage Boards ,

,,Nominal Wage Rate Index,Real Wage Rate Index*,Nominal Wage Rate Index,Real Wage Rate Index*,Nominal Wage Rate Index,Real Wage Rate Index*,Nominal Wage Rate Index,Real Wage Rate Index*

1998,January,1091.3,112.95821186037459,781.3,80.87075133007482,487.2,50.42906700116787,941.3,97.43202128119728
,February,1092,114.72783948720202,781.3,82.08503753786715,487.2,51.186266848136285,941.7,98.93700223910086
,March,1091.6,116.67852420939788,781.3,83.51129623012328,487.2,52.07564766839378,941.3,100.61331516884044
,April,1091.2,117.4013847675569,801.7,86.2542981746246,487.2,52.417480442406266,945,101.67183706501214
,May,1091,113.71909574004704,812.1,84.64828382263264,487.7,50.83483317362139,946.8,98.68857914452478
,June,1091.8,111.2961618743344,812.1,82.78403833865815,487.7,49.71527582534611,947.4,96.57628115015974
,July,1092.9,112.54452620707463,813.6,83.78280402788536,487.7,50.222312591445046,948.4,97.66422239435407
,August,1092.9,116.24115294013068,813.6,86.53472598782167,492.7,52.40371127605671,949.2,100.9571803191253
,September,1092.9,117.1523786059846,813.6,87.21308009317328,492.7,52.8145090485576,949.1,101.73787403691094
,October,1112.5,117.18000352128175,826.6,87.0660592455654,559.7,58.95339143448216,974.8,102.67601566970377
,November,1115.9,115.69968370883883,826.9,85.73534228769498,559.7,58.031286828422886,977.1,101.30850519930677
,December,1115.9,114.28351878798256,828.3,84.82932038003938,559.7,57.32098348027049,977.4,100.099212531028
1999,January,1115.9,111.25525789517542,828.3,82.58153070577453,559.7,55.802103991334064,977.4,97.44680443296393
,February,1116,111.67933759879563,828.3,82.8888847070631,559.7,56.00978965416301,977.4,97.80948438088069
,March,1116,113.5743812196989,829.4,84.40734030790166,559.7,56.96019817980778,977.6,99.48952964191547
,April,1115.9,111.42702691424996,829.4,82.818869184227,559.7,55.888257876069275,977.6,97.61722511996663
,May,1116,109.13276940051492,829.4,81.10637897919987,559.7,54.732626374075444,977.6,95.59874136733276
,June,1116,109.99126853377267,829.4,81.74440691927512,559.7,55.16318369028007,977.6,96.35077429983525
,July,1116,113.16050847457628,829.4,84.09975423728814,559.7,56.75263135593221,977.6,99.12698305084747
,August,1115.9,113.33285374755965,829.4,84.23538748832867,559.7,56.84416008827775,977.6,99.28685171038114
,September,1115.9,113.46769354975781,829.4,84.335608056429,559.7,56.911791450667124,977.6,99.40498002889437
,October,1115.9,111.9033105644722,829.4,83.17287013367975,559.7,56.127146628672,977.6,98.03448015756611
,November,1116,111.04777745436401,829.4,82.5295937461017,559.7,55.69304752796374,977.6,97.27626096719199
,December,1116,109.91431040869244,829.4,81.68721241305512,559.7,55.12458739762112,977.6,96.28336008560728
2000,January,1116,110.90021178522488,829.4,82.41992442174329,559.7,55.61903990698062,977.6,97.14699555666293
,February,1116,109.55359560241212,829.4,81.4191327891045,559.7,54.94368051852157,977.6,95.96737908684418
,March,1116,108.71516385100753,829.4,80.79601872582943,559.7,54.52318746183595,977.6,95.23292489314066
,April,1116,107.48995773797546,857.9,82.63049708190782,559.7,53.90871805192192,982.9,94.67014288589253
,May,1116,106.59327851840025,857.9,81.94119501875947,559.7,53.45901253292888,982.9,93.88040632234373
,June,1116,102.98823801627397,857.9,79.16990089082566,559.7,51.65100073271375,982.9,90.70532181558752
,July,1169.4,107.65876197437773,857.9,78.98106028546147,559.7,51.52779979225176,1018.21,93.73971953987612
,August,1169.4,108.09124338522153,869.2,80.34283286337826,559.7,51.734794700451936,1020.3,94.30947120398625
,September,1169.4,109.6369769628585,869.2,81.4917567779345,559.7,52.47461604764144,1020.3,95.658121767748
,October,1169.3,108.77949306068498,869.2,80.86131477665901,559.7,52.068658399098084,1020.3,94.91808498231154
,November,1169.3,108.17392430509918,869.2,80.41116480457727,559.7,51.77879537634825,1020.3,94.389681833997
,December,1169.4,103.91289268473822,889.3,79.02320460453026,559.7,49.73494615670257,1024,90.99264760490159
2001,January,1169.4,100.03124932975872,889.3,76.07131009830206,559.7,47.87710813226095,1024,87.59363717605004
,February,1169.5,98.44566976220626,904.5,76.13861333896159,559.7,47.11418671732095,1026.8,86.43353032221752
,March,1169.5,100.62973283952392,906.5,77.99987415051598,669.7,57.62439682140161,1044.2,89.84828305346807
,April,1169.5,98.91889933550121,908.7,76.85985791036336,678,57.346741128234136,1045.5,88.43070479287432
,May,1169.5,96.08313592199679,908.7,74.65647337521888,678,55.70275002574931,1045.9,85.92847529783364
,June,1180.2,94.97641242937854,908.7,73.12749192897498,678,54.56194511702987,1053,84.74001210653755
,July,1180.2,95.84018596443599,909.3,73.84128206868466,678,55.05816478892358,1053.1,85.518810234831
,August,1180.2,97.90676696942384,909.3,75.4335055120294,678,56.245371975317205,1053.1,87.36283366844623
,September,1180.2,96.2615835577218,909.3,74.16595316813797,678,55.30024881556972,1053.1,85.89482599952281
,October,1180.16,96.19930101849646,909.3,74.12047893177096,678.03,55.26878734203086,1053.04,85.83726947576389
,November,1184.05,95.3728381971793,986.48,79.45897337507152,678.03,54.61394829849541,1069.82,86.17184220269951
,December,1184.07,94.94620212445129,986.48,79.10218945816439,678.03,54.36872264852729,1069.83,85.78571825888818
2002,January,1184.08,93.0115362394958,986.48,77.48971376050422,678.03,53.26043165703781,1069.84,84.0377862394958
