<new sheet>
sheet_name: Sheet1

,Economic Activity,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-15 00:00:00,2016-02-15 00:00:00,2016-03-15 00:00:00,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-16 00:00:00,2016-11-16 00:00:00,2016-12-16 00:00:00,2017-01-16 00:00:00,2017-02-16 00:00:00,2017-03-16 00:00:00,2017-04-16 00:00:00,2017-05-16 00:00:00,2017-06-16 00:00:00,2017-07-16 00:00:00,2017-08-16 00:00:00,2017-09-16 00:00:00,2017-10-16 00:00:00,2017-11-16 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-22 00:00:00,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-11-22 00:00:00,2022-12-22 00:00:00,2023-01-22 00:00:00,2023-02-22 00:00:00,2023-03-22 00:00:00,2023-04-23 00:00:00,2023-05-23 00:00:00,June-23*,July-23*,Aug-23**
,14 Manufacture of wearing apparel,73.83336606589224,74.07305592584558,73.44933230155497,74.97911607802911,76.82362040761055,75.34061207314139,77.75736065138956,75.96160708894632,76.10234700439904,79.65563207095838,77.48547078818244,76.05611608576187,74.58478903463465,73.72927016639946,74.71225228412335,76.37355601950098,81.52870676335894,84.77609598004449,85.80862074508775,85.37737427912133,84.1713338656392,88.60141632639382,89.54248065830852,92.61891366768762,82.35389386838418,82.43748472025314,81.77985581784337,82.88204069396045,88.46740941163128,85.64640540577749,88.39006645860667,84.18411623744707,84.10094368424585,84.85040937867065,86.47487449977866,86.77573958837016,85.89422786400168,87.41775690086627,85.87361029144526,89.51237387250438,90.8478052296077,92.21505760364155,86.81392905151422,89.30724243868534,90.0397072896958,89.39757687507912,92.18981981955689,93.70611421415958,93.17562467027321,94.20265023244175,93.92535340797188,95.52909351757023,98.34587847213727,97.80016850758327,98.5066107855313,100.1304087732518,95.78697915780762,98.997179466162,103.3188175194714,103.46404891853759,103.38608499079785,104.32771068159747,104.3724606229456,101.94506940266712,103.10750236186888,103.55524940126625,103.13202611713697,103.78776946336855,103.9919261712734,104.42298746903316,103.81945264631254,104.40045971320046,104.46642568296161,102.247372305234,103.80285730363344,107.31090152888072,118.56270747799977,116.90679542410564,115.35934970005952,114.99477627522577,115.0518265989356,113.53892239199531,113.69329018650822,118.1946264088371,119.84530211652371,121.14283314471744,116.68217600586438,131.81112515835588,133.25390866913258,131.00929525436814,127.62175395733867,127.48550261158341,129.4,126.2,125.1,114.20609150319821,119.4,124.64389439723764,144.5,164.1,195,189.9,206,207.4,208.4,186.9,189.8,196.5,203.3,203.1,189.1,186.8,187.4,181.5669935001043,192.46525665627144,198.42340926977639
,18 Printing and reproduction of recorded media***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.81767000066932,102.74481870403935,104.42925098033109,104.0359012073023,104.85213156298056,105.82348013212577,105.13299272803648,105.39243958211524,105.48168945659555,105.2427087487421,105.17677408036097,105.61503277791438,105.1346704748274,104.28150552776174,112.17233396742843,114.95232067500108,113.37134573584935,106.48243483189927,109.84375594326427,106.20977274393452,110.10945599118031,107.57121374390259,106.27347891598366,106.79830180066054,107.91391551478719,107.5416475082018,112.0010522423077,112.01494819014066,111.19295007321463,112.17930251759628,113.95370675208633,121.17133019348402,121.5,116.8,116.7,117.26212456497495,121.6,126.82699703349157,148.3,156,164.7,173.1,172.8,200.2,206.1,247.3,207.5,216.4,215,244.8,242.3,235.4,239.7,237.85597541280734,237.8940095586753,224.66155385692633
,19 Manufacture of coke and refined petroleum products,98.85433970624378,99.83407488876995,99.83407488876995,99.83407488876995,99.83407488876995,99.83407488876995,99.83407488876995,99.83407488876995,99.83407488876995,97.57980839367113,97.57980839367113,92.33518838466571,92.33518838466571,80.34310403658904,80.34310403658904,80.34310403658904,80.34310403658904,80.34310403658904,78.30044283814009,78.30044283814009,78.30044283814009,58.87848014397243,60.573013801852845,60.573013801852845,50.95583812766167,54.49262832357613,48.251223809935205,48.34323468728617,51.60195326013309,58.510436634568556,62.82253743825001,62.278139747256766,65.88189911016984,66.75600244500404,68.50128440026153,70.95490779628743,63.94674597138842,72.61110358860496,73.33952303430014,78.11761871205384,76.8448015753654,75.69466560847825,70.69540793907544,68.56382261377793,71.09412174092962,69.75996401934054,74.49085662980302,84.06765544741664,84.02931758185373,86.03822173734996,113.9558554402573,88.37683153668715,87.93977986927003,105.81289279469627,101.58039243655162,97.27030969237975,96.03583042125422,102.32677678528597,101.50634646223986,97.60355174793614,84.84471008860137,86.22487324886595,89.75853960454108,91.03885350152484,100.99969562005847,92.53240870038368,85.21754395098141,88.2002298917754,85.96129854290176,91.57396206131105,92.93132640133935,93.6318287654757,90.15757578475318,90.15757578475318,93.70766213587815,75.06012432608121,59.94733772118408,43.73808816118788,53.62158990330477,64.95426296369946,66.69692408817143,64.92571469916523,63.63756241625163,64.30464127704617,70.9370920194287,85.43355858048987,85.43355858048987,86.09537559115587,93.05753197737937,95.08177127910072,93.60959724148519,96.1552315148621,99.4,109.2,111,113.75953449234943,172.4,122.4816794354999,123.6,160.7,241,247,247,318.1,331.3,403.2,403.2,403.2,347.4,293,281.9,278.3,223.8,232.71255374805202,238.90772211888782,238.90772211888782
,20 Manufacture of chemicals and chemical products,93.34254750964865,93.34254750964865,93.34254750964865,92.90002177329094,92.90002177329094,92.90002177329094,89.00460317846861,89.06393477510333,89.22268597040606,92.6749492777341,92.6749492777341,92.8337004730368,92.57384805043068,92.57384805043068,92.73259924573341,90.0716517235543,90.61201082868295,90.61201082868295,91.5910731987095,91.64841832045403,91.63447332665324,94.02360408017702,88.79081782022787,88.79081782022787,91.30661127328872,91.29510048016878,92.14170165226277,88.79644785309094,88.84160353999279,88.84160353999279,88.85900589714615,88.85900589714615,88.52661292825931,88.42562484938212,88.44294720816819,88.1653201620994,89.38125199475596,89.71028767618392,89.44007807851064,89.39307461192746,89.40196318140299,89.30496029324304,88.40840174471447,87.93946516957571,88.01616090493071,88.15126570376736,88.50091274398608,88.62436731050404,94.38594728100341,93.99244239239127,96.46953481377565,99.63977958307137,98.94385774488126,97.40898069344766,97.4397343235127,98.54740653652082,99.01350128288216,101.32392547027199,108.00072760204665,108.2151117398164,109.3515700444893,109.28879300691409,113.31449968781716,113.31449968781716,113.94969822316715,113.96925774506948,113.96925774506948,119.42921187449572,120.66875293258434,121.05564540785525,121.64595582815367,120.5079388612078,120.5079388612078,116.73808566404308,118.94349497877828,117.57111925441593,117.57111925441593,112.87318054178866,112.87318054178866,115.09121601779886,113.04564810759582,115.2410612018203,115.2410612018203,111.35828339985429,115.0299803231092,114.02069398573701,118.05184254273212,120.13303858942761,126.90578560285176,127.56824375368426,145.21928585606187,146.59287790693014,146.8,154.4,156.1,156.6256690214465,161.4,174.6753908802659,203.1,248.5,306.4,313.2,315.5,314.6,321.1,308.9,319,308.7,306.3,305,301.2,299.5,290.8,293.5988893522414,293.0094762602379,291.15425997575505
,22 Manufacture of rubber and plastics products,98.65891466800171,97.26606575388864,97.15337981804342,97.69939441077882,97.10188028749613,96.72097231770208,97.38368082844478,95.90937671055441,95.65569702451083,94.0636507514241,92.54100115834888,92.89303418270067,94.32994549937116,93.89198667157453,93.14243976027086,91.59034620024563,93.73399785717581,94.32057658192039,90.14512428949699,89.92356570352665,90.74558464327573,93.07550493007912,93.05371931634934,92.17267499499418,91.97728850316246,91.82109853931752,92.7366919473393,91.46252006564112,91.29918548540194,92.19802590548525,91.78793995632287,91.25897449902268,91.32477322193344,90.36957489236899,90.36203749403766,88.62876783950173,89.61432406095459,90.172577610742,90.53469393110737,90.48895391731048,90.17756443121107,90.59786869919152,91.18757330114533,91.41543326785087,91.26719637607147,92.43698810394454,91.99196301330612,91.92558718429612,95.72103751118169,95.41720687876294,96.23341440722609,95.96753389357853,96.81776938828459,97.42635131785347,98.59506008690576,98.82968299597776,99.57220294158161,103.69687290237228,104.8701232483169,106.34002149111504,109.91066371282972,108.06358772473675,108.05418935295113,106.06432793720191,106.36650811203296,107.68328248416174,108.87148817012931,109.08020237977398,110.48970422936779,110.42327386124498,110.50226631746933,111.30658394991245,112.23225146082093,112.96457937323667,114.1256858755495,113.98743853073472,113.37173761417877,120.7552967480379,121.26726000037449,120.4178428264905,118.64324723117899,121.1797695495308,121.66152312627122,123.465911682459,127.2151296582735,126.107789204065,127.01733961929082,129.26537371437186,136.4795778455883,131.46986264552947,134.9752914395593,136.67705408466958,137.1,151.3,155.9,152.9546490346416,151.9,149.02106010181276,206.5,237.5,267.7,293.6,305.3,310.1,304.9,300.1,312.1,286.8,303.3,300.5,289.4,287.1,285.3,281.0594156625847,284.2701988609726,284.7433146354353
,23 Manufacture of other non-metallic mineral products,93.30464172760657,93.29651872129485,93.58106332829367,94.91683640424425,95.08204488272403,94.97766926474443,95.3775873760793,95.16490755861463,95.1442551238578,94.98946030695002,94.38881511844369,94.4133766035357,94.58851682741562,94.74675533755698,93.64724147932404,94.4333689208399,94.77998461219133,94.7870483900665,96.54458134090233,96.53126539882716,95.84067290570265,93.28572762067027,93.02420736061023,93.1774471503573,95.9331410653745,96.36516411976174,96.2684712948924,98.84113653991558,100.61158543446652,103.01340658726939,105.15841256179758,105.04193497450827,102.92859544941143,100.85769591028267,99.6885874687355,99.00850619566292,99.67185917307674,99.8572438942213,99.99010440443325,100.06102432563476,99.96752557436888,99.84839189719249,99.12995667249095,98.67943355596539,98.65711446566318,98.71631267252545,98.70514071332269,98.39439142105898,98.73820329790946,99.30429741611918,99.56110540546194,99.991913077255,100.44541689074016,100.56401137246502,100.46945930210784,100.95997066775894,100.92067548151768,102.49187794344844,103.73518573427206,103.71299207565625,103.81021025867732,104.14501722485714,104.11969071810798,104.11304870369415,106.59659962237785,107.004057343107,109.01392852001501,108.94005718765726,108.60655555532446,108.79652473754302,109.36493181224833,111.07097062342058,110.93823062306217,110.74230151736633,110.74879524054269,111.11649898324382,110.44099891241362,110.06118745001208,110.94254267252337,110.79146101573816,110.3155434784494,110.2284537547726,110.16812281575476,110.54433446220709,111.5738293696634,111.44823526363894,111.99052256297948,116.02374246468165,114.65576811275938,114.67204638319953,116.6857537336168,116.85256769113495,119.2,123.7,132.4,135.04615419166052,142.5,143.54549643110624,187.3,227.7,259.6,267.6,298.8,298.7,279.2,261.5,272.9,258,238,236.5,237.6,231.6,220.8,212.64679129966368,218.23176348747361,211.6394927832085
,24 Manufacture of basic metals,135.65631692494378,135.59920294927562,135.78693775954588,135.49304427811728,135.0623461843416,134.055064779663,134.10765618993256,134.17094574392718,133.89318298988644,134.3522084523774,133.88324630526162,134.58456145182242,135.1973882167704,134.71792412380006,134.37616538090973,134.74057437574396,134.51309590055808,134.89308390637086,132.87561675808527,132.61178212089948,132.9285164056297,128.4475418948076,127.22764009874356,125.32625566466731,128.96717618277086,128.64265681582663,128.66308909007873,130.60535862339574,131.0513225643608,130.498117728938,131.063646012009,130.39734519923823,130.39734519923823,130.24256442121316,130.27922855619073,134.2115902547547,132.09711010440657,134.13597699475156,134.0283477148713,134.17269573079344,134.38386492822912,134.68446613469854,133.68998633930678,134.00586194751892,142.95374679456052,143.23675456802727,143.52442706609813,143.5005905596708,143.19071266971872,143.60226214044584,143.7071625166396,144.12683029206548,146.1850482299561,143.5050252754325,144.04527849475483,144.77284935531128,144.77284935531128,144.77284935531128,144.77284935531128,144.77284935531128,157.26976469806107,156.5676099709889,157.12223655885074,157.82234450397323,157.82234450397323,157.82234450397323,157.91735363920176,157.62904984541387,157.906908775338,157.85627506953085,158.85104241634625,156.80955061763447,156.69457612503015,156.77948772639456,156.00279367067625,156.8187943490714,155.59326367551657,156.83264474675892,167.7835942650109,167.79724124900315,167.7997578029137,169.43503923167228,169.19523329163664,173.252420666248,177.085413413858,180.80411785665552,180.94004744849212,180.94004744849212,183.73126058994796,203.0533936823588,201.97009751872,211.82542711443503,223,223,224,223.73484786538845,224.2,232.516370790111,273.3,393.7,461.1,460.7,457.5,442.5,434.4,434.4,434.4,434.4,434.4,434.4,434.4,434.4,434.4,339.7476138952334,339.7476138952334,339.7476138952334
,30 Manufacture of other transport equipment***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.388801357432,103.7630535025851,103.7969664637343,100.33609830370622,101.05919507501635,100.94554163173993,103.2223002411636,104.270692517795,105.48493135823773,105.29621357123852,104.86386048138587,105.68974710888506,101.20221355687333,100.25285361767891,108.43711792617192,114.61214593698132,110.52022756670708,110.84116050288057,108.70087839199213,107.32490631130975,107.63067563939497,110.85635204165195,108.24487905290177,109.35935075411692,113.45063959242042,113.85512458393023,117.94984078232487,120.90240048826035,121.99728582438274,123.32391155177052,119.63582936904216,124.36748019009691,121.4,123.8,124.2,122.82928345788697,134.7,141.23597822646175,168.7,197.5,214.5,216.5,223.8,230.6,230.1,218.1,224.3,218.2,225.5,225.6,212.4,206.9,206.9,203.64475626987516,210.49727486771474,222.63994823645223
,31 Manufacture of furniture***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.69983953663346,99.7260738915003,99.7341584878769,99.8527982939852,103.73741246945688,103.77298469351388,103.76097329318294,103.77296160753548,103.90511454343358,103.89971614592528,103.85310899533664,106.25448144992546,107.10575451866053,107.60082487339137,107.6217248945164,107.6217248945164,107.83960994792517,107.83150925223994,107.80913970911116,108.38727637602534,108.35291314782071,108.33253645685441,108.70789725041308,109.7910871339314,128.23883120436673,130.25857947510522,118.73861932439536,117.63787319828221,118.95002134084909,118.36525276805392,119.49737052147003,120.68960153656711,137.3,139.8,142,142.7767132340267,145.8,142.35284216587652,151.6,185.2,201.1,251.5,272.8,273.8,269.7,281.7,272.9,278.4,279.2,279.2,283.6,282.2,282.2,283.5706087642457,249.35855380840488,252.78489811092086
,32 Other manufacturing***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48955326519942,105.84803161512617,105.72918119811543,105.86144017267083,106.29305561250857,106.16119298989997,106.26042910976051,108.68519111994624,107.88579142614245,107.93718521953429,106.82335367599035,109.98316789566019,112.02279791521168,112.16307503735916,114.89494803083416,119.36049300498462,122.66411002052094,122.01041298661359,123.33027316719098,123.76486740558141,123.64431920899071,125.82269205579992,125.21681043091897,128.9807256776911,125.21393226512987,125.82547336802779,129.4320997266343,130.43416443647263,129.59035080488704,129.12925324203664,133.546534048418,132.66864945418558,126,127.1,127.4,135.97403342013382,139.5,144.73062231757322,173.1,202,278.2,277.3,309.8,320.4,305.3,308,305.5,305.9,319,321.3,303.7,300.3,289.5,284.6892144524362,295.5907876242833,296.16265261343574
,"D & E: Electricity, gas, steam and air conditioning supply",115.83123803394183,115.12218216310343,115.8525063957076,116.9266261748319,116.48910111700731,116.73607516941875,116.69653824867233,115.48647682658333,111.97223031200988,107.05362163254335,102.54337906171925,96.36378908017265,96.27966448669956,96.0884617476958,97.19887560797768,98.0898703568525,98.64510876079002,116.42151896320743,116.61833570296011,115.49684557335335,99.1347543495421,98.1816928050575,97.59946272567402,97.07589841916318,97.69684043081774,98.24407957822454,99.51044788456458,101.0963840776004,101.12731840659967,98.55734543510397,98.88462909352725,98.96165858051533,99.0373629479055,99.36358580596081,98.29726709571858,97.75641726561345,97.42037719648427,98.10326976157303,97.67383041231484,100.40447820963895,101.00234399520549,101.3331942967934,99.84781651635059,98.19069074789867,98.81959642627176,99.01480574026186,98.92671958080619,98.63672757728868,97.88036998265044,98.10204931526809,97.92176494506518,101.12814269425924,102.95415566226062,99.44778886751904,100.20160425606757,99.47647503264086,96.329421985565,98.82822868675873,98.53539912055041,99.69674460388899,99.36951323873888,104.85038995758936,101.48109418986311,103.03055322186908,102.95242435725106,102.63185115555481,102.49608214376565,101.33719378954356,101.32182523696633,99.02091563239196,100.14384050617318,99.7810799252312,101.15470891156787,101.75631462221989,105.60937423691036,105.09435217127279,102.57808918096696,106.2548362239309,107.97855097386913,103.02560450690406,102.1154677918812,102.68612343717444,103.4670024187593,107.72223539593061,100.08730594461869,97.66232343192428,100.64957894558763,103.10109844063449,103.26910778058895,102.24103241663325,102.77087264709607,102.56947129784363,102.6,102.5,101.8,103.24277371532877,103.3,104.33141661778022,102.6,100.2,104.4,104.3,104.6,134,174.6,174.1,176.5,174.2,172.8,195.6,249.5,298,267,268.29905108880143,246.813182485627,244.3880035212649
,"D:35 Electricity, gas, steam and Air conditioning supply",119.8763463387842,118.88322375182084,119.6310069809816,120.89550792812955,120.4367446943208,120.68718069192987,120.59098728435697,119.27991432208259,115.35606654962734,109.72438731394215,104.75350318980945,97.75958455442357,97.75958455442357,97.39437435493768,98.5699199135908,99.58536434853211,100.21573183934503,120.45077909413007,120.5886446633204,119.27894107356737,100.61620446278029,99.61816556780413,99.13495899390624,98.63517032133092,98.67467134770774,99.2311150692157,100.30251953195307,102.38252310588555,102.32374856048168,99.33323593411399,99.99941774762542,100.10636272160403,100.08310072800867,100.31132584856738,99.59383473784051,99.11430336540391,98.7645243108582,99.61722545420682,98.52698856485729,101.86408408131737,102.48460648487442,103.02148221537209,101.14689378290383,99.29994141458741,100.2404986135025,100.55277567575101,100.51250349890447,100.24626368846926,99.27663955689233,99.56111108030942,98.94233006429613,102.69690392891198,104.70487891511861,101.0013722766794,101.43557649013404,100.75890994182193,97.08190350532902,99.94078452674673,100.08051805996591,99.80798836452402,99.62962107130984,105.59907926493261,101.77905591733652,103.34175071571188,103.30181142667249,102.73428832336621,102.73428832336621,101.49445259488886,101.44827309732509,99.1511355395446,100.41603630222133,99.9676138882065,101.50727252072501,102.1890863031076,106.68866233431937,105.56287236670553,103.03539164677272,107.00634230553185,108.7422483322492,102.67240898856922,101.76539243198035,102.38719416950369,103.24956444837677,108.54652064831684,99.32002083308896,96.51403300569002,100.27970827225869,102.675245736793,102.83649239943622,101.62882184084638,102.4936340177349,101.9423816924743,101.9,101.8,100.9,102.61211549896572,102.7,103.88285741698353,101.8,98.8,103.9,103.4,104.1,140.3,190.3,180.7,183.5,180.7,179.6,206.6,273.8,333.7,295.3,296.9490440879879,270.36973725397945,267.34740817086305
,"E:36 Water collection, treatment and supply",86.42711795455108,87.66729434123918,88.2671193037926,88.02553651345586,87.73973501635223,87.95924100691401,88.30688714024963,87.80487699288406,87.14008238999354,87.16337274520069,85.8663450105621,85.33918079865158,84.68238460183734,85.68141309021847,86.33013606189904,86.35813130952246,86.39211483645842,87.11633592543629,87.71231057082903,87.89247064788269,87.48256010604551,86.85122520900921,85.60242744484711,84.92479777120164,89.5032385800762,89.97915036481996,92.55603012846927,90.74624015795963,91.38877620106375,91.7281784958035,89.73806204125037,89.60977826176571,90.35955076753119,91.34933042135962,87.91957169831348,86.96877110314529,86.73170675085355,86.24535781311951,90.33122918583564,88.88154822318391,89.31551472850737,88.23549988036982,89.4288444341998,89.0927191309081,87.58542998069252,86.97884527389647,86.56589649572417,86.11836061425494,86.82890253926863,86.6186976096053,89.43308392246924,88.84917293224878,89.40521464810107,87.29855293201038,90.22133267628972,89.1768382762845,89.69467973699102,89.69777469501574,86.45812891085738,97.3847130484954,96.0468796314684,98.10878749823428,97.86729055487156,99.30230542824224,98.96482615896637,100.3341856665523,99.27417970507479,98.6856476917629,98.88074159831208,96.5899374959684,96.72666873137561,96.95402964488284,97.17344090620777,97.21841554777687,96.60027345602913,100.2605430804888,97.860015471448,99.47213730313787,101.08581999628088,103.83058688113054,102.91333888520586,103.12613544955622,103.33883530459451,100.4201059865677,103.76339237132407,103.97578377474912,101.60534817707024,104.40064474446726,104.61217867956461,104.82549594382685,103.06156927691535,105.2503382121828,105.4,105.3,105.7,105.93889677657475,106,106.2490492977702,106.3,106.4,106.6,106.7,106.9,107,107.2,146.3,146.2,146.1,143.6,148.9,145.9,145.3,145.7,145.81764225994232,146.10670010484864,146.2343939397722
,* - Revised       ** - Provisional ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01. The references for the PPI were revised to the latest years according to the international best practices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"02. The Price reference is  2018 Q4 and the weights are from 2016 ASI, Agriculture Department, and Department of Fisheries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"03. The  overlap linking method was used in the preparation of historical time series data above, considering index rereference is August 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04. *** New indices that came in under the rebase process. The index reference for these indices is 2018 Q4 = 100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

