<new sheet>
sheet_name: Formal Public Sector(2012=100)
,,,,,,,,,,,,,,,,2012=100
 Period,,SENIOR LEVEL OFFICERS,,,TERTIARY LEVEL OFFICERS,,,SECONDARY LEVEL OFFICERS,,,PRIMARY LEVEL OFFICERS,,,All CENTRAL GOVERNMENT ,,
,,NWRI ,RWRI*,RWRI**,NWRI,RWRI*,RWRI**,NWRI,RWRI*,RWRI**,NWRI,RWRI*,RWRI**,NWRI,RWRI*,RWRI**
Index Numbers,,,,,,,,,,,,,,,,
2006,Jan,78.45789596122349,153.1945957767035,,73.83825898763787,144.174427568862,,71.06572323415402,138.76085524669145,,68.04430801571863,132.86132815141283,,71.41025942911658,139.43358655653716,
,Feb,78.45789596122349,151.79312437591713,,73.83825898763787,142.8554754482727,,71.06572323415402,137.49142815501813,,68.04430801571863,131.64587175276736,,71.41025942911658,138.15800511139997,
,Mar,78.45789596122349,151.84306913885644,,73.83825898763787,142.90247944061545,,71.06572323415402,137.5366672052954,,68.04430801571863,131.6891874291767,,71.41025942911658,138.20346348668429,
,Apr,78.45789596122349,149.5957897134106,,73.83825898763787,140.7875208605935,,71.06572323415402,135.50112271710938,,68.04430801571863,129.74018571878165,,71.41025942911658,136.15805040474137,
,May,78.45789596122349,147.170151826813,,73.83825898763787,138.50470564758626,,71.06572323415402,133.30402440592832,,68.04430801571863,127.63649877347001,,71.41025942911658,133.95030026511697,
,Jun,78.45789596122349,144.59559634063365,,73.83825898763787,136.08174117170344,,71.06572323415402,130.9720392642133,,68.04430801571863,125.40365981750656,,71.41025942911658,131.60700934544218,
,Jul,79.53918394353829,146.74435101167984,,75.32072597029038,138.9615847465175,,72.78896305855643,134.2906554387493,,70.02993389856411,129.2004354561961,,73.1035790050091,134.87110032881625,
,Aug,79.53918394353829,146.21451704560525,,75.32072597029038,138.4598511733294,,72.78896305855643,133.80578668511527,,70.02993389856411,128.73394540963292,,73.1035790050091,134.38413582556,
,Sep,79.53918394353829,144.43792923871132,,75.32072597029038,136.77748687524704,,72.78896305855643,132.17997186234717,,70.02993389856411,127.16975628279837,,73.1035790050091,132.75129373866108,
,Oct,79.53918394353829,142.61952057693094,,75.32072597029038,135.05551974250417,,72.78896305855643,130.5158853788644,,70.02993389856411,125.56874616336525,,73.1035790050091,131.0800145693372,
,Nov,79.53918394353829,140.254978082504,,75.32072597029038,132.81638365337528,,72.78896305855643,128.35201358959128,,70.02993389856411,123.48689484964535,,73.1035790050091,128.90678987074406,
,Dec,79.53918394353829,138.2616915446352,,75.32072597029038,130.9288135067459,,72.78896305855643,126.5278905224871,,70.02993389856411,121.73191425307627,,73.1035790050091,127.07478239120854,
2007,Jan,80.62047192585308,138.40091255913808,,76.80319295294288,131.84780165909928,,74.51220288295886,127.9148661555546,,72.01555978140959,123.62888673451268,,74.7968985809016,128.4036023717501,
,Feb,80.62047192585308,135.41779904098718,,76.80319295294288,129.0059348520457,,74.51220288295886,125.15777041575559,,72.01555978140959,120.96417162221829,,74.7968985809016,125.63597234004227,
,Mar,80.62047192585308,135.55138053059687,,76.80319295294288,129.1331914244318,,74.51220288295886,125.28123100606767,,72.01555978140959,121.08349548030144,,74.7968985809016,125.7599046477049,
,Apr,80.62047192585308,134.4841915966293,,76.80319295294288,128.1165325578335,,74.51220288295886,124.2948984225103,,72.01555978140959,120.1302114491327,,74.7968985809016,124.76980349158606,
,May,80.62047192585308,133.62224816379765,,76.80319295294288,127.29540107342376,,74.51220288295886,123.49826076452372,,72.01555978140959,119.36026633057313,,74.7968985809016,123.9701220460684,
,Jun,80.62047192585308,130.8845548008327,,76.80319295294288,124.68733408275705,,74.51220288295886,120.96799074228684,,72.01555978140959,116.9147768000095,,74.7968985809016,121.43018438602063,
,Jul,81.70175990816789,130.58208219576017,,78.28565993559538,125.12220657118624,,76.23544270736127,121.84539056480712,,74.00118566425509,118.27442786856561,,76.4902181567941,122.25259242577918,
,Aug,81.70175990816789,128.9402711103364,,78.28565993559538,123.54904260927842,,76.23544270736127,120.31342607493788,,74.00118566425509,116.7873611628467,,76.4902181567941,120.71550817891031,
,Sep,81.70175990816789,127.73712757895694,,78.28565993559538,122.39620470888126,,76.23544270736127,119.19077975913872,,74.00118566425509,115.69761660965183,,76.4902181567941,119.5891100291937,
,Oct,81.70175990816789,123.97038784103455,,78.28565993559538,118.78695924684554,,76.23544270736127,115.6760565535837,,74.00118566425509,112.28590054615177,,76.4902181567941,116.0626407754421,
,Nov,81.70175990816789,120.73344865908933,,78.28565993559538,115.68536241080685,,76.23544270736127,112.65568720254689,,74.00118566425509,109.35405014713626,,76.4902181567941,113.03217748474239,
,Dec,81.70175990816789,119.58102382629622,,78.28565993559538,114.58112256746955,,76.23544270736127,111.58036621296615,,74.00118566425509,108.31024394135227,,76.4902181567941,111.95326282037371,
2008,Jan,82.78304789048269,117.59804958196406,,79.76812691824787,113.31518207450502,,77.95868253176369,110.74476293556393,,75.98681154710057,107.94360753318706,,78.18353773268662,111.06418259623987,
,Feb,82.78304789048269,114.32943109274883,,79.76812691824787,110.16560518480189,,77.95868253176369,107.66663042399838,,75.98681154710057,104.94333267633534,,78.18353773268662,107.9771718676255,
,Mar,82.78304789048269,112.63277480467681,,79.76812691824787,108.53074034746686,,77.95868253176369,106.06885053671624,,75.98681154710057,103.38596670700682,,78.18353773268662,106.3747835248652,
,Apr,82.78304789048269,110.53964751392112,,79.76812691824787,106.5138438011361,,77.95868253176369,104.09770487203296,,75.98681154710057,101.46467879795134,,78.18353773268662,104.39795251071105,
