<new sheet>
sheet_name: Central Bank Survey
,Central Bank Survey,,,,,,

,Period,,Rs. million,,,,
,,,Monetary Base,Net Claims on Government ,Claims on Commercial Banks,Other Items (Net) ,Net Foreign Assets of the Central Bank
,,,Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b)
,,August,155849.6,81676.40000000001,21.4,-75087.70000000001,149240.9
,,September,158241,84402.49999999999,21.3,-77595.20000000004,151413.39999999997
,,October,161805.5,98273.5,19.1,-81505.50000000004,145019.30000000005
,,November,163921.4,107234.4,18.6,-86438.59999999999,143107.7
,,December,170967,108143.99999999999,29.9,-88899.43000000004,151693.2
,2005,January,174648,104854.00000000001,25.3,-73306.29999999992,143075.4
,,February,174666.3,104989.40000000001,24.8,-75572.49999999993,145225.7
,,March,190754.9,100888.6,24.56,-72216.21400000002,162059.05399999995
,,April,181861.2,92020.6,22.5,-74992.29999999999,164811.50000000006
,,May,179195.2,91071.3,21.9,-70803.09999999993,158906.10000000003
,,June,179817.4,88718.1,18.9,-69685.6,160767
,,July,184647,94655.9,16.6,-69210.79999999986,159186.3
,,August,184289,93027,16.1,-71697.69999999997,162944.59999999998
,,September,187893.5,85733.8,15.9,-71970.49999999996,174115.3
,,October,191179,82197.8,13.8,-72650.90000000002,181619.30000000008
,,November,190968.7,76571.7,8.9,-72056.20000000007,186445.30000000005
,,December,197932.1,74423.36499999999,2468,-75883.02401700002,196924.715
,2006,January,196864.1,66253.8,2466.8,-79261.59000000001,207405.08999999997
,,February,203029.5,61870.90000000001,2466.3,-78404.39999999995,217097.80000000008
,,March,217168,79019.3,2466,-79356.29999999999,215040
,,April,216094,77601,2466,-83653,219681
,,May,212027,83208.7,2463.9,-88623.70000000004,214979.10000000003
,,June,212418.7,78329.80000000002,2443.9,-86886.69999999998,218532.7
,,July,214844.8,82043.5,2274.4,-90596.4,221124.3
,,August,213894.9,80415.90000000001,2274.4,-89836.00700000007,221041.57600000003
,,September,222140.4,103590.5,2580.8,-92131.54000000002,208101.62999999992
,,October,225512.9,108322.6,2573.1,-100294.94000000002,214913.09999999995
,,November,226627.33,102096.42,2573.12,-106650.52000000002,228609.32999999996
,,December,239863.28,112942.02,2487.45,-105424.67999999998,229859.51600000006
,2007,January,236781.94,108029.51999999999,2487.5,-106781.33000000007,233047.25000000003
,,February,237920.258,104260.65,2486.8,-107584.98200000002,238758.74000000002
,,March,252954,100910.4,2486.3,-110547.34000000003,260105.58900000004
,,April,249337.06,90480.51999999999,2492.2,-113494.09999999998,269859.51
,,May,246220.4,89122.2,2551.52,-113727.18999999996,268274.5400000001
,,June,247846.3,100137.2,2551,-116237.83999999992,261397.03999999998
,,July,247209.1,108320.19,2310.3,-121450.6979999999,258030.78800000006
,,August,257063.8,127399.84,2310.3,-125122.25400000004,252476.86399999988
,,September,256714.9,135703.03,2318.76,-132357.0319999999,251051.58200000002
,,October,256519,73010.68,2350.49,-134572.48699999996,315731.26999999996
,,November,264080.4,93166.25,2350.43,-136647.8,305212.52999999997
,,December,264419.4,101079.02,2093.65,-131678.75999999995,292926.51
,2008,January,260423.9,88386.00999999998,2092.92,-134490.97000000006,304436.91000000003
,,February,273009.161,85136.01,2092.86,-140133.67400000006,325914.96200000006
,,March,276346.18,80847.93,2092.86,-142640.96999999997,336047.36
,,April,280201.1,85678.37,2092.86,-130645.75999999995,323076.53
,,May,277575.9,85065.5,2092.86,-130226.86999999994,320645.48
,,June,271212.3,74855.64,2091.85,-136781.96,331047.7099999999
,,July,281292,76926.38,1847.14,-141647.43000000005,344165.88
,,August,282575.7,76009.14000000001,1847.08,-126789.86000000013,331509.27999999997
,,September,280214.8,91279.89000000001,1845.24,-122630.27000000006,309719.84
,,October,276102.58,152062.99,1845.24,-105095.67000000007,227290.03
,,November,253568.8,167514.62000000002,1845.15,-107513.9299999999,191722.96999999994
,,December,268425.24,217351.68,21150.485399999998,-118234.12000000004,148157.1746
,2009,January,263769.59,244473.3,19224.05,-113429.3100000001,113501.55000000002
,,February,258096.95,264900.63,21009.303,-136052.87999999986,108239.89700000001
,,March,266350.96,284358.85,24606.46,-138169.50000000003,95555.15000000004
,,April,261176.58,279348.2381,21388.781275,-147310.25382575995,107749.80833876003
,,May,268603.08775999997,278484.58486999996,18237.624267,-149264.28696078004,121145.17131078002
,,June,262560.940702,254689.79789800002,8697.314267,-154307.949179,153481.77771599998
,,July,275591.476058,242015.211018,1292.803749,-156013.10625379998,188296.56754480003
,,August,276596.82890100003,121637.622648,1293.785951,-157102.72551955006,310768.14582154993
,,September,274521.32119,69906.13947,1291.845496,-143757.50086716996,347080.83709116996
,,October,288830.491907,81011.021897,1291.845496,-210835.7307490699,417363.35526307
,,November,288163.96729199996,89330.304205,1336.727631,-224176.89527828008,421673.8307342799
,,December,303537.302256,109004.951771,1136.595709,-218806.6630018001,412202.4177778002
,2010,January,309189.815069,102799.31631499999,1861.595709,-215634.5516939301,420163.45473893
,,February,310808.539535,132105.280868,1860.499002,-232004.27713273003,408847.0367977299
,,March,328852.718117,100665.72827400001,1860.499002,-204226.13039369005,430552.62123369
,,April,325004.73781300004,106350.81618,10157.650776,-226356.08620415998,434852.35706116003
,,May,330608.312261,106932.763733,9573.515571,-203166.26515295013,417268.2981099499
,,June,322906.975679,108551.746216,9336.619748000001,-209221.34942972005,414239.9591447201
,,July,331813.17170799995,118943.475553,1711.501499,-200395.62293522,411553.8175912201
,,August,336798.125384,113727.07384299999,2231.161853,-222486.74279645985,443326.63248446
,,September,338471.172369,100007.779855,2336.404147,-221278.51155317997,457405.49992018
,,October,348435.009656,82486.760556,2336.404147,-253584.90555012986,517196.75050312997
,,November,344090.51870899997,82149.20674800001,2727.153421,-245677.11025295008,504891.26879295014
,,December,360511.371001,76893.689378,2459.846375,-224305.56737137,505463.4026193701
,2011,January,362885.67137399997,91470.845893,2566.111375,-234971.67308126012,503820.38718725997
,,February,366083.853379,96796.01025,2566.111375,-220150.41059235006,486872.14234635
,,March,382139.96322399995,96780.822929,2565.134991,-228080.92192909005,510874.92723309
,,April,405454.640712,98418.172857,2622.606052,-194086.81411992994,498500.67592293
,,May,400028.551853,95868.44955399999,3001.71761,-187208.9227565502,488367.30744554993
,,June,397194.453357,90445.224215,2846.259205,-190659.90759858,494562.8775355801
,,July,413172.099588,96636.519603,2877.626528,-196397.91659290015,510055.87004989997
,,August,419936.970645,95508.99253,2670.955483,-184205.52986966993,505962.55250166985
,,September,422277.78043800005,162398.797445,2670.467777,-153445.69802054984,410654.21323655
,,October,425459.41163199994,176791.695908,10377.964777000001,-169357.4757276701,407647.22667467
,,November,420345.42790799995,216422.78996,14084.958992,-175897.75489602014,365735.43385201995
,,December,439504.299606,262742.301156,2132.447839999999,-165460.7099748784,340090.26058487844
,2012,January,434898.655471,288464.215801,10285.781923999999,-180024.69726758014,316173.35501358
,,February,439406.56956900004,320162.24983299995,20843.602092999998,-206508.19365254013,304908.9112955401
,,March,471146.498426,327007.267027,-9542.208633000006,-197467.39648226465,351148.83651426487
,,April,449306.658279,351658.483685,2562.847366,-222945.57084619987,318030.8980741999
,,May,449479.40636200004,329464.842065,2562.387105,-209613.06730479997,327065.2444967999
,,June,457526.1392379999,324186.022572,-6744.219760999999,-191269.1729732088,331353.5094002087
,,July,463412.62748300005,295451.26312,34094.271005,-211401.80652423998,345268.89988224005
,,August,472950.17370000004,316519.831961,18083.568887999998,-216970.3701205901,355317.14297159045
,,September,473141.72944799997,332041.241011,10876.607322999998,-215142.7131058498,345366.59421985
,,October,471116.175271,320004.40178500005,4798.412165,-209822.96032523992,356136.3216462401
,,November,476890.83256600006,330014.103183,4802.458524,-213831.0500547,355905.32091370015
,,December,484362.439386,278842.906644,1021.6418679999999,-191970.13982617896,396468.0307001791
,2013,January,484095.99568799994,266349.114445,1844.139492,-178184.65435876997,394087.39610977
,,February,486728.223648,245135.480646,1844.139492,-145556.45124894,385305.05475893995
,,March,512395.910826,265095.29242199997,4016.5162870000004,-150629.795388249,393913.8975052488
,,April,500287.639121,224360.555495,1843.590909,-145639.62929765997,419723.12201466004
,,May,507211.303089,238553.38147100003,1843.203755,-125645.08187917998,392459.7997421799
,,June,500301.22033599997,233174.897169,-4484.296612,-94368.20669696167,365978.8264759617
,,July,456106.03279100003,196501.097273,1470.40853,-114539.83779346013,372674.36478146
,,August,466583.918138,186925.690527,1469.984889,-118576.98227380007,396765.2249957998
,,September,465742.69608,134273.916703,-4986.463641,-143017.924387404,479473.1674054039
,,October,466851.637248,128050.61693999999,1724.148983,-161332.08925703002,498408.96058203024
,,November,471997.257646,127782.279875,1724.148983,-137425.82740781014,479916.65619581
,,December,488585.61292800005,114007.092957,14992.909459655295,-169542.50281851564,529128.1133298604
,2014,January,485179.780553,156228.694737,14883.055972751701,-213014.94159870344,527082.9714419519
,,February,494615.24951100006,162051.424336,14864.26793916697,-301043.4332072539,618742.9904430865
,,March,521552.38107099995,145257.73081,18215.45519177,-242302.80754459003,600382.0026128199
,,April,515339.213267,145517.336386,14018.330454660001,-285726.3277654499,641529.87419179
,,May,499499.47819500003,146268.60512,13395.55133866,-327899.14131748007,667734.46305382
,,June,507666.620321,142807.780004,13733.674513920001,-355791.61401140987,706916.77981449
,,July,524505.661594,141381.393214,12537.74068229977,-372776.08084763977,743362.60854634
,,August,532055.401977,145682.811178,12647.42303869,-417645.7584114299,791370.92617174
,,September,536887.527139,138529.363033,14501.817326857858,-385041.45366903784,768897.80044818
,,October,547674.307748,147484.497974,17396.48667387771,-359277.3980998878,742070.72120001
,,November,551849.9379690001,154554.050493,18186.694347628716,-348969.70919371856,728078.9023220899
,,December ,577911.98693,149671.775229,16749.381279025954,-276515.88099830586,688006.7114206202
,2015,January ,576104.549278,240909.375577,16154.072459237475,-294367.91490420746,613409.0161458201
,,February ,582954.210491,245780.403431,17047.14633384017,-298633.6580189905,618760.3187454104
,,March ,619560.667225,223674.351843,15245.00930469788,-197498.19363551802,578139.4997133098
,,April ,612655.3409749999,226046.38629599998,12079.62223153,-198887.25941176014,573416.59185886
,,May ,589812.1153010001,201496.078563,10104.092985773674,-172290.9940340535,550502.9377863199
,,June ,608045.12845,186745.190263,10787.475211306491,-128070.76613237667,538583.22910789
,,July ,630331.503973,218609.37453300002,10215.027606839905,-113785.61171021,515292.71354279015
,,August ,637226.513268,244549.55534800002,10987.636434714685,-69199.24544122467,450888.5669270699
,,September ,640491.39929,323451.10986499995,984.611243158428,-115067.88317032863,431123.56135320995
,,October ,644414.4922949999,338764.3311119999,3800.4294104093647,-138957.39397564915,440807.12574839016
,,November ,651125.380073,268463.257662,-59.83838318859489,-183095.77490582172,565817.7356999298
,,December ,673431.824058,229925.63975899998,-2811.2659522206,-129869.3216648691,576186.7719166301
,2016,January ,718561.431856,336531.280897,-1106.3071646882345,-106331.83511912196,489468.2932428299
,,February ,739336.3821836,384475.44273260003,198.57305337886623,-113924.89864937865,468587.2650467996
,,March ,791618.1479689999,406556.229665,3910.3199316219007,-92787.84385758215,473939.44222979026
,,April ,763101.95354393,424150.61884193,2089.7858548693152,-100735.52453102918,437597.0733779098
,,May ,733268.150606,407193.707541,-566.8454741391412,-95943.21848251046,422584.5070214298
,,June ,757159.32989193,456083.66213292995,1358.211412498522,-113822.68141620819,413540.13776266994
,,July ,774495.69149517,456096.94463217,620.0767263900003,-99053.88740667951,416832.55754282995
,,August ,785691.0509984,396548.2192734,3343.1332241550817,-113214.68257299523,499014.38107430964
,,September ,793736.3822349799,397436.14368298,2086.92816099,-104261.63130933029,498474.9417009202
,,October ,792756.39764292,409639.57182992,2909.819701774786,-103681.3661996249,483888.37231058
,,November ,798968.06047192,417300.84913891996,3193.4257758831227,-97783.33708293302,476257.12263996
,,December ,856146.73752292,413016.21559792006,-2067.114934205571,-113391.70066174433,558589.33752133
,2017,January ,828469.0959526402,410723.78065563994,-1578.2883174911858,-83114.27127314881,502437.8748877699
,,February ,847628.23680664,455939.37064264,-2905.6729874135754,-91972.01658345605,486566.5557350499
,,March,892163.73396364,466766.43553963996,-1266.4556034543914,-110065.05353652556,536728.80756394
,,April ,885559.6853184,477106.94703040004,-1543.0464037471227,-101193.38177608309,511189.16646671016
,,May ,859794.0527094,414650.2899274,-575.232010933937,-98305.75408151605,544024.7488746798
,,June ,891639.1789684,410866.4376904,-913.0366983358564,-116374.20161375384,598059.9795900201
,,July,894630.157963,339544.731703,-421.4801008542809,-118589.1723468358,674096.0787078103
,,August,911389.44546716,293544.89003216004,3778.487777229993,-131702.25706539987,745768.3247222999
,,September ,909006.3117311599,252599.68932116,4424.151060145218,-124211.39698046538,776193.8683299499
,,October ,915381.11837076,246877.68391775998,4030.286284933931,-127722.58924731382,792195.7374147701
,,November ,911617.2841932001,210079.5075062,4596.828273423327,-127719.41262824416,824660.3610421299
,,December ,939793.2900062,225079.74792320002,3004.870371238796,-134430.3706688887,846139.0423813702
,2018,January ,929983.2575734999,232550.47777333998,2968.130908531223,-169217.14887305128,863681.79776381
,,February ,938134.0770483,225576.8161813,2067.8594062275083,-158700.67933857776,869190.0807998797
,,March ,997245.0809343,261918.29109330004,-648.0152715395265,-122726.4246848905,858701.2297973601
,,April ,1000061.3884073,291833.0368703,-32.00850447960471,-126942.22017163059,835202.5802127301
,,May ,973369.18639206,291383.07312306,-189.349630983742,-128728.95713659658,810904.4200359699
,,June  ,998632.38779006,307859.35636006,-754.6041262630396,-129900.67458388719,821428.3101400301
,,July  ,1001383.7541426499,257134.63416265,-1949.8560580940207,-151065.97826501576,897264.9543025697
,,August  ,1004713.21787977,246297.20743577002,-2680.3215587440395,-140394.21005620615,901490.5420595001
,,September ,1010541.7800707731,368909.652944773,-6139.482860469212,-163427.7994427708,811199.4094299998
,,October,998428.09059384,418005.92683484004,-7519.946437075492,-196857.4875780449,784799.5977744703
,,November ,941606.80299147,438319.13632447,-10501.466013072133,-223676.21133960312,737465.3440205451
,,December ,961096.3126233498,472817.03840746,-11126.659720576363,-251135.214602361,750541.1485367268
,2019,January,949128.5275430201,516469.33139601996,-3479.9517490555218,-240759.364168489,676898.5120639341
,,February  ,963038.46737202,511722.18007702,-2152.480631727308,-237434.87528744104,690903.6432138485
,,March ,962938.29937811,504705.95141511003,3353.0378798501024,-237012.17234748515,691891.4824288752
,,April  ,924228.9347304,436062.07306639996,4277.650296172029,-287383.15021100175,771272.3615789199
,,May ,849420.1056575101,317083.63187651,4833.438567749044,-251769.7105956493,779272.7458078907
,,June ,874533.05542026,342906.79607466003,5737.193495846167,-282047.5234038702,807936.5892530144
,,July ,888419.20198612,345819.11724012,6832.339964614812,-287997.60077568534,823765.3455570505
,,August ,913417.56091775,350581.58392174996,4101.6238160462135,-289700.54509857565,848434.8982784494
,,September ,914667.4871285501,383156.70804955,1513.9708000899507,-321701.93291220657,851698.7411928169
,,October,908358.32139329,349911.85222428996,1591.9261881644154,-312432.9239871576,869287.4669677524
,,November,918913.17730365,332350.51109464996,2588.953024186815,-295260.7320100573,879234.4451950702
,,December ,932604.45858259,363031.78314259,1822.6170593659283,-328247.4094471054,895997.4678274397
,2020,January,935557.97750319,335116.32179919,1191.576492007031,-326672.96567643574,925923.0448884086
,,February ,963282.8422143601,308404.75660836004,871.105435001457,-316977.2754332584,970984.2556041081
,,March,1013796.97036736,473257.35222736007,-1795.800527566746,-401193.30497517885,943528.723641275
,,April ,1021589.4373893599,565841.69306436,-3742.136483147553,-489631.228418916,949121.1092289739
,,May ,996539.39241236,605636.64840136,-226.87618442394773,-426687.63508783607,817817.2552834498
,,June ,868952.7176237201,556675.95141772,4743.716302568317,-517105.17744545714,824638.227349359
,,July,878831.80684588,550015.84647588,30221.825310671302,-486607.5465755107,785201.6816356493
,,August,879828.42320082,534563.66297782,54410.26632180841,-531580.2331767047,822434.7270782158
,,September ,891389.35956982,577746.75916682,79518.43778835963,-524427.5270330142,758551.689647565
,,October ,928387.5797700301,735186.8586260299,102760.18486088021,-483712.4220853094,574152.9583695595
,,November ,936256.74066984,799500.28893384,111820.8368021189,-515211.3301785737,540146.9451127952
,,December ,964439.73323794,868891.6801179401,114478.58044404999,-545709.0560543418,526778.5287308018
,2021,January ,975897.11785027,924317.29317627,111795.88993151,-478143.4892994174,417927.4240419774
,,February ,978089.65616732,996459.7371703199,113404.22268399998,-525633.3408123787,393859.0371252377
,,March ,1028599.34983621,1092195.38317121,105078.2278041,-509708.3828011262,341034.12166152603
,,April,1031144.38090354,1070547.2769705402,107156.42698135,-489481.8921432732,342922.56909407343
,,May,1036010.0118401101,1054611.67138811,113180.91140249999,-480876.4471703152,349093.87622099527
,,June,1065064.2538483602,1178857.74286036,106546.89928727997,-526895.967920847,306555.57962307695
,,July,1063865.9349891401,1418003.76401314,96838.70938483998,-461230.89547013986,10254.35706161016
,,August ,1089265.63721614,1534408.87787514,83660.48477421998,-444923.2212157401,-83880.50421688995
,,September,1295955.78850114,1830864.65809014,88663.29882526999,-464861.7881105429,-158710.380303598
,,October,1286440.88917625,1880145.1226422498,86345.86988093,-427476.0463700997,-252574.05697803997
,,November,1287802.8704132398,1993698.69254824,98979.18490408,-474964.0737958119,-329910.93324363924
,,December,1305808.68900562,2094094.61922862,143185.9519497463,-544209.3438368506,-387262.5383357955
,2022,January ,1337489.49377062,2387377.22855062,101918.76054468,-489089.23296291,-662717.2623600097
,,February ,1324234.44510921,2442394.0543462103,86608.50009829,-470526.6539666213,-734241.4553695499
,,March,1386700.1295236903,2682532.93460823,53581.767951639995,-146037.3062318899,-1203377.2668048798
,,April,1481804.94447078,2889417.5186977796,57714.459419679995,-3099.146468889831,-1462227.8871770797
,,May,1414850.0583536,2904795.68163443,62556.081024990024,-5981.573366970281,-1546520.1309384904
,,June ,1452596.4004274402,3094135.91662343,48075.96687312001,-76925.66236603099,-1612689.8207012394
,,July ,1436447.58682362,3263877.26853443,43035.579920170014,-184265.87224370998,-1686199.3893863207
,,August,1386247.65126437,3311065.7952892696,15417.583882409996,-325379.18953720934,-1614856.5383709797
,,September,1378578.57737266,3302445.2372270306,13540.679103359998,-346590.10053927975,-1590817.2384177498
,,October,1341680.5172585,3351742.90160062,8069.642470870011,-382939.1035044196,-1635192.9233080004
,,November,1318493.25969462,3369790.61624493,6071.568409939999,-417833.51098430104,-1639535.4139762893
,,December,1349388.58203157,3432493.15077266,-11457.801637229997,-457785.9049397785,-1613860.8621647602
,2023,January,1589719.1460650403,3409400.5165089997,-8797.971761609992,-271238.1164460482,-1539645.28223473
,,February,1504684.73628812,3154994.44694604,177164.27464981997,-331478.89708116936,-1495995.0882271898
,,March,1424211.22588772,3209230.31609474,155408.24796268003,-686425.4069284898,-1254001.9312400601
,,April,1417073.9295526901,3214289.41049319,118886.55259117001,-725210.4622733805,-1190891.5712591002
,,May,1559124.29671331,3123740.66300188,103278.27185800001,-690470.9696721305,-977423.6684755798
,,June,1435810.86724833,3178561.55643148,97806.45996848,-877576.6458590288,-962980.5032922499
,,July,1373782.2498195102,3206459.4972246997,27113.567935039995,-877369.2431933201,-982421.5721476498
,,August (a ),1407318.73121819,3054733.61169684,52620.81528429,-742353.8657548603,-957681.8300078999
,(a ) Provisional,,,,,,
,Note: ,Valuation changes arising from changes in the exchange rate have led to significant changes in monetary and credit aggregates during the period starting from March 2022.  ,,,,,
,Source:Central Bank of Sri Lanka,,,,,,

