<new sheet>
sheet_name: 2.05
,Contents,,,,,,,,,,,,,,,
,2.05 Trade Indices - Annual (2007-2022),,,,,,,,,,,,,,,
,,Table 2.5.1 : Trade Indices (Exports) - Value ,,,,,,,,,,,,,,
,,Table 2.5.2 : Trade Indices (Exports) - Unit Value,,,,,,,,,,,,,,
,,Table 2.5.3: Trade Indices (Exports) - Volume ,,,,,,,,,,,,,,
,,Table 2.5.4 : Trade Indices (Imports) - Value  ,,,,,,,,,,,,,,
,,Table 2.5.5 :Trade Indices (Imports) - Unit Value ,,,,,,,,,,,,,,
,,Table 2.5.6 : Trade Indices (Imports) - Volume ,,,,,,,,,,,,,,


,Table 2.5.1 : Trade Indices (Exports) - Value (a) ,,,,,,,,,,,,,,,
,,,,,,,,,,,Base Period 2010=100,,,,,
,,Exports,,,,,,,,,,,,,,
,,Industrial ,,,,Agricultural ,,,,,Mineral,Total,,,,
,Period,  Textiles and ,Petroleum,Rubber ,Total ,Tea,Rubber,Coconut ,Minor Agri. ,Total ,,Exports,,,,
,, Garments,Products,Products,,,, Products, Products,,,,,,,

,2007,97.35979425690785,63.139052513650086,85.01850580273575,95.39700151994639,69.76020286952765,61.62177424085223,75.96320944370042,50.4341680332649,70.03227936741122,96.05222805399514,86.75034527608926,,,,
,2008,99.42109586927796,92.58103097107596,93.22688971181259,96.14688165920352,84.5279764351669,69.12240936998673,83.98278267802696,65.94003132383254,81.77501425583053,84.38438642128655,90.1165975418928,,,,
,2009,98.80273728001985,51.905432795809155,70.17056014020787,87.20339491904129,83.66092439717147,57.84725825264744,99.50013489946485,61.90509528434847,80.60862815660614,83.25198811113485,83.4911976838824,,,,
,2010,99.99999999999994,100,100,99.99999999999999,100.00000000000001,99.99999999999994,100,100,100.00000000000001,100,99.95290105188936,,,,
,2011,122.23838919155553,205.52919093046123,155.44225592982204,128.31310383983646,101.27543835964893,116.49993659473192,156.94930591521072,121.50100192214377,107.2263103679536,132.5624540156722,119.78253996586108,,,,
,2012,134.13170530594283,197.9143671025584,173.91488238722226,136.29758130130355,110.83326475492285,80.31420419092345,141.99943331883637,120.15082260214801,114.22783906517905,286.0103409012054,127.76686582927869,,,,
,2013,153.7630174705926,185.23750489611714,182.38801975367926,145.4512518184302,122.51529409148884,46.95535832515663,141.4341941721522,162.5129038836108,128.12775098943956,245.62297528467627,137.87343205488983,,,,
,2014,169.8,148.3,184.6,156.61881463028243,130.6,30.2,248.4,267.2,140,283.5,149.06712888955025,,,,
,2015,172.6846205935867,169.55695788013296,164.07253640764438,158,111.83159424416232,18.119703126326474,254.93771768506426,269.98423364689046,129.30364314450472,139.68179062232414,146.8,,,,
,2016,187.44633646265535,140.41511451992346,177.62308233470617,167.7947631279021,113.50512682950388,24.301154526395894,284.5049818078781,205.45992042406775,129.96339695806572,154.03982120242605,153.94892046405874,,,,
,2017,202.34304273988766,222.69744724688462,202.46406209016996,189.11930629360913,143.3344868096325,30.232768425694136,283.1939070315632,261.8924308713945,161.9258612742708,192.17855662657573,177.71409308018087,,,,
,2018,228.37805422519213,340.94500518562563,226.0942386318045,218.68339148613896,142.35904170995107,25.986557000053068,269.4604123545898,236.99621603574778,160.71093554615098,203.36689675732396,198.34232603757187,,,,
,2019,263.9116510852616,313.1471277364456,246.04422796603623,244.70730125925147,147.81776806000934,22.066070219042558,314.24251498835173,266.19118543282724,168.85075450190917,221.370217514622,218.97235596439813,,,,
,2020,215.61860920210896,231.342899594963,231.1838649409492,205.96391213323224,141.3881589811626,28.490402007524654,341.5921546150639,308.6177165929247,166.16113011754214,170.0268114777928,190.68919998416519,,,,
,2021,285.1270383963552,339.2912261382132,332.0359244792919,280.2890582141812,161.77204480960413,42.78076202664082,452.1230790823908,367.1408195434662,208.37143262088594,322.82104775933556,255.11125382603086,,,,
,2022 (b),506.89042022075114,595.3998094864618,499.75779918656525,490.13498816827206,252.52450840682374,65.07601746411278,686.1811874631554,734.738027962409,320.3776027882414,601.158896541884,434.4184549808267,,,,

,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,,,,
,(a) The value index is computed as a simple index of the ratio of rupee values between the current period and the base period.,,,,,,,,,,,,,,,
,(b) Provisional,,,,,,,,,,,,,,,


,Table 2.5.2 : Trade Indices (Exports) - Unit Value (a),,,,,,,,,,,,,,,
,,,,,,,,,,,Base Period 2010=100,,,,,
,,Exports,,,,,,,,,,,,,,
,,Industrial ,,,,Agricultural ,,,,,Mineral,Total,,,,
,Period,  Textiles and ,Petroleum,Rubber ,Total ,Tea,Rubber,Coconut ,Minor Agri. ,Total ,,Exports,,,,
,, Garments,Products,Products,,,, Products, Products,,,,,,,

,2007,95.38672726678455,97.00753707672287,92.50920625976528,60.3,75.3172437336723,63.637696425905354,69.78441370478717,54.57830980323036,72.55977809089224,101.7161164403252,62.8,,,,
,2008,98.98572976637142,130.4889265522947,98.5248472827169,61.6,89.15593889296244,76.39905882214673,94.36490131224308,74.38251205535065,88.7,97.67798872148866,66.6,,,,
,2009,106,84.34513435853665,94.42995081136888,67.6,96.97391310401507,58.747988146816134,85.02095775641448,82.25996253123132,90.5,92.3,72.4,,,,
,2010,99.99999999999999,100,100.00000000000001,99.99999999999999,100,99.99999999999996,99.99999999999999,100,100.00000000000001,99.99881614940347,99.95289772741977,,,,
,2011,107.69414165622008,152.50101257966872,132.91024754002996,108.59997414822998,103.13309045582378,140.26835015723813,134.97098162001518,84.25056494221552,110.00244106649535,120.50340863408543,108.74084206691394,,,,
