<new sheet>
sheet_name: HS codes Import Classification
No.,Major Category,Minor Category,HSCO
168,Consumer goods,Cereals and milling industry products,110421
169,Consumer goods,Cereals and milling industry products,110422
170,Consumer goods,Cereals and milling industry products,110423
171,Consumer goods,Cereals and milling industry products,110429
172,Consumer goods,Cereals and milling industry products,110430
173,Consumer goods,Cereals and milling industry products,110510
174,Consumer goods,Cereals and milling industry products,110520
175,Consumer goods,Cereals and milling industry products,110610
176,Consumer goods,Cereals and milling industry products,110630
177,Consumer goods,Cereals and milling industry products,110710
178,Consumer goods,Cereals and milling industry products,110720
179,Consumer goods,Cereals and milling industry products,110811
180,Consumer goods,Cereals and milling industry products,110813
181,Consumer goods,Cereals and milling industry products,110814
182,Consumer goods,Cereals and milling industry products,110819
183,Consumer goods,Cereals and milling industry products,110820
184,Consumer goods,Cereals and milling industry products,110900
185,Consumer goods,Cereals and milling industry products,10063010
186,Consumer goods,Cereals and milling industry products,10063011
187,Consumer goods,Cereals and milling industry products,10063019
188,Consumer goods,Cereals and milling industry products,10063020
189,Consumer goods,Cereals and milling industry products,10063021
190,Consumer goods,Cereals and milling industry products,10063029
191,Consumer goods,Cereals and milling industry products,10063030
192,Consumer goods,Cereals and milling industry products,10063040
193,Consumer goods,Cereals and milling industry products,10063090
194,Consumer goods,Cereals and milling industry products,10082001
195,Consumer goods,Cereals and milling industry products,10082009
196,Consumer goods,Cereals and milling industry products,10082010
197,Consumer goods,Cereals and milling industry products,10082090
198,Consumer goods,Cereals and milling industry products,10082110
199,Consumer goods,Cereals and milling industry products,10082190
200,Consumer goods,Cereals and milling industry products,10082910
201,Consumer goods,Cereals and milling industry products,10082990
202,Consumer goods,Cereals and milling industry products,11010001
203,Consumer goods,Cereals and milling industry products,11010009
204,Consumer goods,Cereals and milling industry products,11010010
205,Consumer goods,Cereals and milling industry products,11010090
206,Consumer goods,Cereals and milling industry products,11029001
207,Consumer goods,Cereals and milling industry products,11029009
208,Consumer goods,Cereals and milling industry products,11029010
209,Consumer goods,Cereals and milling industry products,11029020
210,Consumer goods,Cereals and milling industry products,11029030
211,Consumer goods,Cereals and milling industry products,11029090
212,Consumer goods,Cereals and milling industry products,11061001
213,Consumer goods,Cereals and milling industry products,11061009
214,Consumer goods,Cereals and milling industry products,11061010
215,Consumer goods,Cereals and milling industry products,11061090
216,Consumer goods,Cereals and milling industry products,11062009
217,Consumer goods,Cereals and milling industry products,11062010
218,Consumer goods,Cereals and milling industry products,11062020
219,Consumer goods,Cereals and milling industry products,11062090
220,Consumer goods,Cereals and milling industry products,11063001
221,Consumer goods,Cereals and milling industry products,11063009
222,Consumer goods,Cereals and milling industry products,11063010
223,Consumer goods,Cereals and milling industry products,11063090
224,Consumer goods,Clothing and accessories,420100
225,Consumer goods,Clothing and accessories,420211
226,Consumer goods,Clothing and accessories,420212
227,Consumer goods,Clothing and accessories,420219
228,Consumer goods,Clothing and accessories,420221
229,Consumer goods,Clothing and accessories,420222
230,Consumer goods,Clothing and accessories,420229
231,Consumer goods,Clothing and accessories,420231
232,Consumer goods,Clothing and accessories,420232
233,Consumer goods,Clothing and accessories,420239
234,Consumer goods,Clothing and accessories,420291
235,Consumer goods,Clothing and accessories,420292
236,Consumer goods,Clothing and accessories,420299
237,Consumer goods,Clothing and accessories,420310
238,Consumer goods,Clothing and accessories,420321
239,Consumer goods,Clothing and accessories,420329
240,Consumer goods,Clothing and accessories,420330
241,Consumer goods,Clothing and accessories,420340
242,Consumer goods,Clothing and accessories,420400
243,Consumer goods,Clothing and accessories,420500
244,Consumer goods,Clothing and accessories,420600
245,Consumer goods,Clothing and accessories,420610
246,Consumer goods,Clothing and accessories,420690
247,Consumer goods,Clothing and accessories,430310
248,Consumer goods,Clothing and accessories,430390
249,Consumer goods,Clothing and accessories,430400
250,Consumer goods,Clothing and accessories,560110
251,Consumer goods,Clothing and accessories,610110
252,Consumer goods,Clothing and accessories,610120
253,Consumer goods,Clothing and accessories,610130
254,Consumer goods,Clothing and accessories,610190
255,Consumer goods,Clothing and accessories,610210
256,Consumer goods,Clothing and accessories,610220
257,Consumer goods,Clothing and accessories,610230
258,Consumer goods,Clothing and accessories,610290
259,Consumer goods,Clothing and accessories,610310
260,Consumer goods,Clothing and accessories,610311
261,Consumer goods,Clothing and accessories,610312
262,Consumer goods,Clothing and accessories,610319
263,Consumer goods,Clothing and accessories,610321
264,Consumer goods,Clothing and accessories,610322
265,Consumer goods,Clothing and accessories,610323
266,Consumer goods,Clothing and accessories,610329
267,Consumer goods,Clothing and accessories,610331
268,Consumer goods,Clothing and accessories,610332
269,Consumer goods,Clothing and accessories,610333
270,Consumer goods,Clothing and accessories,610339
271,Consumer goods,Clothing and accessories,610341
272,Consumer goods,Clothing and accessories,610342
273,Consumer goods,Clothing and accessories,610343
274,Consumer goods,Clothing and accessories,610349
275,Consumer goods,Clothing and accessories,610411
276,Consumer goods,Clothing and accessories,610412
277,Consumer goods,Clothing and accessories,610413
278,Consumer goods,Clothing and accessories,610419
279,Consumer goods,Clothing and accessories,610421
280,Consumer goods,Clothing and accessories,610422
281,Consumer goods,Clothing and accessories,610423
282,Consumer goods,Clothing and accessories,610429
283,Consumer goods,Clothing and accessories,610431
284,Consumer goods,Clothing and accessories,610432
285,Consumer goods,Clothing and accessories,610433
286,Consumer goods,Clothing and accessories,610439
287,Consumer goods,Clothing and accessories,610441
288,Consumer goods,Clothing and accessories,610442
289,Consumer goods,Clothing and accessories,610443
290,Consumer goods,Clothing and accessories,610444
291,Consumer goods,Clothing and accessories,610449
292,Consumer goods,Clothing and accessories,610451
293,Consumer goods,Clothing and accessories,610452
294,Consumer goods,Clothing and accessories,610453
295,Consumer goods,Clothing and accessories,610459
296,Consumer goods,Clothing and accessories,610461
297,Consumer goods,Clothing and accessories,610462
298,Consumer goods,Clothing and accessories,610463
299,Consumer goods,Clothing and accessories,610469
300,Consumer goods,Clothing and accessories,610510
301,Consumer goods,Clothing and accessories,610520
302,Consumer goods,Clothing and accessories,610590
303,Consumer goods,Clothing and accessories,610610
304,Consumer goods,Clothing and accessories,610620
305,Consumer goods,Clothing and accessories,610690
306,Consumer goods,Clothing and accessories,610711
307,Consumer goods,Clothing and accessories,610712
308,Consumer goods,Clothing and accessories,610719
309,Consumer goods,Clothing and accessories,610721
310,Consumer goods,Clothing and accessories,610722
311,Consumer goods,Clothing and accessories,610729
312,Consumer goods,Clothing and accessories,610791
313,Consumer goods,Clothing and accessories,610792
314,Consumer goods,Clothing and accessories,610799
315,Consumer goods,Clothing and accessories,610811
316,Consumer goods,Clothing and accessories,610819
317,Consumer goods,Clothing and accessories,610821
318,Consumer goods,Clothing and accessories,610822
319,Consumer goods,Clothing and accessories,610829
320,Consumer goods,Clothing and accessories,610831
321,Consumer goods,Clothing and accessories,610832
322,Consumer goods,Clothing and accessories,610839
323,Consumer goods,Clothing and accessories,610891
324,Consumer goods,Clothing and accessories,610892
325,Consumer goods,Clothing and accessories,610899
326,Consumer goods,Clothing and accessories,610910
327,Consumer goods,Clothing and accessories,610990
328,Consumer goods,Clothing and accessories,611010
329,Consumer goods,Clothing and accessories,611011
330,Consumer goods,Clothing and accessories,611012
331,Consumer goods,Clothing and accessories,611019
332,Consumer goods,Clothing and accessories,611020
333,Consumer goods,Clothing and accessories,611030
334,Consumer goods,Clothing and accessories,611090
335,Consumer goods,Clothing and accessories,611110
336,Consumer goods,Clothing and accessories,611120
337,Consumer goods,Clothing and accessories,611130
338,Consumer goods,Clothing and accessories,611190
339,Consumer goods,Clothing and accessories,611211
340,Consumer goods,Clothing and accessories,611212
341,Consumer goods,Clothing and accessories,611219
342,Consumer goods,Clothing and accessories,611220
343,Consumer goods,Clothing and accessories,611231
344,Consumer goods,Clothing and accessories,611239
345,Consumer goods,Clothing and accessories,611241
346,Consumer goods,Clothing and accessories,611249
347,Consumer goods,Clothing and accessories,611300
348,Consumer goods,Clothing and accessories,611410
349,Consumer goods,Clothing and accessories,611420
350,Consumer goods,Clothing and accessories,611430
351,Consumer goods,Clothing and accessories,611490
352,Consumer goods,Clothing and accessories,611510
353,Consumer goods,Clothing and accessories,611511
354,Consumer goods,Clothing and accessories,611512
355,Consumer goods,Clothing and accessories,611519
356,Consumer goods,Clothing and accessories,611520
357,Consumer goods,Clothing and accessories,611521
358,Consumer goods,Clothing and accessories,611522
359,Consumer goods,Clothing and accessories,611529
360,Consumer goods,Clothing and accessories,611530
361,Consumer goods,Clothing and accessories,611591
362,Consumer goods,Clothing and accessories,611592
363,Consumer goods,Clothing and accessories,611593
364,Consumer goods,Clothing and accessories,611594
365,Consumer goods,Clothing and accessories,611595
366,Consumer goods,Clothing and accessories,611596
367,Consumer goods,Clothing and accessories,611599
368,Consumer goods,Clothing and accessories,611610
369,Consumer goods,Clothing and accessories,611691
370,Consumer goods,Clothing and accessories,611692
371,Consumer goods,Clothing and accessories,611693
372,Consumer goods,Clothing and accessories,611699
373,Consumer goods,Clothing and accessories,611710
374,Consumer goods,Clothing and accessories,611720
375,Consumer goods,Clothing and accessories,620110
376,Consumer goods,Clothing and accessories,620111
377,Consumer goods,Clothing and accessories,620112
378,Consumer goods,Clothing and accessories,620113
379,Consumer goods,Clothing and accessories,620119
380,Consumer goods,Clothing and accessories,620140
381,Consumer goods,Clothing and accessories,620190
382,Consumer goods,Clothing and accessories,620191
383,Consumer goods,Clothing and accessories,620192
384,Consumer goods,Clothing and accessories,620193
385,Consumer goods,Clothing and accessories,620199
386,Consumer goods,Clothing and accessories,620211
387,Consumer goods,Clothing and accessories,620212
388,Consumer goods,Clothing and accessories,620213
389,Consumer goods,Clothing and accessories,620219
390,Consumer goods,Clothing and accessories,620220
391,Consumer goods,Clothing and accessories,620230
392,Consumer goods,Clothing and accessories,620240
393,Consumer goods,Clothing and accessories,620242
394,Consumer goods,Clothing and accessories,620290
395,Consumer goods,Clothing and accessories,620291
396,Consumer goods,Clothing and accessories,620292
397,Consumer goods,Clothing and accessories,620293
398,Consumer goods,Clothing and accessories,620299
399,Consumer goods,Clothing and accessories,620311
400,Consumer goods,Clothing and accessories,620312
401,Consumer goods,Clothing and accessories,620319
402,Consumer goods,Clothing and accessories,620321
403,Consumer goods,Clothing and accessories,620322
404,Consumer goods,Clothing and accessories,620323
405,Consumer goods,Clothing and accessories,620329
406,Consumer goods,Clothing and accessories,620331
407,Consumer goods,Clothing and accessories,620332
408,Consumer goods,Clothing and accessories,620333
409,Consumer goods,Clothing and accessories,620339
410,Consumer goods,Clothing and accessories,620341
411,Consumer goods,Clothing and accessories,620342
412,Consumer goods,Clothing and accessories,620343
413,Consumer goods,Clothing and accessories,620349
414,Consumer goods,Clothing and accessories,620411
415,Consumer goods,Clothing and accessories,620412
416,Consumer goods,Clothing and accessories,620413
417,Consumer goods,Clothing and accessories,620419
418,Consumer goods,Clothing and accessories,620421
419,Consumer goods,Clothing and accessories,620422
420,Consumer goods,Clothing and accessories,620423
421,Consumer goods,Clothing and accessories,620429
422,Consumer goods,Clothing and accessories,620431
423,Consumer goods,Clothing and accessories,620432
424,Consumer goods,Clothing and accessories,620433
425,Consumer goods,Clothing and accessories,620439
426,Consumer goods,Clothing and accessories,620441
427,Consumer goods,Clothing and accessories,620442
428,Consumer goods,Clothing and accessories,620443
429,Consumer goods,Clothing and accessories,620444
430,Consumer goods,Clothing and accessories,620449
431,Consumer goods,Clothing and accessories,620451
432,Consumer goods,Clothing and accessories,620452
433,Consumer goods,Clothing and accessories,620453
434,Consumer goods,Clothing and accessories,620459
435,Consumer goods,Clothing and accessories,620461
436,Consumer goods,Clothing and accessories,620462
437,Consumer goods,Clothing and accessories,620463
438,Consumer goods,Clothing and accessories,620469
439,Consumer goods,Clothing and accessories,620510
440,Consumer goods,Clothing and accessories,620520
441,Consumer goods,Clothing and accessories,620530
442,Consumer goods,Clothing and accessories,620590
443,Consumer goods,Clothing and accessories,620610
444,Consumer goods,Clothing and accessories,620620
445,Consumer goods,Clothing and accessories,620630
446,Consumer goods,Clothing and accessories,620640
447,Consumer goods,Clothing and accessories,620690
448,Consumer goods,Clothing and accessories,620711
449,Consumer goods,Clothing and accessories,620719
450,Consumer goods,Clothing and accessories,620721
451,Consumer goods,Clothing and accessories,620722
452,Consumer goods,Clothing and accessories,620729
453,Consumer goods,Clothing and accessories,620791
454,Consumer goods,Clothing and accessories,620792
455,Consumer goods,Clothing and accessories,620799
456,Consumer goods,Clothing and accessories,620811
457,Consumer goods,Clothing and accessories,620819
458,Consumer goods,Clothing and accessories,620821
459,Consumer goods,Clothing and accessories,620822
460,Consumer goods,Clothing and accessories,620829
461,Consumer goods,Clothing and accessories,620891
462,Consumer goods,Clothing and accessories,620892
463,Consumer goods,Clothing and accessories,620899
464,Consumer goods,Clothing and accessories,620910
465,Consumer goods,Clothing and accessories,620920
466,Consumer goods,Clothing and accessories,620930
467,Consumer goods,Clothing and accessories,620990
468,Consumer goods,Clothing and accessories,621010
469,Consumer goods,Clothing and accessories,621020
470,Consumer goods,Clothing and accessories,621030
471,Consumer goods,Clothing and accessories,621040
472,Consumer goods,Clothing and accessories,621050
473,Consumer goods,Clothing and accessories,621111
474,Consumer goods,Clothing and accessories,621112
475,Consumer goods,Clothing and accessories,621120
476,Consumer goods,Clothing and accessories,621131
477,Consumer goods,Clothing and accessories,621132
478,Consumer goods,Clothing and accessories,621133
479,Consumer goods,Clothing and accessories,621139
480,Consumer goods,Clothing and accessories,621141
481,Consumer goods,Clothing and accessories,621142
482,Consumer goods,Clothing and accessories,621143
483,Consumer goods,Clothing and accessories,621149
484,Consumer goods,Clothing and accessories,621210
485,Consumer goods,Clothing and accessories,621220
486,Consumer goods,Clothing and accessories,621230
487,Consumer goods,Clothing and accessories,621290
488,Consumer goods,Clothing and accessories,621310
489,Consumer goods,Clothing and accessories,621320
490,Consumer goods,Clothing and accessories,621390
491,Consumer goods,Clothing and accessories,621410
492,Consumer goods,Clothing and accessories,621420
493,Consumer goods,Clothing and accessories,621430
494,Consumer goods,Clothing and accessories,621440
495,Consumer goods,Clothing and accessories,621490
496,Consumer goods,Clothing and accessories,621510
497,Consumer goods,Clothing and accessories,621520
498,Consumer goods,Clothing and accessories,621590
499,Consumer goods,Clothing and accessories,621600
500,Consumer goods,Clothing and accessories,631010
501,Consumer goods,Clothing and accessories,631090
502,Consumer goods,Clothing and accessories,640110
503,Consumer goods,Clothing and accessories,640111
504,Consumer goods,Clothing and accessories,640119
505,Consumer goods,Clothing and accessories,640120
506,Consumer goods,Clothing and accessories,640130
507,Consumer goods,Clothing and accessories,640191
508,Consumer goods,Clothing and accessories,640192
509,Consumer goods,Clothing and accessories,640199
510,Consumer goods,Clothing and accessories,640211
511,Consumer goods,Clothing and accessories,640212
512,Consumer goods,Clothing and accessories,640219
513,Consumer goods,Clothing and accessories,640220
514,Consumer goods,Clothing and accessories,640230
515,Consumer goods,Clothing and accessories,640291
516,Consumer goods,Clothing and accessories,640299
517,Consumer goods,Clothing and accessories,640311
518,Consumer goods,Clothing and accessories,640312
519,Consumer goods,Clothing and accessories,640319
520,Consumer goods,Clothing and accessories,640320
521,Consumer goods,Clothing and accessories,640330
522,Consumer goods,Clothing and accessories,640340
523,Consumer goods,Clothing and accessories,640351
524,Consumer goods,Clothing and accessories,640359
525,Consumer goods,Clothing and accessories,640391
526,Consumer goods,Clothing and accessories,640399
527,Consumer goods,Clothing and accessories,640411
528,Consumer goods,Clothing and accessories,640419
529,Consumer goods,Clothing and accessories,640420
530,Consumer goods,Clothing and accessories,640510
531,Consumer goods,Clothing and accessories,640520
532,Consumer goods,Clothing and accessories,640590
533,Consumer goods,Clothing and accessories,650100
