<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 16.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00520E014,2020-05-01 00:00:00,0.290410959,200
LKB00521L157,2021-12-15 00:00:00,1.915068493,350
LKB00523C152,2023-03-15 00:00:00,3.161643836,50
LKB00523G153,2023-07-15 00:00:00,3.495890411,700
LKB01123I017,2023-09-01 00:00:00,3.62739726,2665.3845
LKB01023I019,2023-09-01 00:00:00,3.62739726,600
LKB00524F153,2024-06-15 00:00:00,4.416438356,750
LKB00524I157,2024-09-15 00:00:00,4.668493151,950
LKB01530E152,2030-05-15 00:00:00,10.33424658,300
LKB01534I155,2034-09-15 00:00:00,14.6739726,400
Total,,,6965.3845

