<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 24.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521C016,2021-03-01 00:00:00,1.01643835616438,1000
LKB00821H019,2021-08-01 00:00:00,1.43561643835616,50
LKB00623E156,2023-05-15 00:00:00,3.22191780821918,600
LKB00524F153,2024-06-15 00:00:00,4.30958904109589,1300
LKB00824H013,2024-08-01 00:00:00,4.43835616438356,1196
LKB00524I157,2024-09-15 00:00:00,4.56164383561644,2150
LKB00827J152,2027-10-15 00:00:00,7.64383561643836,100
LKB01528I017,2028-09-01 00:00:00,8.52602739726027,1391
LKB01533A154,2033-01-15 00:00:00,12.9013698630137,300
Total,,,8087

