<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes on 04.08.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322C159,2022-03-15 00:00:00,0.610958904109589,500
LKB00922G017,2022-07-01 00:00:00,0.906849315068493,46.730065
LKB00523C152,2023-03-15 00:00:00,1.61095890410959,100
LKB00523G153,2023-07-15 00:00:00,1.94520547945205,600
LKB01123I017,2023-09-01 00:00:00,2.07671232876712,1500
LKB00323K150,2023-11-15 00:00:00,2.28219178082192,500
LKB00524I157,2024-09-15 00:00:00,3.11780821917808,200
LKB01024L011,2024-12-01 00:00:00,3.32876712328767,200
Total,,,3646.7300649999997

