<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 16.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00921E014,2021-05-01 00:00:00,1.04109589041096,300
LKB00523C152,2023-03-15 00:00:00,2.91232876712329,1200
LKB00523G153,2023-07-15 00:00:00,3.24657534246575,300
LKB01123I017,2023-09-01 00:00:00,3.37808219178082,50
LKB00523L153,2023-12-15 00:00:00,3.66575342465753,100
LKB00824H013,2024-08-01 00:00:00,4.2958904109589,500
LKB00524I157,2024-09-15 00:00:00,4.41917808219178,100
LKB00827J152,2027-10-15 00:00:00,7.5013698630137,150
Total,,,2700

