<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 12.01.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322C159,2022-03-15 00:00:00,1.16986301369863,100
LKB00922J011,2022-10-01 00:00:00,1.71780821917808,350
LKB00322K152,2022-11-15 00:00:00,1.84109589041096,600
LKB00322L150,2022-12-15 00:00:00,1.92328767123288,1250
LKB00323A151,2023-01-15 00:00:00,2.00821917808219,250
LKB02023J016,2023-10-01 00:00:00,2.71780821917808,50
LKB00523L153,2023-12-15 00:00:00,2.92328767123288,350
LKB01024A014,2024-01-01 00:00:00,2.96986301369863,100
LKB00524I157,2024-09-15 00:00:00,3.67671232876712,600
LKB01024L011,2024-12-01 00:00:00,3.88767123287671,600
Total,,,4250

