<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes on 24.09.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521L157,2021-12-15 00:00:00,0.224657534246575,300
LKB02023J016,2023-10-01 00:00:00,2.01917808219178,2425.8
LKB00323K150,2023-11-15 00:00:00,2.14246575342466,200
LKB01024A014,2024-01-01 00:00:00,2.27123287671233,42
LKB01024L011,2024-12-01 00:00:00,3.18904109589041,50
LKB00827J152,2027-10-15 00:00:00,6.06027397260274,100
LKB01628G019,2028-07-01 00:00:00,6.77260273972603,100
LKB01530E152,2030-05-15 00:00:00,8.64383561643836,500
LKB01231C151,2031-03-15 00:00:00,9.47671232876712,41.842857
LKB01534I155,2034-09-15 00:00:00,12.9835616438356,400
Total,,,4159.642857000001

