<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 17.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00520E014,2020-05-01 00:00:00,0.202739726027397,781
LKB00521C016,2021-03-01 00:00:00,1.03561643835616,300
LKB00821H019,2021-08-01 00:00:00,1.45479452054795,204
LKB00524C150,2024-03-15 00:00:00,4.07671232876712,250
LKB00524F153,2024-06-15 00:00:00,4.32876712328767,100
LKB00524I157,2024-09-15 00:00:00,4.58082191780822,200
LKB01027F156,2027-06-15 00:00:00,7.32876712328767,100
LKB00827J152,2027-10-15 00:00:00,7.66301369863014,550
LKB01528E016,2028-05-01 00:00:00,8.20821917808219,100
LKB01530E152,2030-05-15 00:00:00,10.2465753424658,100
LKB02035C155,2035-03-15 00:00:00,15.0821917808219,100
Total,,,2785

