<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 04.09.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322K152,2022-11-15 00:00:00,2.1972602739726,150
LKB00322L150,2022-12-15 00:00:00,2.27945205479452,1600
LKB00323A151,2023-01-15 00:00:00,2.36438356164384,1750
LKB00523C152,2023-03-15 00:00:00,2.52602739726027,200
LKB00523G153,2023-07-15 00:00:00,2.86027397260274,100
LKB01123I017,2023-09-01 00:00:00,2.99178082191781,550
LKB00523L153,2023-12-15 00:00:00,3.27945205479452,100
LKB00524I157,2024-09-15 00:00:00,4.03287671232877,350
LKB00827H156,2027-08-15 00:00:00,6.94794520547945,1200
LKB00827J152,2027-10-15 00:00:00,7.11506849315068,300
Total,,,6300

