<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 13.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00523C152,2023-03-15 00:00:00,3.169863014,311
LKB00523G153,2023-07-15 00:00:00,3.504109589,100
LKB01023I019,2023-09-01 00:00:00,3.635616438,200
LKB00524F153,2024-06-15 00:00:00,4.424657534,450
LKB00524I157,2024-09-15 00:00:00,4.676712329,50
LKB00827J152,2027-10-15 00:00:00,7.75890411,250
LKB01529E014,2029-05-01 00:00:00,9.304109589,100
LKB01530E152,2030-05-15 00:00:00,10.34246575,50
Total,,,1511

