<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 18.03.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00922G017,2022-07-01 00:00:00,1.28767123287671,100
LKB00322L150,2022-12-15 00:00:00,1.74520547945205,850
LKB01123I017,2023-09-01 00:00:00,2.45753424657534,250
LKB00523L153,2023-12-15 00:00:00,2.74520547945205,250
LKB01024A014,2024-01-01 00:00:00,2.79178082191781,250
LKB00524C150,2024-03-15 00:00:00,2.99452054794521,350
LKB00524F153,2024-06-15 00:00:00,3.24657534246575,100
LKB00824H013,2024-08-01 00:00:00,3.37534246575342,400
LKB00524I157,2024-09-15 00:00:00,3.4986301369863,200
Total,,,2750

