<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 25.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521C016,2021-03-01 00:00:00,1.01369863013699,750
LKB00921E014,2021-05-01 00:00:00,1.18082191780822,250
LKB00821H019,2021-08-01 00:00:00,1.43287671232877,200
LKB00521L157,2021-12-15 00:00:00,1.80547945205479,100
LKB00322C159,2022-03-15 00:00:00,2.05205479452055,50
LKB00523C152,2023-03-15 00:00:00,3.05205479452055,1300
LKB00524C150,2024-03-15 00:00:00,4.05479452054795,750
LKB00524F153,2024-06-15 00:00:00,4.30684931506849,100
LKB00824H013,2024-08-01 00:00:00,4.43561643835616,477
LKB00524I157,2024-09-15 00:00:00,4.55890410958904,700
LKB01027F156,2027-06-15 00:00:00,7.30684931506849,250
LKB01528I017,2028-09-01 00:00:00,8.52328767123288,728.19
Total,,,5655.1900000000005

