<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 15.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521C016,2021-03-01 00:00:00,0.876712328767123,100
LKB00922J011,2022-10-01 00:00:00,2.46301369863014,100
LKB01123I017,2023-09-01 00:00:00,3.38082191780822,250
LKB01023I019,2023-09-01 00:00:00,3.38082191780822,250
LKB00523L153,2023-12-15 00:00:00,3.66849315068493,1050
LKB00524C150,2024-03-15 00:00:00,3.91780821917808,850
LKB00824H013,2024-08-01 00:00:00,4.2986301369863,1213
LKB00827J152,2027-10-15 00:00:00,7.5041095890411,284
Total,,,4097

