<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 26.11.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00821H019,2021-08-01 00:00:00,0.679452054794521,500
LKB00721J157,2021-10-15 00:00:00,0.884931506849315,2000
LKB00922G017,2022-07-01 00:00:00,1.59452054794521,1000
LKB00922J011,2022-10-01 00:00:00,1.84657534246575,500
LKB00322L150,2022-12-15 00:00:00,2.05205479452055,850
LKB00323A151,2023-01-15 00:00:00,2.13698630136986,250
LKB01123I017,2023-09-01 00:00:00,2.76438356164384,100
LKB00524I157,2024-09-15 00:00:00,3.80547945205479,100
Total,,,5300

