<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 26.02.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00523C152,2023-03-15 00:00:00,3.04931506849315,100
LKB00623E156,2023-05-15 00:00:00,3.21643835616438,1185
LKB01024A014,2024-01-01 00:00:00,3.84931506849315,2303
LKB00524C150,2024-03-15 00:00:00,4.05205479452055,1145
LKB00524F153,2024-06-15 00:00:00,4.3041095890411,250
LKB00824H013,2024-08-01 00:00:00,4.43287671232877,1750
LKB00524I157,2024-09-15 00:00:00,4.55616438356164,250
LKB01027F156,2027-06-15 00:00:00,7.3041095890411,150
Total,,,7133

