<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 28.02.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00520E014,2020-05-01 00:00:00,0.172602739726027,200
LKB01023I019,2023-09-01 00:00:00,3.50958904109589,250
LKB01024A014,2024-01-01 00:00:00,3.84383561643836,100
LKB00524C150,2024-03-15 00:00:00,4.04657534246575,50
LKB00524F153,2024-06-15 00:00:00,4.2986301369863,300
LKB00824H013,2024-08-01 00:00:00,4.42739726027397,150
LKB00524I157,2024-09-15 00:00:00,4.55068493150685,900
LKB01528I017,2028-09-01 00:00:00,8.51506849315068,250
Total,,,2200

