<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 20.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521L157,2021-12-15 00:00:00,1.81917808219178,500
LKB00322C159,2022-03-15 00:00:00,2.06575342465753,50
LKB00922J011,2022-10-01 00:00:00,2.61369863013699,100
LKB00623E156,2023-05-15 00:00:00,3.23287671232877,2272
LKB00523G153,2023-07-15 00:00:00,3.4,250
LKB01023I019,2023-09-01 00:00:00,3.53150684931507,1378.62
LKB00524F153,2024-06-15 00:00:00,4.32054794520548,1150
LKB00824H013,2024-08-01 00:00:00,4.44931506849315,332
LKB00524I157,2024-09-15 00:00:00,4.57260273972603,1500
LKB01528I017,2028-09-01 00:00:00,8.53698630136986,1100
Total,,,8632.619999999999

