<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 23.03.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322L150,2022-12-15 00:00:00,1.73150684931507,350
LKB00323A151,2023-01-15 00:00:00,1.81643835616438,250
LKB00523G153,2023-07-15 00:00:00,2.31232876712329,300
LKB01123I017,2023-09-01 00:00:00,2.44383561643836,1050
LKB00323K150,2023-11-15 00:00:00,2.64931506849315,850
LKB01024A014,2024-01-01 00:00:00,2.77808219178082,150
LKB00524C150,2024-03-15 00:00:00,2.98082191780822,450
LKB00524I157,2024-09-15 00:00:00,3.48493150684932,1200
LKB01024L011,2024-12-01 00:00:00,3.6958904109589,50
LKB01529E014,2029-05-01 00:00:00,8.11232876712329,650
Total,,,5300

