<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes on 05.08.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521L157,2021-12-15 00:00:00,0.361643835616438,500
LKB00322C159,2022-03-15 00:00:00,0.608219178082192,500
LKB00922J011,2022-10-01 00:00:00,1.15616438356164,500
LKB00322L150,2022-12-15 00:00:00,1.36164383561644,100
LKB00323A151,2023-01-15 00:00:00,1.44657534246575,500
LKB00523G153,2023-07-15 00:00:00,1.94246575342466,300
LKB01123I017,2023-09-01 00:00:00,2.07397260273973,400
LKB00323K150,2023-11-15 00:00:00,2.27945205479452,450
LKB01530E152,2030-05-15 00:00:00,8.78082191780822,6.365
Total,,,3256.365

