<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes on 05.01.2022,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00821H019,2021-08-01 00:00:00,0.56986301369863,500
LKB00322K152,2022-11-15 00:00:00,1.86027397260274,200
LKB00322L150,2022-12-15 00:00:00,1.94246575342466,950
LKB00323A151,2023-01-15 00:00:00,2.02739726027397,100
LKB01123I017,2023-09-01 00:00:00,2.65479452054795,250
LKB02023J016,2023-10-01 00:00:00,2.73698630136986,1355
LKB00524F153,2024-06-15 00:00:00,3.44383561643836,50
LKB00524I157,2024-09-15 00:00:00,3.6958904109589,100
Total,,,3505

