<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 11.01.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00921E014,2021-05-01 00:00:00,0.301369863013699,1450
LKB00521L157,2021-12-15 00:00:00,0.926027397260274,250
LKB00922J011,2022-10-01 00:00:00,1.72054794520548,900
LKB00322L150,2022-12-15 00:00:00,1.92602739726027,450
LKB00323A151,2023-01-15 00:00:00,2.01095890410959,150
LKB02023J016,2023-10-01 00:00:00,2.72054794520548,850
LKB00523L153,2023-12-15 00:00:00,2.92602739726027,200
LKB00524I157,2024-09-15 00:00:00,3.67945205479452,450
LKB00827H156,2027-08-15 00:00:00,6.59452054794521,250
Total,,,4950

