<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 14.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00921E014,2021-05-01 00:00:00,1.21095890410959,250
LKB00721J157,2021-10-15 00:00:00,1.66849315068493,500
LKB00523C152,2023-03-15 00:00:00,3.08219178082192,50
LKB00524F153,2024-06-15 00:00:00,4.33698630136986,100
LKB00524I157,2024-09-15 00:00:00,4.58904109589041,900
LKB00827J152,2027-10-15 00:00:00,7.67123287671233,550
LKB01529A012,2029-01-01 00:00:00,8.88767123287671,200
LKB01530E152,2030-05-15 00:00:00,10.2547945205479,250
LKB01534I155,2034-09-15 00:00:00,14.5945205479452,100
LKB02035C155,2035-03-15 00:00:00,15.0904109589041,100
Total,,,3000

