<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 09.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00921E014,2021-05-01 00:00:00,1.06027397260274,1660
LKB00922J011,2022-10-01 00:00:00,2.47945205479452,400
LKB00523G153,2023-07-15 00:00:00,3.26575342465753,1030
LKB01123I017,2023-09-01 00:00:00,3.3972602739726,34.6
LKB01023I019,2023-09-01 00:00:00,3.3972602739726,360
LKB00523L153,2023-12-15 00:00:00,3.68493150684932,550
LKB00524C150,2024-03-15 00:00:00,3.93424657534247,3354
LKB00824H013,2024-08-01 00:00:00,4.31506849315068,300
LKB00524I157,2024-09-15 00:00:00,4.43835616438356,300
LKB00827J152,2027-10-15 00:00:00,7.52054794520548,50
Total,,,8038.6

