<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 17.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00821H019,2021-08-01 00:00:00,1.29041095890411,200
LKB00322C159,2022-03-15 00:00:00,1.90958904109589,100
LKB00922G017,2022-07-01 00:00:00,2.20547945205479,150
LKB00922J011,2022-10-01 00:00:00,2.45753424657534,50
LKB00523C152,2023-03-15 00:00:00,2.90958904109589,16
LKB00523G153,2023-07-15 00:00:00,3.24383561643836,22
LKB01123I017,2023-09-01 00:00:00,3.37534246575342,900
LKB00524C150,2024-03-15 00:00:00,3.91232876712329,100
LKB00524F153,2024-06-15 00:00:00,4.16438356164384,450
LKB00524I157,2024-09-15 00:00:00,4.41643835616438,100
Total,,,2088

