<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 06.02.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521L157,2021-12-15 00:00:00,1.85753424657534,128
LKB00523G153,2023-07-15 00:00:00,3.43835616438356,1250
LKB00523L153,2023-12-15 00:00:00,3.85753424657534,50
LKB00524C150,2024-03-15 00:00:00,4.10684931506849,200
LKB00524F153,2024-06-15 00:00:00,4.35890410958904,500
LKB00524I157,2024-09-15 00:00:00,4.61095890410959,700
LKB00827J152,2027-10-15 00:00:00,7.69315068493151,100
LKB01533A154,2033-01-15 00:00:00,12.9506849315068,500
Total,,,3428

