<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 05.02.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322K152,2022-11-15 00:00:00,1.77534246575342,350
LKB00322L150,2022-12-15 00:00:00,1.85753424657534,800
LKB00323A151,2023-01-15 00:00:00,1.94246575342466,1750
LKB01023I019,2023-09-01 00:00:00,2.56986301369863,18.63
LKB00523L153,2023-12-15 00:00:00,2.85753424657534,650
LKB01024L011,2024-12-01 00:00:00,3.82191780821918,1050
LKB00827H156,2027-08-15 00:00:00,6.52602739726027,800
LKB00827J152,2027-10-15 00:00:00,6.69315068493151,400
Total,,,5818.63

