<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 04.12.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521C016,2021-03-01 00:00:00,0.238356164383562,750
LKB00821H019,2021-08-01 00:00:00,0.657534246575342,300
LKB00322L150,2022-12-15 00:00:00,2.03013698630137,250
LKB00323A151,2023-01-15 00:00:00,2.11506849315069,300
LKB01123I017,2023-09-01 00:00:00,2.74246575342466,250
LKB01024L011,2024-12-01 00:00:00,3.99452054794521,1000
LKB00827J152,2027-10-15 00:00:00,6.86575342465753,500
LKB01628G019,2028-07-01 00:00:00,7.57808219178082,500
Total,,,3850

