<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 15.02.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322C159,2022-03-15 00:00:00,1.07671232876712,500
LKB00922J011,2022-10-01 00:00:00,1.62465753424658,400
LKB00322L150,2022-12-15 00:00:00,1.83013698630137,500
LKB01024A014,2024-01-01 00:00:00,2.87671232876712,200
LKB00824H013,2024-08-01 00:00:00,3.46027397260274,500
LKB01024L011,2024-12-01 00:00:00,3.79452054794521,300
LKB00827H156,2027-08-15 00:00:00,6.4986301369863,150
LKB00827J152,2027-10-15 00:00:00,6.66575342465753,150
Total,,,2700

