<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 05.03.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00721J157,2021-10-15 00:00:00,1.61369863013699,100
LKB00521L157,2021-12-15 00:00:00,1.78082191780822,50
LKB00322C159,2022-03-15 00:00:00,2.02739726027397,50
LKB00523C152,2023-03-15 00:00:00,3.02739726027397,300
LKB00623E156,2023-05-15 00:00:00,3.19452054794521,500
LKB01023I019,2023-09-01 00:00:00,3.49315068493151,100
LKB01024A014,2024-01-01 00:00:00,3.82739726027397,390
LKB00524F153,2024-06-15 00:00:00,4.28219178082192,900
LKB00824H013,2024-08-01 00:00:00,4.41095890410959,2259
Total,,,4649

