<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 02.03.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB01020H017,2020-08-01 00:00:00,0.416438356164384,3.005787
LKB00921E014,2021-05-01 00:00:00,1.16438356164384,250
LKB00523C152,2023-03-15 00:00:00,3.03561643835616,1265
LKB00623E156,2023-05-15 00:00:00,3.2027397260274,1050
LKB00523G153,2023-07-15 00:00:00,3.36986301369863,250
LKB01123I017,2023-09-01 00:00:00,3.5013698630137,300
LKB01023I019,2023-09-01 00:00:00,3.5013698630137,50
LKB01024A014,2024-01-01 00:00:00,3.83561643835616,556.33
LKB00524C150,2024-03-15 00:00:00,4.03835616438356,200
LKB00524F153,2024-06-15 00:00:00,4.29041095890411,200
LKB00824H013,2024-08-01 00:00:00,4.41917808219178,1840
LKB00524I157,2024-09-15 00:00:00,4.54246575342466,603.398
LKB01027F156,2027-06-15 00:00:00,7.29041095890411,500
LKB00827J152,2027-10-15 00:00:00,7.62465753424658,100
LKB01528I017,2028-09-01 00:00:00,8.50684931506849,500
Total,,,7667.733787

