<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 31.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521C016,2021-03-01 00:00:00,1.08219178082192,600
LKB00921E014,2021-05-01 00:00:00,1.24931506849315,250
LKB00821H019,2021-08-01 00:00:00,1.5013698630137,150
LKB00523G153,2023-07-15 00:00:00,3.45479452054795,300
LKB01023I019,2023-09-01 00:00:00,3.58630136986301,250
LKB00523L153,2023-12-15 00:00:00,3.87397260273973,150
LKB00524C150,2024-03-15 00:00:00,4.12328767123288,200
LKB00524F153,2024-06-15 00:00:00,4.37534246575343,1600
LKB00524I157,2024-09-15 00:00:00,4.62739726027397,800
Total,,,4300

