<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 11.03.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00523C152,2023-03-15 00:00:00,3.01095890410959,600
LKB00623E156,2023-05-15 00:00:00,3.17808219178082,200
LKB01123I017,2023-09-01 00:00:00,3.47671232876712,100
LKB01024A014,2024-01-01 00:00:00,3.81095890410959,900
LKB00524F153,2024-06-15 00:00:00,4.26575342465753,600
LKB00524I157,2024-09-15 00:00:00,4.51780821917808,1300
LKB00827J152,2027-10-15 00:00:00,7.6,250
LKB01528I017,2028-09-01 00:00:00,8.48219178082192,50
Total,,,4000

