<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 26.03.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00322K152,2022-11-15 00:00:00,1.64109589041096,250
LKB00322L150,2022-12-15 00:00:00,1.72328767123288,900
LKB00623E156,2023-05-15 00:00:00,2.13698630136986,1000
LKB01024A014,2024-01-01 00:00:00,2.76986301369863,100
LKB00524I157,2024-09-15 00:00:00,3.47671232876712,600
LKB01024L011,2024-12-01 00:00:00,3.68767123287671,200
LKB01529E014,2029-05-01 00:00:00,8.1041095890411,250
LKB01530E152,2030-05-15 00:00:00,9.14246575342466,550
LKB01534I155,2034-09-15 00:00:00,13.4821917808219,400
Total,,,4250

