<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 25.03.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00922J011,2022-10-01 00:00:00,1.52054794520548,100
LKB00322K152,2022-11-15 00:00:00,1.64383561643836,100
LKB00322L150,2022-12-15 00:00:00,1.72602739726027,1100
LKB00323A151,2023-01-15 00:00:00,1.81095890410959,100
LKB01123I017,2023-09-01 00:00:00,2.43835616438356,100
LKB01024A014,2024-01-01 00:00:00,2.77260273972603,200
LKB00524I157,2024-09-15 00:00:00,3.47945205479452,350
LKB01024L011,2024-12-01 00:00:00,3.69041095890411,50
LKB01530E152,2030-05-15 00:00:00,9.14520547945206,1000
Total,,,3100

