<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 17.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00521L157,2021-12-15 00:00:00,1.912328767,158
LKB00523G153,2023-07-15 00:00:00,3.493150685,350
LKB01123I017,2023-09-01 00:00:00,3.624657534,600
LKB01023I019,2023-09-01 00:00:00,3.624657534,450
LKB00524F153,2024-06-15 00:00:00,4.41369863,800
LKB00824H013,2024-08-01 00:00:00,4.542465753,100
LKB00524I157,2024-09-15 00:00:00,4.665753425,1100
LKB00827A151,2027-01-15 00:00:00,7,50
LKB01027F156,2027-06-15 00:00:00,7.41369863,900
LKB00827J152,2027-10-15 00:00:00,7.747945205,700
LKB01529E014,2029-05-01 00:00:00,9.293150685,400
LKB01530E152,2030-05-15 00:00:00,10.33150685,350
LKB01534I155,2034-09-15 00:00:00,14.67123288,550
Total,,,6508

