<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 05.03.2021,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00922J011,2022-10-01 00:00:00,1.57534246575342,250
LKB00322L150,2022-12-15 00:00:00,1.78082191780822,2150
LKB00323A151,2023-01-15 00:00:00,1.86575342465753,100
LKB00623E156,2023-05-15 00:00:00,2.19452054794521,1189.3
LKB00523G153,2023-07-15 00:00:00,2.36164383561644,50
LKB00323K150,2023-11-15 00:00:00,2.6986301369863,750
LKB00524I157,2024-09-15 00:00:00,3.53424657534247,1200
LKB00827H156,2027-08-15 00:00:00,6.44931506849315,3500
LKB01528I017,2028-09-01 00:00:00,7.4986301369863,90
Total,,,9279.3

