<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 01.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00921E014,2021-05-01 00:00:00,1.331506849,350
LKB00821H019,2021-08-01 00:00:00,1.583561644,700
LKB00521L157,2021-12-15 00:00:00,1.956164384,264
LKB00523G153,2023-07-15 00:00:00,3.536986301,250
LKB00524C150,2024-03-15 00:00:00,4.205479452,100
LKB00524F153,2024-06-15 00:00:00,4.457534247,400
LKB00524I157,2024-09-15 00:00:00,4.709589041,800
LKB01534I155,2034-09-15 00:00:00,14.71506849,550
Total,,,3414

