<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 07.07.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00922G017,2022-07-01 00:00:00,1.983561644,400
LKB00322L150,2022-12-15 00:00:00,2.44109589,900
LKB00323A151,2023-01-15 00:00:00,2.526027397,500
LKB00523G153,2023-07-15 00:00:00,3.021917808,1000
LKB01123I017,2023-09-01 00:00:00,3.153424658,500
LKB00524I157,2024-09-15 00:00:00,4.194520548,2000
LKB00827J152,2027-10-15 00:00:00,7.276712329,400
LKB01528E016,2028-05-01 00:00:00,7.821917808,50
Total,,,5750

