<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 08.04.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00921E014,2021-05-01 00:00:00,1.06301369863014,250
LKB00721J157,2021-10-15 00:00:00,1.52054794520548,110
LKB00523G153,2023-07-15 00:00:00,3.26849315068493,2400
LKB01123I017,2023-09-01 00:00:00,3.4,300
LKB01023I019,2023-09-01 00:00:00,3.4,350
LKB00523L153,2023-12-15 00:00:00,3.68767123287671,1500
LKB00524C150,2024-03-15 00:00:00,3.93698630136986,550
LKB00524F153,2024-06-15 00:00:00,4.18904109589041,250
LKB00524I157,2024-09-15 00:00:00,4.44109589041096,100
Total,,,5810

