<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 25.09.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00521C016,2021-03-01 00:00:00,0.43013698630137,700
LKB00821H019,2021-08-01 00:00:00,0.849315068493151,50
LKB00322L150,2022-12-15 00:00:00,2.22191780821918,300
LKB00323A151,2023-01-15 00:00:00,2.30684931506849,750
LKB01123I017,2023-09-01 00:00:00,2.93424657534247,600.0155
LKB00524I157,2024-09-15 00:00:00,3.97534246575342,50
LKB00827H156,2027-08-15 00:00:00,6.89041095890411,200
LKB00827J152,2027-10-15 00:00:00,7.05753424657534,100
Total,,,2750.0155

