<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 07.12.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00921E014,2021-05-01 00:00:00,0.397260273972603,296
LKB00821H019,2021-08-01 00:00:00,0.649315068493151,4027
LKB00721J157,2021-10-15 00:00:00,0.854794520547945,300
LKB00521L157,2021-12-15 00:00:00,1.02191780821918,250
LKB01022A018,2022-01-01 00:00:00,1.06849315068493,250
LKB00322K152,2022-11-15 00:00:00,1.93972602739726,100
LKB00323A151,2023-01-15 00:00:00,2.10684931506849,550
LKB00523C152,2023-03-15 00:00:00,2.26849315068493,1000
LKB01027F156,2027-06-15 00:00:00,6.52328767123288,100
LKB00827J152,2027-10-15 00:00:00,6.85753424657534,500
Total,,,7373

