<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 06.01.2020,,,

ISIN,Maturity Date,Remaining years,SumOfAmount(Mn)
LKB00523G153,2023-07-15 00:00:00,3.523287671,17
LKB01024A014,2024-01-01 00:00:00,3.989041096,45.02
LKB00524F153,2024-06-15 00:00:00,4.443835616,500
LKB00824H013,2024-08-01 00:00:00,4.57260274,400
LKB00524I157,2024-09-15 00:00:00,4.695890411,400
LKB01027F156,2027-06-15 00:00:00,7.443835616,750
LKB00827J152,2027-10-15 00:00:00,7.778082192,1050
Total,,,3162.02

