<new sheet>
sheet_name: Outright MO EVENING REPORT
Outright Treasury bond transaction volumes as at 25.11.2020,,,

ISIN,Maturity Date,Remaining years,Sum Of Amount (Mn)
LKB00821H019,2021-08-01 00:00:00,0.682191780821918,500
LKB00721J157,2021-10-15 00:00:00,0.887671232876712,2160
LKB00521L157,2021-12-15 00:00:00,1.05479452054795,650
LKB00922G017,2022-07-01 00:00:00,1.5972602739726,200
LKB00322L150,2022-12-15 00:00:00,2.05479452054795,300
LKB01123I017,2023-09-01 00:00:00,2.76712328767123,100
LKB00524I157,2024-09-15 00:00:00,3.80821917808219,1100
LKB01024L011,2024-12-01 00:00:00,4.01917808219178,500
Total,,,5510

