<new sheet>
sheet_name: GDP (Constant 2015)
,,,,,,,,,,,,,,,,,,,,,Rs. Million
12. Animal Production,22575.844371572974,23309.290595011258,22093.629844994386,22305.235059016708,90284.00187059536,21182.832442773535,20064.1773619054,22570.086206155407,23089.454882485432,86906.55289331982,22344.75735028504,23903.119296228062,23914.90493222337,23876.36832856631,94039.14790730279,23121.60805396582,20875.432701922953,19443.14726845968,18433.679829058332,81873.8698534068,20379.17191197552
13. Plant propagation ,193.93300000000002,196.711,173.877,207.50400000000002,772.0255814996749,102.25099999999999,215.19399999999996,164.972,139.41500000000002,621.8339999999998,124.77,178.48000000000002,245.94099999999997,264.23800000000006,813.4300000000001,169.1,196.164,322.913,193.05700000000002,881.2330000000002,180.348
14. Agricultural supporting activities,7633.721,4085.580999999999,4986.804,6262.628999999999,22968.73451609307,7881.511,4795.313,6355.174,7070.460999999999,26102.46,8620.636999999999,5262.206999999999,7151.499,8775.77,29810.112,9102.556,5685.935,10469.929,8943.987000000001,34202.407999999996,10043.469
15. Forestry and Logging,10063.639030426366,9166.740338188572,13036.965135226,10865.735431755696,43133.07893559664,9924.820193336456,9263.424081797588,12679.925703650655,10719.277822034213,42587.44980081892,11299.614016815809,9461.572440657706,11049.025154541172,12630.047020400816,44440.258632415505,13382.25981921125,11083.135311053073,14211.674371605131,12933.863695823646,51610.93319769309,9967.98293164572
16. Marine fishing and Marine Aquaculture,38245.89063939212,34308.7560336441,33931.13202431137,35213.79725456615,141699.57622641374,35043.70085830164,20780.641794492465,29718.052453270102,25764.593685974447,111306.98779203868,29732.08936648931,26182.583024025058,27363.445328412912,29535.404889037738,112813.52360796502,29580.685225715424,22166.420416987607,18187.785273458943,25515.982989406184,95450.87590556816,26852.215168567986
17. Fresh water fishing and Fresh water Aquaculture,4934.79029571293,4922.914802920326,6076.590877976308,5509.346355753809,21443.64133236337,4222.862143158695,5466.753874444155,7331.462688089918,7145.1521444580985,24166.231850150867,5364.561635198874,5881.929922031879,6950.020084970557,6545.295116343391,24741.805758544702,4867.13585626839,6539.443543032151,8779.067332254774,7496.0932124677765,27681.73994402309,5689.703043484789
Industries,1078402.075181681,890397.5036475579,1065394.4224345125,899534.0162894651,3933728.0185532155,1030038.1307257263,720904.8201823756,1058130.8674992518,915492.2314580265,3724566.03786538,1097761.8715783677,883910.6728609893,1039388.5102106809,916818.7035744023,3937879.753224441,1057366.1208765362,794226.8518183007,817545.1562625406,640626.123752808,3309764.253710185,809637.7246484827
18. Mining and quarrying,86661.42921107024,75209.71967861868,85925.90040909225,70860.87168286896,318657.9209816501,76578.94107470963,55510.50791008123,78171.45541210487,73818.0735247221,284078.97792161786,77302.2077360485,66386.4819427468,73589.24427452318,70691.42519948156,287969.3601528001,75806.69269318326,48559.36935700069,39677.587389152584,34617.09269623567,198660.7421355722,41162.1766250323
"19. Manufacture of food, beverages & Tobacco products",264300.0119389758,193549.774844008,253323.82502709707,218197.07870014565,929370.6905102262,276835.4092647432,195757.00902068111,279025.48197895236,229245.31435197915,980863.214616356,297177.51804824034,207372.79983981312,278443.2299832202,231156.16244451999,1014149.7103157938,270674.1048151777,184375.4339359526,222531.48679583415,192134.0917380281,869715.1172849925,243069.73749220662
"20. Manufacture of textiles, wearing apparel, leather and other related products",163375.21131644,90171.59980128283,151054.80785623082,64426.04794961406,469027.6669235679,144746.03918838216,52473.68234343294,154660.70162198972,64431.113643477445,416311.53679728205,159110.22478189596,85314.99058034287,162331.71324728607,67154.33643573182,473911.2650452568,160331.02217855898,109134.71850665996,179545.6604356248,63388.06742028758,512399.46854113135,146745.3709622622
"21. Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",11690.14969692852,3816.452500758578,7788.295132635383,13026.266628281504,36321.16395860398,11590.00652827278,2653.2089803930035,7156.218466335982,11431.421226171842,32830.855201173596,13080.623735209541,3745.2484801369583,7222.45971721674,11531.153449468082,35579.48538203131,12496.348098795464,2239.74333501012,6577.974036667958,8443.67441935936,29757.73988983289,8521.265351256621
"22. Manufacture of paper & paper products, printing and reproduction of media products",18980.33436212358,10283.295682987326,9537.595388951522,15262.753910264903,54063.97934432735,17196.658048824705,8825.99099385597,10299.155958800166,15573.9593978734,51895.76439935426,19528.370965569356,11995.771479809406,10077.683753987796,15209.624248411124,56811.45044777769,17779.447080958318,12439.328787573331,10048.988082944488,11800.976737566445,52068.74068904258,17532.386913968665
