<new sheet>
sheet_name: GDP Current
,,,,,,,,,,,,,,,,,,,,,Rs. Million
29. Manufacture of furniture ,21731.76413939955,19174.95277724043,16028.586243900729,17287.476236040155,74222.77939658088,23327.159941710433,13788.973301049675,17336.83983170736,20734.762686236765,75187.73576070422,24306.88175555529,21207.52750518449,14568.98811542831,21515.317131889256,81598.71450805735,23776.62602707676,37038.57487867543,17927.07079086842,14435.401725109437,93177.67342173,30487.099020335772
30. Other manufacturing and Repair and installation of machinery and equipment,25195.92862100902,23172.813525810438,28560.594387215275,23234.15934251537,100163.49587655015,28394.511144582757,20675.83179934923,30618.40136712199,27320.022293578913,107008.76660463293,37229.3453635241,33311.53518317864,34387.87627077011,30998.34921782404,135927.10603529686,43409.350498293585,54224.27040303458,64340.65150713451,45725.91217332519,207700.18458178785,63197.70450521834
"31. Electricity, gas, steam and air conditioning supply",17797.801002422602,26500.170672815388,28861.04673423407,26262.288950584043,99421.30736005612,28292.719297170384,35749.79032048554,36110.76115597859,27455.37260463387,127608.64437826833,36746.400902295456,33692.51613414186,34251.35679570028,38581.91088370836,143272.18371584598,28113.16393401703,33928.86592558304,46877.142406079794,40853.24611365292,149772.41637933278,50159.82782801079
"32. Water collection, treatment and supply",3922.7752580374267,4100.292194557856,3803.129173056783,3991.3072880754435,15817.504913727507,3810.7585511610705,3870.7494096649925,3889.999235823686,3900.4240153471656,15471.92921199691,3387.3323302384197,3445.7180426087407,3599.91659090963,3491.7670799650605,13924.734043721855,4917.772485385452,4885.353682837598,4911.415469300843,4681.925300889026,19396.466938412923,9354.555266687816
"33. Sewerage, Waste collection, treatment and disposal activities; materials recovery",7224.748574641703,7282.671382700247,7346.077369035931,7224.942899182799,29078.44022556068,7085.517041034353,6851.505854654835,7604.471618205453,6344.760248963492,27886.25476285813,6624.044382255539,6609.227597791905,7286.719933088276,6379.64698992973,26899.638903065446,6932.420427640585,6969.574267099156,7806.903208474856,12641.428453855915,34350.327357070506,7008.741999516237
34. Construction,412140.1743851491,374254.43998726684,422318.7026274265,353564.2142487255,1562277.5312485683,360520.10495710745,278446.4349720487,377579.0811029459,364244.9832738659,1380790.6053059679,386201.24695768923,354983.3079769444,397658.54037418234,433368.36026326264,1572211.4575720783,520815.9629015578,527238.9404182759,481705.67570866714,392917.4699393182,1922678.0489678192,417690.3090394719
Services,2222822.2753797597,2100606.1889041904,2269581.862631391,2276699.61778605,8869709.980339965,2405488.840248687,1866975.481832435,2380888.853104193,2395248.9336636537,9048602.100492116,2579416.2706701066,2114414.638843879,2400672.512328194,2697494.2737654694,9791997.487607649,3134023.0180883794,2823584.529248158,3569833.567361015,4021612.7606304777,13549053.940328034,4266899.545176941
35. Wholesale and retail trade,514997.32400625024,435129.2661990027,503815.3212848961,487452.41659139545,1941394.3270815446,572453.7000775582,448627.11218511336,555996.7021496433,504099.77031587437,2081177.2847281895,616093.2641733396,477642.8489620935,586937.787526562,573958.2876453,2254632.188307295,731661.4336877186,706302.1182184601,964957.528423904,936075.5662972736,3338996.647627357,1089620.9734257518
"36. Transportation of goods and passengers (Land, Water and Air) & Warehousing activities",404034.2152837764,405205.7217085681,437789.1583429409,415047.73865573155,1662076.835991017,412093.70978977357,297444.0435888421,435309.1679027538,406525.4226878366,1551372.344969206,447468.4623844807,365038.22873914725,364343.5852912845,446706.02616152493,1623556.303576437,541085.0162481336,567823.6992901074,637595.6751731461,802178.4925707439,2548682.886282131,904938.565884108
37. Postal and courier activities,4517.190200651832,4521.423955161156,4702.542828241592,4816.409156691859,18557.565312470037,4919.185041446704,4638.1613589201725,4908.972096062572,5280.076000992567,19746.393497422014,5247.74305300292,4800.894307700294,4691.145048333955,6645.714997933277,21385.498406970444,5355.763437338085,5601.962325687421,5282.837693010781,7105.515814193257,23346.08027022954,5774.312929093792
"38. Accommodation, Food and beverage service activities",68472.3656316506,41775.254371174895,76661.70289005933,59818.57855946329,246727.90179913733,66367.23524073843,15607.39934878258,41539.92849284585,26163.291342469223,149677.8534248361,53939.516787332584,25232.273821817933,36453.413186368074,48935.28665193015,164560.4894474487,90862.26419715244,56638.03555656053,100425.45894933087,103032.0203547825,350957.77905782626,149158.1774734918
39. Programming and broadcasting activities and audio video productions ,11443.789786943169,11064.568465670185,8856.705148492129,7607.18267946309,38972.247080568566,11114.778496360464,10645.651833150714,9216.69149345411,7499.781270908854,38476.90309387414,11794.502326083795,11227.754657123658,9372.146381976085,8022.336024282049,40416.7383894656,13662.268307886568,10125.557311133165,10430.048700806441,7063.561281754227,41281.49460158039,12474.517647027289
40. Telecommunication ,29011.89807187804,26050.683023990663,23041.389651221045,19746.36878267477,97850.34152976451,32939.125043408356,28106.338733185345,23589.42644251282,23651.355177873927,108286.24739698046,38622.06873315235,32776.344403980605,28361.05693958696,25073.125747939695,124832.59582465963,22823.368401288142,19996.469972901825,28423.690082523448,25279.486751642457,96523.01520835585,28858.32926176891
"41. Computer programming consultancy and related activities, Information service activities",54369.75164002931,52991.15909176307,59083.34529158957,45924.70565280822,212368.96077628864,60916.47334482272,58940.945680507255,62123.03056684243,57237.85035962265,239218.30078329635,72434.20505287468,77690.5149008747,78161.73745692922,81591.06603579376,309877.5234464723,91265.81367290915,99920.11315011892,117745.63410871939,118712.6690494245,427644.22898117197,130767.91001436341
"42. Financial Service activities, except insurance and pension funding and auxiliary financial services",140157.0646329709,139244.55787287286,157122.50934958865,162606.2059996589,599130.3668550914,167535.20888584293,152467.63296314367,183842.5712739078,218238.8020354597,722084.215158354,212106.10953834085,189830.30465670465,194435.07568570809,284099.51834302326,880471.0062237768,362213.0085988336,325365.6697789546,318198.092245752,491450.35791774944,1497227.1295412895,411156.34938435134
"43. Insurance, reinsurance and pension funding except compulsory social security",32394.323590910783,43503.7864054412,22064.271236922985,43418.8672878898,141381.24952116475,34203.10114894317,39869.85057486364,38231.61778065162,55722.54592701451,168027.11343147294,47047.373484543285,51498.555029267285,53400.43327847421,59699.897161629735,211646.2589539145,41533.097921436114,37197.81146976372,32695.458033036775,29059.286130266744,140485.65455450336,30954.09525076107
"44. Real estate activities, Including Ownership of dwelling",181920.37560839107,182905.6307190226,185134.8899311656,187987.49485841597,737948.3911169951,194855.18398377628,155319.87395744634,193995.54323330295,197579.07719391098,741749.6773684365,207735.93022639162,167128.44862373968,207966.72877941508,218004.12742104183,800835.2340505882,244837.5746918271,206861.45231357357,264510.51736484986,277213.76394924003,993423.3093194903,284135.19507097814
45. Professional services,77513.06818206579,81689.23367182608,94656.2476159197,111396.28652166338,365254.8335926455,78593.19282185013,71054.01504726877,93769.06929513492,109044.0277576875,352460.2993269807,85443.81143004599,77174.36936980355,99641.1224122297,120573.40001096022,382832.50222303934,90233.39293671922,84845.35556362098,123336.84118729683,132709.34203217356,431124.9317198107,110625.07973566886
46. Public administration and defense; compulsory social security,200934.7142744675,219677.26115376237,201589.4278883113,213708.33157862994,835909.7363447815,228563.78810121154,202266.9017317353,234977.61872373882,237539.3576156008,903347.6655383685,222120.2331166616,241353.69361159368,224862.4123253236,259713.94712471784,948050.2851782966,303248.9800742274,196822.98452707726,256292.45881625367,268447.240728531,1024811.6631460893,259910.14113046302
47. Education,76917.47063193138,94221.66809235203,95012.16327387842,92582.56319544908,358733.86641793704,89252.64989664569,89383.55642110543,93022.8351077357,109683.411337994,381342.45400614827,98064.91877544581,93671.2383169145,95866.99383014572,102572.31464295369,390175.46656545973,103983.48903999632,116425.45797109831,123093.02481299035,111692.54518239359,455194.51800647855,114137.94620356523
"48. Human health activities and Residential care activities, social work activities",80658.61037796376,89054.18745000454,92395.14928097688,73691.81815461285,335799.7660084116,92207.68813411758,102990.5543461589,95879.1150852315,90195.7884570458,381273.145820411,102134.16218904864,107707.09611469843,116198.98005834673,105973.1314424204,432013.36780451436,115496.44820699554,141796.61041245688,109468.26808565052,100953.59042059928,467714.9161257022,127909.00447506133
49. Other personal service activities,345480.11345987866,273571.7867235781,307657.0386171865,350894.6501115017,1277603.5909121449,359473.820242192,189613.4440622112,314486.56346037495,346788.3761833621,1210362.20194814,359163.96939936175,191642.07332841982,299979.89412751014,355926.0943540184,1206712.0292093097,375761.09866591805,247861.2313866435,477378.0336837439,610639.3221497099,1711639.6858860154,606478.9472904864
Equals Gross Value Added (GVA) at Basic Price,3785567.8340500323,3419881.077066021,3800820.9704141463,3662554.162183058,14668824.090275643,3916506.121189047,2998951.5770342,3986017.4159567864,3855999.6188267265,14757475.149132224,4342382.825223422,3648894.767990919,4187904.336918939,4443331.309480826,16622512.947614107,5264681.747453775,5166369.505293234,6318343.135246033,6221357.290061868,22970751.747054912,6957750.452828903
Taxes less subsidies on products ,293680.85826701997,307773.51146689,310836.88435203,329860.28319384996,1242151.53727979,249160.75966525543,162070.00483297202,241529.30894623554,261300.04400239393,914060.117446857,249947.29411626706,238584.93152294832,207975.42539754568,281169.95408810495,977677.6051248659,278624.29521039437,275992.74109354004,268258.5601036426,354098.8167541099,1176974.4131616869,370823.36540247
Equals Gross Domestic Product (GDP) at  Market Price,4079248.6923170523,3727654.588532911,4111657.854766176,3992414.445376908,15910975.627555434,4165666.8808543026,3161021.581867172,4227546.724903022,4117299.66282912,15671535.26657908,4592330.119339689,3887479.699513867,4395879.762316484,4724501.263568931,17600190.552738976,5543306.042664169,5442362.246386774,6586601.695349676,6575456.106815978,24147726.1602166,7328573.818231372
(a) Based on the GDP estimates (base year 2015),,,,,,,,,,,,,,,,,,,,,Source: Department of Census and Statistics
(b) Revised,,,,,,,,,,,,,,,,,,,,,
(c) Provisional,,,,,,,,,,,,,,,,,,,,,

