<new sheet>
sheet_name: Merchandise Trade
,A SUMMARY OF EXTERNAL TRADE DATA,,,,,,,,,,,,
,,,,,,,,,,,,(values in US$ Mn. ),
,,Exports,,,,Imports ,,,,Trade Balance ,,,

,,Month,Cumulative ,% Month,% Cumul.,Month,Cumulative ,% Month,% Cumul.,Month,Cumulative ,% Month,% Cumul.

,Jan                       2002,343.1,343.1,,,473.55,473.55,,,-130.45,-130.45,,
,February,370.7,713.8,,,407.56,881.11,,,-36.860000000000014,-167.31000000000006,,
,March,366.4,1080.1999999999998,,,476.49,1357.6,,,-110.09000000000003,-277.4000000000001,,
,April ,251.3,1331.4999999999998,,,476.9,1834.5,,,-225.59999999999997,-503.0000000000002,,
,May ,344.8,1676.2999999999997,,,574.93,2409.43,,,-230.12999999999994,-733.1300000000001,,
,June ,335.6,2011.8999999999996,,,465.4,2874.83,,,-129.79999999999995,-862.9300000000003,,
,July ,429.45,2441.3499999999995,,,543.1,3417.93,,,-113.65000000000003,-976.5800000000004,,
,August ,567.8,3009.1499999999996,,,457.5,3875.43,,,110.29999999999995,-866.2800000000002,,
,September,408.5,3417.6499999999996,,,490.1,4365.53,,,-81.60000000000002,-947.8800000000001,,
,October ,407.6,3825.2499999999995,,,578.1,4943.63,,,-170.5,-1118.3800000000006,,
,November ,378.2,4203.45,,,533.8,5477.43,,,-155.59999999999997,-1273.9800000000005,,
,December,495.6,4699.05,,,627.4,6104.83,,,-131.79999999999995,-1405.7799999999997,,
,Jan                       2003,383.8,383.8,11.862430778198775,11.862430778198775,531.3,531.3,12.195121951219502,12.195121951219502,-147.49999999999994,-147.49999999999994,13.070141816788006,13.070141816788006
,February,388.2,772,4.72079848934448,8.153544410198933,507.1,1038.4,24.423397781921686,17.851346596906193,-118.90000000000003,-266.4000000000001,222.57189365165488,59.22538999462077
,March,425.5,1197.5,16.129912663755476,10.859100166635827,495.2,1533.6000000000001,3.926630149635879,12.964054213317633,-69.69999999999999,-336.10000000000014,-36.688164229266995,21.16077865897621
,April ,304.8,1502.3,21.289295662554707,12.827638002253106,534.6,2068.2000000000003,12.09897253092893,12.739165985282108,-229.8,-565.9000000000003,1.8617021276595924,12.504970178926445
,May ,458.9,1961.1999999999998,33.09164733178653,16.995764481298114,509.2,2577.4,-11.432696154314437,6.971358371067038,-50.30000000000001,-616.2000000000003,-78.14278885847129,-15.949422339830566
,June ,416.6,2377.7999999999997,24.135876042908233,18.18678860778369,500.8,3078.2000000000003,7.606360120326605,7.074157428439265,-84.19999999999999,-700.4000000000005,-35.130970724191044,-18.834667933667816
,July,493.24,2871.04,14.853882873442782,17.6005079157024,616.3,3694.5,13.478180813846418,8.091739737209359,-123.05999999999995,-823.46,8.279806423229141,-15.679207028610076
,August ,470.04,3341.08,-17.217330045790757,11.030689729657883,522.4,4216.9,14.185792349726768,8.811151278696805,-52.35999999999996,-875.8199999999997,-147.47053490480505,1.1012605624047156
,September,460.71,3801.79,12.780905752753968,11.239887056895824,524.9,4741.799999999999,7.100591715976323,8.619113830394,-64.19,-940.0099999999993,-21.335784313725515,-0.8302738743301674
,October ,427.94,4229.73,4.9901864573110855,10.573949415070905,628,5369.799999999999,8.631724615118497,8.62058851491716,-200.06,-1140.0699999999997,17.33724340175953,1.9394123643125871
,November ,408.54,4638.2699999999995,8.02221047065046,10.3443599900082,546.7,5916.499999999999,2.4166354439865367,8.015985599085674,-138.16000000000003,-1278.2299999999996,-11.208226221079654,0.33360021350405944
,December,495,5133.2699999999995,-0.1210653753026647,9.240591183324277,755.4,6671.899999999999,20.401657634682824,9.28887454687517,-260.4,-1538.6299999999992,97.57207890743555,9.450269601217798
,Jan                       2004,459.41,459.41,19.700364773319446,19.700364773319446,611.1,611.1,15.019762845849826,15.019762845849826,-151.69,-151.69,2.8406779661017234,2.8406779661017234
,Feb ,390.16,849.57,0.5048943843379838,10.047927461139894,480.1,1091.2,-5.324393610727663,5.084745762711851,-89.94,-241.63,-24.35660218671155,-9.29804804804808
,March ,514.85,1364.42,20.998824911868397,13.939039665970787,738.1,1829.3000000000002,49.050888529886926,19.281429316640587,-223.25,-464.8800000000001,220.30129124820667,38.315977387682224
,April ,373.46,1737.88,22.526246719160103,15.681288690674311,630.1,2459.4,17.863823419378978,18.91499854946328,-256.64000000000004,-721.52,11.679721496953889,27.499558225834875
,May,409.34,2147.2200000000003,-10.799738505120937,9.485009178054282,582.18,3041.58,14.332285938727418,18.00962209979049,-172.83999999999997,-894.3599999999997,243.61829025844918,45.141187925997926
,June,458.67,2605.8900000000003,10.09841574651944,9.59248044410803,690.71,3732.29,37.921325878594246,21.249106620752368,-232.04000000000002,-1126.3999999999996,175.581947743468,60.82238720730992
,July,505.77,3111.6600000000003,2.5403454707647377,8.380935131520296,664.1,4396.39,7.755963005030031,18.998240627960495,-158.33000000000004,-1284.73,28.660815862181146,56.01607849804484
,August,482.28,3593.9400000000005,2.6040336992596336,7.568211476528575,659.83,5056.22,26.307427258805525,19.903720742725707,-177.55000000000007,-1462.2799999999997,239.09472880061156,66.96124774497045
,September,548.91,4142.85,19.14436413361984,8.971037327153809,657.52,5713.74,25.26576490760144,20.49727951410858,-108.61000000000001,-1570.8899999999994,69.2008100950304,67.11417963638691
,October ,582.05,4724.900000000001,36.01205776510725,11.706893820645782,715.09,6428.83,13.867834394904467,19.72196357406237,-133.04000000000008,-1703.9299999999994,-33.49995001499546,49.45836659152507
,November,518.93,5243.830000000001,27.020609976991228,13.055729830303143,762.49,7191.32,39.4713736967258,21.546860474942964,-243.56000000000006,-1947.4899999999989,76.28836132020847,52.35833926601625
,December,513.4,5757.2300000000005,3.717171717171719,12.155214902002065,808.52,7999.84,7.032036007413289,19.903475771519386,-295.12,-2242.6099999999997,13.333333333333353,45.753689970948244
,Period,Monthly Value,Cumulative Value,Monthly % change (Y-o-Y),Cum. % change (Y-o-Y),Monthly Value,Cumulative Value,Monthly % change (Y-o-Y),Cum. % change (Y-o-Y),Monthly Value,Cumulative Value,Monthly % change (Y-o-Y),Cum. % change (Y-o-Y)
,2007-01-01 00:00:00,487.4234681377972,487.4234681377972,11.244302764621183,11.244302764621183,809.4078342645455,809.4078342645455,18.9764386791023,18.9764386791023,-321.9843661267483,-321.9843661267483,32.96707496894635,32.96707496894635
,2007-02-01 00:00:00,585.7982236391804,1073.2216917769777,9.612985109289252,10.347908138169991,747.4933008651398,1556.9011351296854,-0.044617054404660905,9.016284176777578,-161.69507722595938,-483.6794433527077,-24.23012145883685,6.1733625937677505
,2007-03-01 00:00:00,630.6943269616814,1703.9160187386592,17.100595598104064,12.754611683916695,874.3359661525996,2431.237101282285,-0.03458612049392906,5.5785883042332784,-243.6416391909181,-727.3210825436258,-27.497655445850413,-8.120458788025875
,2007-04-01 00:00:00,531.6992666092641,2235.6152853479234,5.989016381396972,11.068428429105314,969.4795165992095,3400.7166178814946,25.177479370806033,10.511233969016121,-437.78024998994545,-1165.1013325335712,60.45962584403222,9.457586322359045
,2007-05-01 00:00:00,637.2478349971178,2872.8631203450414,25.856873527356772,14.040773051617993,1014.3077728947776,4415.024390776272,8.110513581506407,9.950306458010516,-377.0599378976598,-1542.161270431231,-12.694651813747004,3.0637252123906666
,2007-06-01 00:00:00,667.3012361647559,3540.1643565097975,6.115156744478356,12.45754769543308,860.382857133588,5275.40724790986,-8.432657422438727,6.464404956360448,-193.0816209688321,-1735.242891400063,-37.8701871694437,-3.9758181451328367
,2007-07-01 00:00:00,683.9632990518871,4224.127655561684,34.2253034439665,15.49018234230597,830.4256217891368,6105.8328696989975,-3.7096405585003267,4.956150593973541,-146.46232273724968,-1881.7052141373133,-58.49216361402194,-12.881763822116588
,2007-08-01 00:00:00,652.8681287223121,4876.995784283996,-10.238142082569802,11.222563170936262,938.1046786205826,7043.93754831958,-5.656892116889967,3.4069232466686694,-285.2365498982705,-2166.941764035584,6.82190641775986,-10.713917411260908
,2007-09-01 00:00:00,719.3911267809434,5596.386911064939,19.56044962458021,12.228636107503776,1006.3504001983434,8050.287948517924,24.920596442541143,5.682124734455418,-286.9592734174,-2453.9010374529844,40.73841601575954,-6.726286978907348
,2007-10-01 00:00:00,624.1546987860158,6220.541609850955,18.385649547325933,12.817359123069938,1075.7674384981094,9126.055387016033,20.271917054421262,7.215246751633386,-451.61273971209357,-2905.513777165078,22.980017907461825,-3.0876698168300187
,2007-11-01 00:00:00,577.8998385201782,6798.441448371133,-6.078640272435565,10.920390719098982,1009.2311463627842,10135.286533378818,15.38560239082889,7.976577748061642,-431.33130784260607,-3336.8450850076842,66.30750759596604,2.4375768282846932
,2007-12-01 00:00:00,841.5319768948182,7639.973425265952,20.984463252324616,11.94611814966009,1161.1862621074838,11296.472795486301,33.914636779775684,10.170049261224712,-319.6542852126656,-3656.499370220349,86.34495319817157,6.63514640956
,2008-01-01 00:00:00,552.0744096511238,552.0744096511238,13.26381385786075,13.26381385786075,1176.568587970768,1176.568587970768,45.361650599766776,45.361650599766776,-624.4941783196442,-624.4941783196442,93.95170822480672,93.95170822480672
,2008-02-01 00:00:00,639.164335919886,1191.2387455710098,9.109981923327947,10.99652147345498,969.418409750152,2145.98699772092,29.68924385384575,37.837075797504994,-330.25407383026607,-954.7482521499103,104.24497733394529,97.39277020580153
,2008-03-01 00:00:00,677.9507634091372,1869.189508980147,7.492763836185068,9.699626532288441,1148.5096303178343,3294.4966280387544,31.35793044997335,35.507006959591415,-470.55886690869715,-1425.3071190586074,93.13565139001803,95.96669933916226
