<new sheet>
sheet_name: Quarterly External Debt 

,,,,," Outstanding External Debt and Banking Sector External 
Liabilities (BPM6 format) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US$ millions
,,,,,,2012              Annual,2013                   1st Quarter,"2013            
 2nd Quarter  ","2013             
 3rd Quarter ",2013              Annual ,"2014           
   1st Quarter ",2014                      2nd Quarter ,"2014            
   3rd Quarter ","2014
 Annual","2015           
   1st Quarter ",2015                      2nd Quarter ,"2015            
   3rd Quarter","2015
 Annual","2016           
   1st Quarter",2016                      2nd Quarter ,"2016            
   3rd Quarter","2016
 Annual ","2017      
   1st Quarter ",2017                      2nd Quarter ,"2017        
   3rd Quarter","2017
 Annual","2018      
   1st Quarter ",2018                      2nd Quarter,2018                      3rd Quarter,"2018
 Annual","2019      
   1st Quarter ",2019                   2nd Quarter,2019                      3rd Quarter,"2019
 Annual","2020
   1st Quarter ",2020                   2nd Quarter,2020                      3rd Quarter,"2020
 Annual","2021
   1st Quarter ",2021                   2nd Quarter,2021                      3rd Quarter,"2021
 Annual","2022
   1st Quarter ",2022                   2nd Quarter,2022                   3rd Quarter,2022                   4th Quarter,"2023
   1st Quarter ",2023                   2nd Quarter


,,,,,1. General Government,22123.334586028366,22135.92709165964,22085.522258028956,22186.475421694915,22290.101191029695,24528.486970549206,25463.69900961661,24734.96192176514,24132.06990453862,23452.065724978474,24337.897982625997,23479.992421533145,24680.82022843988,24686.01273386716,25210.29757110567,28299.952543651794,27197.235497847567,27284.963487833662,29682.064078990716,30998.28782870661,31354.967013258836,31617.658830388642,32670.625214927197,32299.404592857732,32011.391761802064,34530.89059436307,35528.92092821444,35112.863858263736,34249.025489601096,28723.858002352386,29864.699947926878,30027.384805232396,28186.536894388788,28616.238909739022,29781.653708293292,28685.57594721568,27555.84926358858,26521.850106271562,25147.162554086226,24473.011893547755,27518.46193746095,29359.347296915093,30994.898894799502
,,,,, Short-term,575.9665379882714,442.23216418177196,522.3897262376938,522.2921277088532,507.2965358231002,646.2238393202415,593.9293499327692,543.1256862769641,398.7850172251944,311.7535985864047,216.16901409366196,28.28023701717558,33.411526505494145,15.218652424172397,36.4521165787835,84.80033709046984,79.72694803802277,77.93317570912345,129.07932569325007,124.90866485544038,166.72743170836205,159.5858435325766,129.89139353660647,99.59524986441352,59.58419665661475,65.33264320550322,65.79722333718857,61.3516654719304,118.55724234423839,52.985633150176035,8.447744394390067,8.520304578655457,3.5689075491674327,5.7441580290130645,2.62114556538202,0.2996957709914224,0.9782937972926565,4.065859701316731,5.770433946467979,26.975208142053297,30.89036963243504,170.56286859610958,510.227013964599
,,,,, Currency and deposits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, Debt securities ,575.9665379882714,442.23216418177196,522.3897262376938,522.2921277088532,507.2965358231002,646.2238393202415,593.9293499327692,543.1256862769641,398.7850172251944,311.7535985864047,216.16901409366196,28.28023701717558,33.411526505494145,15.218652424172397,36.4521165787835,84.80033709046984,79.72694803802277,77.93317570912345,129.07932569325007,124.90866485544038,166.72743170836205,159.5858435325766,129.89139353660647,99.59524986441352,59.58419665661475,65.33264320550322,65.79722333718857,61.3516654719304,118.55724234423839,52.985633150176035,8.447744394390067,8.520304578655457,3.5689075491674327,5.7441580290130645,2.62114556538202,0.2996957709914224,0.9782937972926565,4.065859701316731,5.770433946467979,26.975208142053297,30.89036963243504,170.56286859610958,510.227013964599
,,,,,Treasury Bills (a),575.9665379882714,442.23216418177196,522.3897262376938,522.2921277088532,507.2965358231002,646.2238393202415,593.9293499327692,543.1256862769641,398.7850172251944,311.7535985864047,216.16901409366196,28.28023701717558,33.411526505494145,15.218652424172397,36.4521165787835,84.80033709046984,79.72694803802277,77.93317570912345,129.07932569325007,124.90866485544038,166.72743170836205,159.5858435325766,129.89139353660647,99.59524986441352,59.58419665661475,65.33264320550322,65.79722333718857,61.3516654719304,118.55724234423839,52.985633150176035,8.447744394390067,8.520304578655457,3.5689075491674327,5.7441580290130645,2.62114556538202,0.2996957709914224,0.9782937972926565,4.065859701316731,5.770433946467979,26.975208142053297,30.89036963243504,170.56286859610958,510.227013964599
,,,,, Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, Trade credit and advances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, Other debt liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, Long-term,21547.368048040094,21693.694927477867,21563.132531791263,21664.18329398606,21782.804655206593,23882.263131228963,24869.76965968384,24191.83623548818,23733.284887313428,23140.31212639207,24121.728968532334,23451.71218451597,24647.408701934386,24670.794081442986,25173.845454526887,28215.152206561324,27117.508549809543,27207.030312124538,29552.984753297467,30873.37916385117,31188.239581550475,31458.072986856067,32540.73382139059,32199.809342993318,31951.80756514545,34465.55795115756,35463.123704877245,35051.51219279181,34130.46824725686,28670.87236920221,29856.252203532487,30018.86450065374,28182.96798683962,28610.494751710008,29779.03256272791,28685.276251444688,27554.87096979129,26517.784246570245,25141.392120139757,24446.036685405703,27487.571567828516,29188.784428318984,30484.671880834903
,,,,," Special drawing rights (SDRs), Allocation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
