<new sheet>
sheet_name: 4.02
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs. Million
,,Reserve Money (M0)  (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,"Narrow Money (M1) 
(c)    
 (1) + (2)",Time and Savings Deposits held by the Public,"Broad Money (M2b) 
(d)            
 (3) + (4)",,Net Foreign Assets of Monetary Authorities (e),Net Foreign Assets of Commercial Banks ,"Net Foreign Assets (NFA) 
(5) + (6)",Net Credit granted to the Government by Central Bank,Net Credit granted to the Government by Commercial Banks,"Net Credit granted to the Government (NCG)
(8) + (9)",Credit granted to Public Corporations by Commercial Banks,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit 
(10) + (11) + (12)",Other Items (net) ,"Net Domestic Assets  (NDA)       
 (13) + (14)","Broad Money (M2b)
 (7) + (15)"
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,1996-12-01 00:00:00,85509,253201,,42565,35638,78203,210453.67171033,288656.67171033,,73541,-10467.23507,63073.76493,34291,12839.67171033,47130.67171033,15491,229773,292394.67171033,-66813.25818399999,225581.41352633003,288655.17845633003
,1997-01-01 00:00:00,81076,253157,,41706,36183,77889,210750.60507708,288639.60507707996,,72074,-10687,61387,30825,16411,47236,13293,231302,291831,-64580,227251,288638
,1997-02-01 00:00:00,81795,254967,,42679,34918,77597,213890.002275,291487.002275,,69652,-9151,60501,31589,15468,47057,12463,235647,295167,-64183,230984,291485
,1997-03-01 00:00:00,71828,260657,,44180,36648,80828,216080.08370436,296908.08370436,,70195,-8979,61216,22035,27087,49122,15413,237284,301819,-66127,235692,296908
,1997-04-01 00:00:00,77056,261357,,43381,37201,80582,217389.79591155,297971.79591155,,69987,-7745,62242,28405,23198,51603,14914,239456,305973,-70241,235732,297974
,1997-05-01 00:00:00,80255,262189,,42798,37442,80240,219025.14900606,299265.14900606,,69069,-9346,59723,33302,21400,54702,12965,243779,311446,-71904,239542,299265
,1997-06-01 00:00:00,78342,265104,,42500,37170,79670,222360.72769555,302030.72769555,,69764,-8153,61611,31203,25304,56507,12424,245856,314787,-74367,240420,302031
,1997-07-01 00:00:00,76110,267601,,42510,37025,79535,227551.49977886002,307086.49977886,,68602,-7107,61495,28513,25749,54262,12878,248596,315736,-70147,245589,307084
,1997-08-01 00:00:00,79612,271989,,43983,37085,81068,230123.76782656,311191.76782656,,93441,-7387,86054,9363,27865,37228,13541,249496,300265,-75128,225137,311191
,1997-09-01 00:00:00,80221,276994,,43774,38513,82287,235381.11679448,317668.11679448,,93952,-4810,89142,10822,31742,42564,13074,249053,304691,-76169,228522,317664
,1997-10-01 00:00:00,81932,279577,,44394.281092,38905.258217,83299.539309,239104.56738352,322404.10669252,,92550,-2280,90270,14702,31059,45761,13755,251615,311131,-78998,232133,322403
,1997-11-01 00:00:00,80359,281697,,44932.41139,37775.510958,82707.922348,240875.53229925,323583.45464725,,92230,-2853,89377,13530,29703,43233,12754,257783,313770,-79565,234205,323582
,1997-12-01 00:00:00,83736,288258,,45679.862665,40171.563248,85851.425913,247816.53669813002,333667.96261113003,,89930,565,90495,20300,24950,45250,14598,263198,323046,-79874,243172,333667
,1998-01-01 00:00:00,82146,289017,,46358.3,39168.9,85527.20000000001,250299.81513205,335827.01513205003,,85124,2783,87907,23623,24773,48396,15131,265060,328587,-80666,247921,335828
,1998-02-01 00:00:00,84633,291450,,47451,39811,87262,251455.8593302416,338717.85933024157,,84305,4197,88502,25275,23690,48965,13431,266637,329033,-78819,250214,338716
,1998-03-01 00:00:00,88608,297205,,48881,43314,92195,251414.4971709099,343609.4971709099,,89465,4777,94242,25160,23385,48545,12839,268366,329750,-80384,249366,343608
,1998-04-01 00:00:00,86493,297152,,48237,42199,90436,256239.6892966914,346675.6892966914,,91168,-348,90820,22827,27620,50447,13129,270743,334319,-78463,255856,346676
,1998-05-01 00:00:00,88794,298472,,48662,42514,91176,258762.2979430611,349938.2979430611,,90552,975,91527,25791,25727,51518,13100,274890,339508,-81096,258412,349939
,1998-06-01 00:00:00,85297,296943,,47652,42474,90126,258439.62049572018,348565.6204957202,,89687,-2189,87498,23707,27847,51554,12837,277611,342002,-80935,261067,348565
,1998-07-01 00:00:00,88266,298677,,48688,43576,92264,257152.3887657348,349416.3887657348,,89771,3250,93021,28541,27485,56026,10361,277304,343691,-87296,256395,349416
,1998-08-01 00:00:00,88242,296505,,48682,42707,91389,258109.696272161,349498.696272161,,91014,8687,99701,28325,24723,53048,11666,279967,344681,-94884,249797,349498
,1998-09-01 00:00:00,89761,301678,,49008,44455,93463,262244.1133885875,355707.1133885875,,92888,11629,104517,30261,24859,55120,9754,281469,346343,-95155,251188,355705
,1998-10-01 00:00:00,88164,303514,,49275,42965,92240,270392.81148063997,362632.81148063997,,91089,12740,103829,30487,28757,59244,9226,286670,355140,-96335,258805,362634
,1998-11-01 00:00:00,89287,306637,,49137,43838,92975,273139.273326906,366114.273326906,,97161,3876,101037,27170,32328,59498,9451,290434,359383,-94305,265078,366115
,1998-12-01 00:00:00,92866,316174,,51767,44501,96268,281472.32183268,377740.32183268,,101744,3904,105648,25909,38709,64618,10031,294868,369517,-97426,272091,377739
,1999-01-01 00:00:00,91959,317257,,51396,45129,96525,283774.85298356,380299.85298356,,101247,3566,104813,26012,39458,65470,8992,295524,369986,-94498,275488,380301
,1999-02-01 00:00:00,94074,319410,,53017,44674,97691,285786.98804955,383477.98804955,,99221,5343,104564,27275,38814,66089,7902,296873,370864,-91949,278915,383479
,1999-03-01 00:00:00,98074,324606,,55514,47102,102616,288375.0629881,390991.0629881,,98779,10111,108890,32036,36194,68230,7170,302788,378188,-96087,282101,390991
,1999-04-01 00:00:00,96837,326329,,53792,49209,103001,289014,392015,,96047,9340,105387,34506,43300,77806,8548,308152,394506,-107879,286627,392014
,1999-05-01 00:00:00,96809,327371,,54025,48286,102311,294879.603683,397190.603683,,96066,8306,104372,35373,42511,77884,7671,311391,396946,-104127,292819,397191
,1999-06-01 00:00:00,93446,327709,,52086,47805,99891,297675.032305635,397566.032305635,,95392,5514,100906,33240,43734,76974,7995,308595,393564,-96905,296659,397565
,1999-07-01 00:00:00,93498,330177,,52669,47272,99941,302374.97828872,402315.97828872,,95141,5271,100412,33795,45345,79140,7144,312925,399209,-97305,301904,402316
,1999-08-01 00:00:00,94756,331125,,52405,47185,99590,301824.74317757,401414.74317757,,93081,6514,99595,35770,41397,77167,6647,316063,399877,-98057,301820,401415
,1999-09-01 00:00:00,93053,337568,,52923,49147,102070,306270.17680575,408340.17680575,,93055,8068,101123,35616,43562,79178,7438,318547,405163,-97946,307217,408340
,1999-10-01 00:00:00,94775,341900,,53753,47078,100831,311296.59103452,412127.59103452,,91230,13780,105010,39332,39131,78463,7519,320660,406642,-99524,307118,412128
,1999-11-01 00:00:00,94799,350033,,53541,50208,103749,315531.14368924,419280.14368924,,89580,12310,101890,41316,45297,86613,9199,326212,422024,-104636,317388,419278
,1999-12-01 00:00:00,100444,358076,,58481,50073,108554,319764.587450785,428318.587450785,,89287,12805,102092,46716,47199,93915,13045.9,325927,432887.9,-106660,326227.9,428319.9
,2000-01-01 00:00:00,100639,359623,,55580,52050,107630,324550.66009792,432180.66009792,,90424,11612,102036,43534,50199,93733,14744,324073,432550,-102407,330143,432179
