<new sheet>
sheet_name: Sheet1
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs.mn
,,Reserve Money (M0) (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,Narrow Money (M1) (c)                   (1) + (2),Time and Savings Deposits held by the Public,Broad Money (M2b)(d)              (3) + (4),,Net Foreign Assets of Monetary Authorities  (e),Net Foreign Assets of Commercial Banks ,Net Foreign Assets (NFA)    (5) + (6),Net Credit granted to the Government by Monetary Authorities ,Net Credit granted to the Government by Commercial Banks ,Net Credit granted to the Government (NCG)            (8) + (9),Credit granted to Public Corporations by Ccommercial Banks ,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit     
  (10) + (11) + (12)",Other Items (net) ,Net Domestic Assets (NDA) (13) + (14),Broad Money (M2b)                (7) + (15)
,2014-12-01 00:00:00,577911.98693,3460557.80413,,329426.479362,282728.881662,612155.361024,3263697.8754575634,3875853.236481563,,688006.7114206202,-672880.6626420004,15126.04877861985,149671.775229,1286227.9360765116,1435899.7113055116,450923.7405206128,2753322.1894976874,4640145.641323812,-779418.4536201183,3860727.187703694,3875853.236482314
,Dec-15(f),673431.824058,4057212.1247310005,,388056.713981,326931.236126,714987.9501070001,3850929.4417268136,4565917.391833814,,576186.7719166301,-874349.9145570376,-298163.14264040755,229925.63975899998,1529565.9779987142,1759491.6177577141,530668.5686807779,3441874.210970889,5732034.397409381,-867953.8629346194,4864080.534474762,4565917.391834355
,2016-12-01 00:00:00,856146.73752292,4823559.07325292,0.0,429501.8261199999,347122.62981692,776624.4559369199,4628971.611767499,5405596.067704419,0.0,558589.33752133,-789827.4173977841,-231238.07987645408,413016.21559792006,1559116.466200854,1972132.681798774,513767.99392521405,4185776.67973743,6671677.355461419,-1034843.2078801658,5636834.147581253,5405596.067704799
,2017-12-01 00:00:00,939793.2900062,5665313.2216612,,439396.13510099996,353903.0451002,793299.1802012,5514762.356002736,6308061.536203936,,846139.0423813702,-724601.1449465004,121537.89743486978,225079.74792320002,1943437.527647551,2168517.275570751,536982.2086603448,4799215.150481226,7504714.634712322,-1318190.9959425353,6186523.638769787,6308061.536204657
,2018-12-01 00:00:00,961096.3126233498,6427329.58494486,,473066.127756,357727.12902635,830793.2567823499,6297503.4326796485,7128296.689461999,,750541.1485367268,-817548.196245048,-67007.04770832113,472817.03840746,2043894.3514182023,2516711.389825662,755379.614710531,5561351.442551011,8833442.447087204,-1638138.7099187253,7195303.737168479,7128296.689460157
,2019-12-01 00:00:00,932604.45858259,6912709.91330859,,494207.85782400006,371259.13438859,865466.9922125901,6758653.676695166,7624120.668907756,,895997.46782719,-795295.6459228736,100701.82190431631,363031.78314259,2432895.431418807,2795927.2145613967,817953.3089191809,5796858.587925532,9410739.11140611,-1887320.2644219953,7523418.8469841145,7624120.668888431
,2020-12-01 00:00:00,964439.73323794,8495788.28876337,,641010.0366890001,536140.00277864,1177150.0394676402,8228583.931286018,9405733.970753659,,526778.5287308018,-736246.8877777108,-209468.35904690903,868891.6801179401,3679169.6858643005,4548061.36598224,1002174.1586098598,6170937.263937419,11721172.788529519,-2105970.458728872,9615202.329800647,9405733.970753737
,2021-12-01 00:00:00,1305808.68900562,9638905.35845862,,784449.650386,675445.81418862,1459895.4645746201,9187413.494130742,10647308.958705362,,-387262.5383357955,-594713.2225801696,-981975.7609159651,2094094.61922862,3738325.376166546,5832419.995395166,1188103.2101948017,6981427.874075201,14001951.07966517,-2372666.3600423713,11629284.719622798,10647308.958706833
,Dec-22(g),1349388.58203157,10497052.426244661,,742041.787585,711555.42385666,1453597.21144166,10836039.684050811,12289636.895492472,,-1613860.8621647602,-152951.9394662995,-1766812.8016310597,3432493.15077266,4038615.323739595,7471108.474512255,1747033.0863641743,7414131.138018626,16632272.698895056,-2575823.0017721667,14056449.697122889,12289636.89549183

,"(a) Reserve Money (M0) includes curerncy in circulation, commercial banks' domestic currency deposits maintained at the Central Bank as per the Statutory Reserve Ratio, and Deposits of selected Government Agencies with the Central Bank.",,,,,,,,,,,,,,,,,,,,,
,"(b) Broad money (M2) includes currency and demand, savings and time deposits denominated in rupees held by the public with commercial banks.",,,,,,,,,,,,,,,,,,,,,
,(c) Narrow Money (M1) includes currency and demand deposits denominated in rupees held by the public with commercial banks.,,,,,,,,,,,,,,,,,,,,,
,"(d) M2b includes currency and demand, savings and time deposits denominated in rupees as well as foreign currency, held by the public with commercial banks.  M2b reflects the operations of the offshore banking units (OBUs) of commercial banks ",,,,,,,,,,,,,,,,,,,,,
,"     in addition to those of the domestic banking units (DBUs) of commercial banks and the Central Bank, which are covered by M2.",,,,,,,,,,,,,,,,,,,,,
,(e) This includes NFA of the Central Bank as well as the government's Crown Agent's balance reported by the Department of State Accounts,,,,,,,,,,,,,,,,,,,,,
,"(f) DFCC Bank which operated as a Licensed Specialised Bank was amalgamated with the DFCC Vardhana Bank and operates as a Licensed Commercial Bank namely, DFCC Bank PLC with effect from 1 October 2015.",,,,,,,,,,,,,,,,,,,,,
,(g) The sharp depreciation of the Sri Lanka rupee during March to May 2022 remains the key reason for the augmentation of monetary and credit aggregates during that period.,,,,,,,,,,,,,,,,,,,,,

